point_id,lat,lon,population,weight,elevation_m
TNP_0001,13.125,80.125,5068599.2233457565,0.0711614353911609,44.29656191525649
TNP_0002,12.875,80.125,3176285.3368492126,0.0445939822468122,36.93468884953068
TNP_0003,13.125,80.375,2187441.213805318,0.030710941968187,12.285439360663428
TNP_0004,9.875,78.125,2115244.36277926,0.0296973223617932,209.53759096187284
TNP_0005,11.625,78.125,1714135.3546363115,0.0240658862371323,370.4388512036476
TNP_0006,10.875,78.625,1304575.5502040386,0.0183158037631258,155.65714057871446
TNP_0007,10.875,76.875,1258467.862797141,0.0176684672754964,626.922971672921
TNP_0008,11.125,77.375,1234266.652519226,0.0173286903892815,384.84592765177206
TNP_0009,12.875,79.125,901144.725508362,0.0126517701117467,375.49680295067634
TNP_0010,11.625,79.625,890343.420427084,0.0125001234062543,49.329020756960844
TNP_0011,8.125,77.375,856360.3904578686,0.0120230130479503,138.1100551825802
TNP_0012,11.375,77.625,850894.7885315418,0.0119462778275835,460.26230646104943
TNP_0013,11.875,79.625,793806.6025528908,0.0111447788178755,63.01114270992133
TNP_0014,10.875,79.375,761459.6739379168,0.0106906387745802,48.25433546687707
TNP_0015,11.125,77.125,759539.1904519796,0.010663675829695,557.5731076775709
TNP_0016,11.125,79.625,705301.0805649757,0.0099021909336935,25.69669919455166
TNP_0017,11.125,76.875,686165.5627800226,0.0096335346733488,1184.7084870343085
TNP_0018,10.875,77.125,667808.2734088898,0.0093758044792699,442.1922181791183
TNP_0019,11.375,77.875,660676.1065044403,0.0092756712448188,243.90680725897735
TNP_0020,12.875,79.625,624118.5540295839,0.0087624154528603,139.48229047699775
TNP_0021,11.375,79.625,611160.1712343693,0.0085804840987678,40.19339913795741
TNP_0022,12.875,79.875,596457.0556298494,0.0083740572804231,72.98125865165476
TNP_0023,8.625,77.625,582560.4265007973,0.0081789532620649,277.47538699823593
TNP_0024,10.875,79.125,581223.5783321857,0.0081601843615489,66.78409269793967
TNP_0025,13.125,79.875,578685.5680625439,0.0081245515474583,108.33752837679025
TNP_0026,12.875,78.875,578566.7887402773,0.0081228839255583,536.1132596407795
TNP_0027,12.625,78.625,570663.8527343869,0.0080119293510886,617.8339542714638
TNP_0028,12.875,79.375,570341.4928501844,0.0080074035262874,250.38519182455275
TNP_0029,8.875,77.375,558795.526090622,0.007845302020253,379.94611158308396
TNP_0030,10.875,79.625,558068.7767105103,0.0078350987023777,14.022940189182851
TNP_0031,10.375,77.875,552232.6657766402,0.0077531616596454,386.0225845631536
TNP_0032,11.625,77.875,548446.908927083,0.0077000109014999,407.2378600394885
TNP_0033,8.875,77.625,539231.9798537493,0.0075706363838095,222.86878713997646
TNP_0034,12.125,79.125,538197.4571355581,0.0075561120313549,227.8164024061479
TNP_0035,8.375,77.125,531967.9416552782,0.0074686517205601,138.4366830320497
TNP_0036,9.375,77.625,529327.0772749186,0.0074315748692055,515.6591863843668
TNP_0037,11.875,79.375,513207.50633621216,0.0072052614924042,100.78525517442246
TNP_0038,10.875,78.875,509643.5959506035,0.0071552253843061,116.68525989060996
TNP_0039,11.125,78.125,509339.4160377979,0.007150954800214,213.6407537391719
TNP_0040,9.875,77.375,503075.9377707541,0.0070630176632687,901.1497061305339
TNP_0041,10.875,77.375,497094.1553002596,0.0069790354409542,320.8173093162548
TNP_0042,11.375,78.125,487498.5251520872,0.0068443160076872,268.6787413547185
TNP_0043,9.375,77.875,482909.210804224,0.0067798835714135,179.0389146809818
TNP_0044,12.625,79.875,476504.6826384068,0.0066899661411334,67.36007302761392
TNP_0045,11.625,79.375,472531.033213377,0.0066341774341621,73.2891651487766
TNP_0046,8.875,78.125,470011.098297298,0.0065987983919813,49.162121892414845
TNP_0047,10.625,79.625,464208.09969496727,0.0065173262352929,18.1862502899818
TNP_0048,13.125,79.625,453560.4962954521,0.0063678374499308,179.1042402508757
TNP_0049,10.875,78.125,453204.45869636536,0.0063628388012929,158.34664209044374
TNP_0050,12.625,77.875,453078.5000749826,0.0063610703844379,861.2684457103089
TNP_0051,10.125,77.875,444004.8665029407,0.0062336796082594,683.7060283232552
TNP_0052,12.125,78.125,442702.0660517812,0.0062153887262923,554.180161309545
TNP_0053,9.125,77.375,432034.77818611264,0.0060656235776186,542.4127955424381
TNP_0054,13.375,80.125,428818.2389336824,0.0060204644438799,51.92093224049497
TNP_0055,9.625,77.875,428798.5923881531,0.0060201886129612,232.09443058090685
TNP_0056,10.375,78.875,425651.40564394,0.0059760031652085,101.85237225823803
TNP_0057,11.875,79.125,424644.4549734592,0.0059618659150686,201.39858261039703
TNP_0058,12.125,79.625,421316.1258692741,0.0059151372892548,89.99339136262128
TNP_0059,10.625,79.375,415753.8382663727,0.0058370446343734,42.95898103901435
TNP_0060,12.375,78.375,415477.9771983624,0.0058331716373769,518.2411397017586
TNP_0061,11.125,77.875,414226.7854287028,0.005815605324012,191.54318474262365
TNP_0062,12.625,80.125,412132.4269834757,0.005786201232937,36.650681951150496
TNP_0063,11.375,77.375,411676.414712131,0.0057797989733866,564.7386057069693
TNP_0064,10.625,77.125,409948.4459089637,0.0057555388701655,309.1793997089985
TNP_0065,12.625,79.375,409050.7556846142,0.005742935600093,220.71423831341488
TNP_0066,11.625,78.875,398426.9544980228,0.0055937809898279,379.86007302761396
TNP_0067,12.125,78.375,397447.7478468418,0.0055800332564262,464.10615859200135
TNP_0068,10.125,77.625,388361.20780590177,0.0054524612777473,1097.0822015545575
TNP_0069,12.125,79.375,387112.1581530571,0.0054349250389849,128.5944299435842
TNP_0070,10.375,78.125,383953.9953950644,0.0053905854916752,297.52954030237134
TNP_0071,12.375,79.125,380318.77103960514,0.0053395481593267,385.10961989122177
TNP_0072,11.125,79.375,377556.557136178,0.0053007676013137,57.85799089457154
TNP_0073,12.375,78.125,376712.411831975,0.0052889160839854,702.7352871680187
TNP_0074,8.375,77.375,373703.33825439215,0.0052466696988318,334.8670867631913
TNP_0075,12.625,79.625,372911.4339413643,0.0052355516275217,115.01388128527582
TNP_0076,11.625,78.375,372498.0526821613,0.0052297478931027,464.6626209160366
TNP_0077,11.875,77.875,371649.5389996022,0.0052178350452055,492.772133976052
TNP_0078,12.375,78.625,369950.2013204098,0.0051939769133751,474.2204687794762
TNP_0079,10.625,77.375,367961.2143267989,0.0051660522021871,315.16346090726705
TNP_0080,10.375,79.375,365971.6754934192,0.0051381197433536,29.6576593593378
TNP_0081,10.625,79.125,361159.2509186268,0.0050705549142236,67.75441640685148
TNP_0082,12.625,78.125,360799.10471487045,0.0050654985821522,787.8756160519903
TNP_0083,12.375,79.875,359551.7668402195,0.0050479863761823,57.32144490282105
TNP_0084,12.875,78.625,356433.593002066,0.005004208259913,693.0690944569502
TNP_0085,12.625,79.125,355228.05595360696,0.0049872829235419,385.47408877203225
TNP_0086,13.125,79.375,353338.442471683,0.0049607533831733,299.0913790801395
TNP_0087,9.375,78.875,353010.24430310726,0.004956145590815,17.8166031627773
TNP_0088,10.125,78.875,350070.71990942955,0.0049148756529083,80.01769884784815
TNP_0089,11.375,77.125,348400.17650821805,0.0048914217830963,690.8038108228856
TNP_0090,12.375,79.375,345564.8446456194,0.0048516146734271,200.29043788207494
TNP_0091,11.875,78.125,338277.50642474,0.0047493028856673,485.78428963063334
TNP_0092,11.875,79.875,331753.007565856,0.0046577011070402,24.49574435778273
TNP_0093,10.875,78.375,331288.6401773691,0.0046511815444436,164.34026312820893
TNP_0094,11.375,76.875,329277.33425694704,0.0046229434829988,1283.406261631138
TNP_0095,8.625,78.125,328577.7085413933,0.004613120972289,31.701473378396294
TNP_0096,9.875,77.875,321388.47564196587,0.0045121865503824,343.28651707323604
TNP_0097,12.125,79.875,320211.4485657811,0.0044956614844727,39.409093972584934
TNP_0098,10.125,78.125,317831.9035288989,0.0044622534691728,401.86961183546373
TNP_0099,10.125,78.375,316057.0736576021,0.0044373354522511,297.77849445593046
TNP_0100,11.375,79.375,315788.482935071,0.00443356452847,68.7382832217169
TNP_0101,11.625,79.125,312785.2295117378,0.0043913998563327,161.6822294214895
TNP_0102,10.625,78.625,311437.63846439123,0.0043724801293976,108.32398527083663
TNP_0103,11.125,78.625,309087.12795975804,0.0043394797492055,299.7832724637109
TNP_0104,10.375,79.125,307193.6989862919,0.0043128966406136,83.62534327790327
TNP_0105,11.125,78.875,305830.6020783186,0.0042937592165888,213.07712153551418
TNP_0106,12.375,79.625,305810.3294095993,0.0042934745951103,105.7970010305507
TNP_0107,10.625,76.875,305741.92967784405,0.0042925142857866,284.73329680943544
TNP_0108,10.625,78.375,305614.69948893785,0.0042907280165495,170.4940114775433
TNP_0109,11.875,78.875,301935.04241657257,0.0042390668637382,414.36073711779767
TNP_0110,12.375,78.875,301079.89815589786,0.0042270609247451,536.5382741717356
TNP_0111,11.375,79.125,300073.306358099,0.0042129287130574,115.43610752971199
TNP_0112,11.125,77.625,294728.81712269783,0.0041378938743051,279.4379423815727
TNP_0113,10.375,78.375,292314.1716660261,0.0041039930608681,300.2612644385443
TNP_0114,11.625,77.625,292060.09904256463,0.0041004259663352,634.3505686351864
TNP_0115,11.125,79.125,291553.82602107525,0.0040933180626874,94.84182329401479
TNP_0116,10.125,79.125,291410.35054147243,0.0040913037150102,62.61321439087252
TNP_0117,10.625,78.875,287637.03817653656,0.0040383276732606,73.66956709541485
TNP_0118,10.125,78.625,285961.020146966,0.0040147969415001,185.79652622518904
TNP_0119,9.125,77.875,284674.2646612525,0.0039967313254737,61.6365174556296
TNP_0120,9.625,78.625,283261.0585422516,0.00397689038491,71.65323761490927
TNP_0121,9.875,78.375,283191.96407699585,0.0039759203217607,159.41933574729904
