cluster_id,pcm_id,name,candidate_pool_status,n_survivors_in_cluster,L_required_kJ_per_kg,Tm_C,latent_heat_kJ_kg,density_kg_m3,Cp_kJ_kgK,TC_W_mK,cycles_tested,supercooling_K,crit_Tm_fitness,weight_Tm_fitness,crit_latent_heat,weight_latent_heat,crit_vol_latent_heat,weight_vol_latent_heat,crit_thermal_conductivity,weight_thermal_conductivity,crit_cycling,weight_cycling,crit_supercooling,weight_supercooling,crit_corrosion,weight_corrosion,crit_cost,weight_cost,crit_thermal_margin,weight_thermal_margin,crit_f_Tm,weight_f_Tm,f_Tm,crit_latent_heat_margin_ratio,weight_latent_heat_margin_ratio,latent_heat_margin_ratio,crit_rho_H_MJ_m3,weight_rho_H_MJ_m3,rho_H_MJ_m3,crit_cycles_confidence,weight_cycles_confidence,cycles_confidence,weight_TC_W_mK,TOPSIS_rank,PROMETHEE_II_rank,VIKOR_rank,GRA_rank,topsis_score,gra_grade,promethee_flow,vikor_Q,borda_score,consensus_rank,copeland_score,copeland_rank,kendalls_w_cluster,kendall_w,borda_copeland_agree,entropy_weight_dominant_criterion,entropy_weight_dominant_value,top3_at_lambda05,top3_at_lambda00,mc_top3_inclusion_pct,mc_top1_retention_pct,mc_rank_reversal_freq_cluster,mc_mean_spearman_vs_baseline_cluster,top3_inclusion_probability,top1_retention_rate,mean_spearman_rho_vs_baseline,pcm_database_status,upstream_cluster_profile_fingerprint
0,n-Hexacosane (C26),n-Hexacosane (C26),healthy,8,405.9700601228228,56.5,256.0,770.0,2.38,0.238,1404.0,0.2999999999999971,0.3965556006124568,0.15244919326995368,0.6305883737400472,0.09897967800863496,197.12,0.061024530465971186,0.238,0.06902377465581061,0.9746860502363812,0.052633808731868216,0.2999999999999971,0.11822605416627407,1.0,0.050843863546279525,,0.028669540624705555,5.440408864657286,0.3681495565305021,0.3965556006124568,0.15244919326995368,0.3965556006124568,0.6305883737400472,0.09897967800863496,0.6305883737400472,197.12,0.061024530465971186,197.12,0.9746860502363812,0.052633808731868216,0.9746860502363812,0.06902377465581061,2,1,2,2,0.5996091515158783,0.11536128885697931,0.27196560570936246,0.09609938133710015,25.0,2,5,2,0.8482142857142857,0.8482142857142857,True,thermal_margin,0.6407339776453189,True,True,75.42,29.98,0.9978,0.5879716945041742,0.7542,0.2998,0.5879716945041742,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
0,RT57HC,RT57HC,healthy,8,405.9700601228228,56.5,240.0,900.0,2.0,0.239,1404.0,0.0,0.3965556006124568,0.15244919326995368,0.5911766003812942,0.09897967800863496,216.0,0.061024530465971186,0.239,0.06902377465581061,0.9746860502363812,0.052633808731868216,0.0,0.11822605416627407,1.0,0.050843863546279525,,0.028669540624705555,5.440408864657286,0.3681495565305021,0.3965556006124568,0.15244919326995368,0.3965556006124568,0.5911766003812942,0.09897967800863496,0.5911766003812942,216.0,0.061024530465971186,216.0,0.9746860502363812,0.052633808731868216,0.9746860502363812,0.06902377465581061,1,2,1,1,0.6333289691570032,0.11708450302324752,0.25807943564572716,0.08498454065937122,27.0,1,7,1,0.8482142857142857,0.8482142857142857,True,thermal_margin,0.6407339776453189,True,True,86.48,49.18,0.9978,0.5879716945041742,0.8648,0.4918,0.5879716945041742,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
0,PlusICE A58,PlusICE A58,healthy,8,405.9700601228228,58.0,215.0,910.0,2.22,0.22,1581.0,-0.2000000000000028,0.6155659514109273,0.15244919326995368,0.5295957045082427,0.09897967800863496,195.65,0.061024530465971186,0.22,0.06902377465581061,0.9906424949256863,0.052633808731868216,-0.2000000000000028,0.11822605416627407,1.0,0.050843863546279525,,0.028669540624705555,3.940408864657286,0.3681495565305021,0.6155659514109273,0.15244919326995368,0.6155659514109273,0.5295957045082427,0.09897967800863496,0.5295957045082427,195.65,0.061024530465971186,195.65,0.9906424949256863,0.052633808731868216,0.9906424949256863,0.06902377465581061,3,6,4,4,0.5588398465600569,0.11294532684462348,0.12748360195933928,0.2974142734425223,15.0,4,1,4,0.8482142857142857,0.8482142857142857,True,thermal_margin,0.6407339776453189,False,False,32.22,4.18,0.9978,0.5879716945041742,0.3222,0.0418,0.5879716945041742,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
0,PureTemp 58,PureTemp 58,healthy,8,405.9700601228228,58.0,225.0,890.0,2.71,0.2,1620.0,-0.1000000000000014,0.6155659514109273,0.15244919326995368,0.5542280628574633,0.09897967800863496,200.25,0.061024530465971186,0.2,0.06902377465581061,0.9939175463388245,0.052633808731868216,-0.1000000000000014,0.11822605416627407,1.0,0.050843863546279525,,0.028669540624705555,3.940408864657286,0.3681495565305021,0.6155659514109273,0.15244919326995368,0.6155659514109273,0.5542280628574633,0.09897967800863496,0.5542280628574633,200.25,0.061024530465971186,200.25,0.9939175463388245,0.052633808731868216,0.9939175463388245,0.06902377465581061,4,5,3,3,0.545929689206649,0.1131633265535736,0.135068778953285,0.27084915839713575,17.0,3,3,3,0.8482142857142857,0.8482142857142857,True,thermal_margin,0.6407339776453189,True,False,36.059999999999995,4.84,0.9978,0.5879716945041742,0.3606,0.0484,0.5879716945041742,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
0,n-Heptacosane (C27),n-Heptacosane (C27),healthy,8,405.9700601228228,59.0,236.0,773.0,2.38,0.2415,1404.0,-0.7000000000000028,0.7632362717459151,0.15244919326995368,0.5813236570416059,0.09897967800863496,182.428,0.061024530465971186,0.2415,0.06902377465581061,0.9746860502363812,0.052633808731868216,-0.7000000000000028,0.11822605416627407,1.0,0.050843863546279525,,0.028669540624705555,2.940408864657286,0.3681495565305021,0.7632362717459151,0.15244919326995368,0.7632362717459151,0.5813236570416059,0.09897967800863496,0.5813236570416059,182.428,0.061024530465971186,182.428,0.9746860502363812,0.052633808731868216,0.9746860502363812,0.06902377465581061,6,7,5,7,0.5109923998742397,0.11115426503329219,0.12584715063556837,0.38957958064021336,7.0,7,-4,7,0.8482142857142857,0.8482142857142857,True,thermal_margin,0.6407339776453189,False,False,22.78,3.08,0.9978,0.5879716945041742,0.2278,0.0308,0.5879716945041742,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
0,CrodaTherm 60,CrodaTherm 60,healthy,8,405.9700601228228,59.8,217.0,922.0,2.3,0.2299999999999999,1533.0,-1.7000000000000028,0.8666091676403354,0.15244919326995368,0.5345221761780868,0.09897967800863496,200.074,0.061024530465971186,0.2299999999999999,0.06902377465581061,0.9864989969236155,0.052633808731868216,-1.7000000000000028,0.11822605416627407,1.0,0.050843863546279525,,0.028669540624705555,2.1404088646572887,0.3681495565305021,0.8666091676403354,0.15244919326995368,0.8666091676403354,0.5345221761780868,0.09897967800863496,0.5345221761780868,200.074,0.061024530465971186,200.074,0.9864989969236155,0.052633808731868216,0.9864989969236155,0.06902377465581061,5,4,6,6,0.5325029586612923,0.1114086913090255,0.15098097564808052,0.45641843301986784,11.0,5,-2,5,0.8482142857142857,0.8482142857142857,True,thermal_margin,0.6407339776453189,False,False,37.14,14.64,0.9978,0.5879716945041742,0.3714,0.1464,0.5879716945041742,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
0,PureTemp 60,PureTemp 60,healthy,8,405.9700601228228,61.0,220.0,960.0,2.38,0.2,1695.0,-0.5,0.9727418689089371,0.15244919326995368,0.541911883682853,0.09897967800863496,211.2,0.061024530465971186,0.2,0.06902377465581061,1.0,0.052633808731868216,-0.5,0.11822605416627407,1.0,0.050843863546279525,,0.028669540624705555,0.9404088646572859,0.3681495565305021,0.9727418689089371,0.15244919326995368,0.9727418689089371,0.541911883682853,0.09897967800863496,0.541911883682853,211.2,0.061024530465971186,211.2,1.0,0.052633808731868216,1.0,0.06902377465581061,8,8,8,8,0.272319869056701,0.1099485735256226,0.0998543567667842,0.9166666666666664,0.0,8,-7,8,0.8482142857142857,0.8482142857142857,True,thermal_margin,0.6407339776453189,False,False,3.7199999999999998,0.4,0.9978,0.5879716945041742,0.0372,0.004,0.5879716945041742,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
0,n-Octacosane (C28),n-Octacosane (C28),healthy,8,405.9700601228228,61.6,253.0,910.0,2.38,0.2665,1581.0,-0.6999999999999957,0.9963853550165127,0.15244919326995368,0.623198666235281,0.09897967800863496,230.23,0.061024530465971186,0.2665,0.06902377465581061,0.9906424949256863,0.052633808731868216,-0.6999999999999957,0.11822605416627407,1.0,0.050843863546279525,,0.028669540624705555,0.3404088646572845,0.3681495565305021,0.9963853550165127,0.15244919326995368,0.9963853550165127,0.623198666235281,0.09897967800863496,0.623198666235281,230.23,0.061024530465971186,230.23,0.9906424949256863,0.052633808731868216,0.9906424949256863,0.06902377465581061,7,3,7,5,0.2747478144197601,0.11272376422398012,0.2161201908231187,0.6649685113273094,10.0,6,-3,6,0.8482142857142857,0.8482142857142857,True,thermal_margin,0.6407339776453189,False,True,18.4,4.3999999999999995,0.9978,0.5879716945041742,0.184,0.044,0.5879716945041742,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
1,n-Pentacosane (C25),n-Pentacosane (C25),healthy,10,438.21650097089264,54.0,238.0,801.0,2.39,0.239,1404.0,3.3999999999999986,0.20812530088741504,0.19883201332762873,0.5431105389064491,0.10722427413644585,190.638,0.06582751959945228,0.239,0.0859291877546847,0.9534809845274094,0.055206409210153295,3.3999999999999986,0.12,1.0,0.030000000000000658,,0.029999999999999992,7.087148871117471,0.30698059597163435,0.20812530088741504,0.19883201332762873,0.20812530088741504,0.5431105389064491,0.10722427413644585,0.5431105389064491,190.638,0.06582751959945228,190.638,0.9534809845274094,0.055206409210153295,0.9534809845274094,0.0859291877546847,9,1,6,2,0.48327311770736836,0.11501327514575521,0.2212638235794456,0.46006708237783306,22.0,3,3,3,0.4772727272727273,0.4772727272727273,True,thermal_margin,0.5139611919432687,True,False,37.8,13.62,1.0,0.4248894952247529,0.37799999999999995,0.1362,0.4248894952247529,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
1,savE® OM55,savE® OM55,healthy,10,438.21650097089264,55.0,188.0,935.0,2.76,0.13,2000.0,1.0,0.31413948621468557,0.19883201332762873,0.42901168619501023,0.10722427413644585,175.78,0.06582751959945228,0.13,0.0859291877546847,1.0,0.055206409210153295,1.0,0.12,1.0,0.030000000000000658,,0.029999999999999992,6.087148871117471,0.30698059597163435,0.31413948621468557,0.19883201332762873,0.31413948621468557,0.42901168619501023,0.10722427413644585,0.42901168619501023,175.78,0.06582751959945228,175.78,1.0,0.055206409210153295,1.0,0.0859291877546847,4,2,9,4,0.5884697485749685,0.1138144481365862,0.16756308902956574,0.6231415546512542,21.0,4,2,4,0.4772727272727273,0.4772727272727273,True,thermal_margin,0.5139611919432687,False,False,27.08,6.04,1.0,0.4248894952247529,0.2708,0.0604,0.4248894952247529,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
