cluster_id,pcm_id,name,candidate_pool_status,n_survivors_in_cluster,L_required_kJ_per_kg,Tm_C,latent_heat_kJ_kg,density_kg_m3,Cp_kJ_kgK,TC_W_mK,cycles_tested,supercooling_K,crit_Tm_fitness,weight_Tm_fitness,crit_latent_heat,weight_latent_heat,crit_vol_latent_heat,weight_vol_latent_heat,crit_thermal_conductivity,weight_thermal_conductivity,crit_cycling,weight_cycling,crit_supercooling,weight_supercooling,crit_corrosion,weight_corrosion,crit_cost,weight_cost,crit_thermal_margin,weight_thermal_margin,crit_f_Tm,weight_f_Tm,f_Tm,crit_latent_heat_margin_ratio,weight_latent_heat_margin_ratio,latent_heat_margin_ratio,crit_rho_H_MJ_m3,weight_rho_H_MJ_m3,rho_H_MJ_m3,crit_cycles_confidence,weight_cycles_confidence,cycles_confidence,weight_TC_W_mK,TOPSIS_rank,PROMETHEE_II_rank,VIKOR_rank,GRA_rank,topsis_score,gra_grade,promethee_flow,vikor_Q,borda_score,consensus_rank,copeland_score,copeland_rank,kendalls_w_cluster,kendall_w,borda_copeland_agree,entropy_weight_dominant_criterion,entropy_weight_dominant_value,top3_at_lambda05,top3_at_lambda00,mc_top3_inclusion_pct,mc_top1_retention_pct,mc_rank_reversal_freq_cluster,mc_mean_spearman_vs_baseline_cluster,top3_inclusion_probability,top1_retention_rate,mean_spearman_rho_vs_baseline,pcm_database_status,upstream_cluster_profile_fingerprint
0,RT57HC,RT57HC,healthy,8,405.9700601228228,56.5,240.0,900.0,2.0,0.239,1404.0,0.0,0.3965556006124568,0.15244919326995368,0.5911766003812942,0.09897967800863496,216.0,0.061024530465971186,0.239,0.06902377465581061,0.9746860502363812,0.052633808731868216,0.0,0.11822605416627407,1.0,0.050843863546279525,,0.028669540624705555,5.440408864657286,0.3681495565305021,0.3965556006124568,0.15244919326995368,0.3965556006124568,0.5911766003812942,0.09897967800863496,0.5911766003812942,216.0,0.061024530465971186,216.0,0.9746860502363812,0.052633808731868216,0.9746860502363812,0.06902377465581061,1,2,1,1,0.6333289691570032,0.11708450302324752,0.25807943564572716,0.08498454065937122,27.0,1,7,1,0.8482142857142857,0.8482142857142857,True,thermal_margin,0.6407339776453189,True,True,86.48,49.18,0.9978,0.5879716945041742,0.8648,0.4918,0.5879716945041742,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
0,n-Hexacosane (C26),n-Hexacosane (C26),healthy,8,405.9700601228228,56.5,256.0,770.0,2.38,0.238,1404.0,0.2999999999999971,0.3965556006124568,0.15244919326995368,0.6305883737400472,0.09897967800863496,197.12,0.061024530465971186,0.238,0.06902377465581061,0.9746860502363812,0.052633808731868216,0.2999999999999971,0.11822605416627407,1.0,0.050843863546279525,,0.028669540624705555,5.440408864657286,0.3681495565305021,0.3965556006124568,0.15244919326995368,0.3965556006124568,0.6305883737400472,0.09897967800863496,0.6305883737400472,197.12,0.061024530465971186,197.12,0.9746860502363812,0.052633808731868216,0.9746860502363812,0.06902377465581061,2,1,2,2,0.5996091515158783,0.11536128885697931,0.27196560570936246,0.09609938133710015,25.0,2,5,2,0.8482142857142857,0.8482142857142857,True,thermal_margin,0.6407339776453189,True,True,75.42,29.98,0.9978,0.5879716945041742,0.7542,0.2998,0.5879716945041742,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
0,PureTemp 58,PureTemp 58,healthy,8,405.9700601228228,58.0,225.0,890.0,2.71,0.2,1620.0,-0.1000000000000014,0.6155659514109273,0.15244919326995368,0.5542280628574633,0.09897967800863496,200.25,0.061024530465971186,0.2,0.06902377465581061,0.9939175463388245,0.052633808731868216,-0.1000000000000014,0.11822605416627407,1.0,0.050843863546279525,,0.028669540624705555,3.940408864657286,0.3681495565305021,0.6155659514109273,0.15244919326995368,0.6155659514109273,0.5542280628574633,0.09897967800863496,0.5542280628574633,200.25,0.061024530465971186,200.25,0.9939175463388245,0.052633808731868216,0.9939175463388245,0.06902377465581061,4,5,3,3,0.545929689206649,0.1131633265535736,0.135068778953285,0.27084915839713575,17.0,3,3,3,0.8482142857142857,0.8482142857142857,True,thermal_margin,0.6407339776453189,True,False,36.059999999999995,4.84,0.9978,0.5879716945041742,0.3606,0.0484,0.5879716945041742,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
1,RT57HC,RT57HC,healthy,10,438.21650097089264,56.5,240.0,900.0,2.0,0.239,1404.0,0.0,0.5181137524892008,0.19883201332762873,0.5476744930149067,0.10722427413644585,216.0,0.06582751959945228,0.239,0.0859291877546847,0.9534809845274094,0.055206409210153295,0.0,0.12,1.0,0.030000000000000658,,0.029999999999999992,4.587148871117471,0.30698059597163435,0.5181137524892008,0.19883201332762873,0.5181137524892008,0.5476744930149067,0.10722427413644585,0.5476744930149067,216.0,0.06582751959945228,216.0,0.9534809845274094,0.055206409210153295,0.9534809845274094,0.0859291877546847,2,4,1,1,0.6255607194253343,0.11739395430147392,0.16239660262376387,0.0,32.0,1,9,1,0.4772727272727273,0.4772727272727273,True,thermal_margin,0.5139611919432687,True,True,75.18,39.98,1.0,0.4248894952247529,0.7518,0.3998,0.4248894952247529,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
1,n-Hexacosane (C26),n-Hexacosane (C26),healthy,10,438.21650097089264,56.5,256.0,770.0,2.38,0.238,1404.0,0.2999999999999971,0.5181137524892008,0.19883201332762873,0.5841861258825671,0.10722427413644585,197.12,0.06582751959945228,0.238,0.0859291877546847,0.9534809845274094,0.055206409210153295,0.2999999999999971,0.12,1.0,0.030000000000000658,,0.029999999999999992,4.587148871117471,0.30698059597163435,0.5181137524892008,0.19883201332762873,0.5181137524892008,0.5841861258825671,0.10722427413644585,0.5841861258825671,197.12,0.06582751959945228,197.12,0.9534809845274094,0.055206409210153295,0.9534809845274094,0.0859291877546847,3,3,2,3,0.6017023466482757,0.11427169919369785,0.16334211451143701,0.017727156691833727,29.0,2,6,2,0.4772727272727273,0.4772727272727273,True,thermal_margin,0.5139611919432687,True,False,53.16,16.42,1.0,0.4248894952247529,0.5316,0.1642,0.4248894952247529,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
1,n-Pentacosane (C25),n-Pentacosane (C25),healthy,10,438.21650097089264,54.0,238.0,801.0,2.39,0.239,1404.0,3.3999999999999986,0.20812530088741504,0.19883201332762873,0.5431105389064491,0.10722427413644585,190.638,0.06582751959945228,0.239,0.0859291877546847,0.9534809845274094,0.055206409210153295,3.3999999999999986,0.12,1.0,0.030000000000000658,,0.029999999999999992,7.087148871117471,0.30698059597163435,0.20812530088741504,0.19883201332762873,0.20812530088741504,0.5431105389064491,0.10722427413644585,0.5431105389064491,190.638,0.06582751959945228,190.638,0.9534809845274094,0.055206409210153295,0.9534809845274094,0.0859291877546847,9,1,6,2,0.48327311770736836,0.11501327514575521,0.2212638235794456,0.46006708237783306,22.0,3,3,3,0.4772727272727273,0.4772727272727273,True,thermal_margin,0.5139611919432687,True,False,37.8,13.62,1.0,0.4248894952247529,0.37799999999999995,0.1362,0.4248894952247529,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
2,RT57HC,RT57HC,healthy,8,405.5426438693259,56.5,240.0,900.0,2.0,0.239,1404.0,0.0,0.4759805075349119,0.1937330646723257,0.5917996630641212,0.096793400154035,216.0,0.05851501938656724,0.239,0.06535102020552173,0.9746860502363812,0.05196039974725391,0.0,0.11773584905660378,1.0,0.056603773584905655,,0.028301886792452827,4.874023803458073,0.33100558640033406,0.4759805075349119,0.1937330646723257,0.4759805075349119,0.5917996630641212,0.096793400154035,0.5917996630641212,216.0,0.05851501938656724,216.0,0.9746860502363812,0.05196039974725391,0.9746860502363812,0.06535102020552173,1,3,1,1,0.622505053504625,0.11397888303471806,0.19196467828684186,0.0,26.0,1,7,1,0.7797619047619048,0.7797619047619048,True,thermal_margin,0.5676715501591587,True,True,84.22,42.32,1.0,0.5749071994222071,0.8422,0.4232,0.5749071994222071,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
2,n-Pentacosane (C25),n-Pentacosane (C25),healthy,8,405.5426438693259,54.0,238.0,801.0,2.39,0.239,1404.0,3.3999999999999986,0.182819290901101,0.1937330646723257,0.5868679992052536,0.096793400154035,190.638,0.05851501938656724,0.239,0.06535102020552173,0.9746860502363812,0.05196039974725391,3.3999999999999986,0.11773584905660378,1.0,0.056603773584905655,,0.028301886792452827,7.374023803458073,0.33100558640033406,0.182819290901101,0.1937330646723257,0.182819290901101,0.5868679992052536,0.096793400154035,0.5868679992052536,190.638,0.05851501938656724,190.638,0.9746860502363812,0.05196039974725391,0.9746860502363812,0.06535102020552173,3,1,3,2,0.5384398443608203,0.11247012691280758,0.2601446428491302,0.44626386434179477,23.0,2,4,2,0.7797619047619048,0.7797619047619048,True,thermal_margin,0.5676715501591587,True,False,59.019999999999996,24.060000000000002,1.0,0.5749071994222071,0.5902,0.24060000000000004,0.5749071994222071,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
2,n-Hexacosane (C26),n-Hexacosane (C26),healthy,8,405.5426438693259,56.5,256.0,770.0,2.38,0.238,1404.0,0.2999999999999971,0.4759805075349119,0.1937330646723257,0.6312529739350627,0.096793400154035,197.12,0.05851501938656724,0.238,0.06535102020552173,0.9746860502363812,0.05196039974725391,0.2999999999999971,0.11773584905660378,1.0,0.056603773584905655,,0.028301886792452827,4.874023803458073,0.33100558640033406,0.4759805075349119,0.1937330646723257,0.4759805075349119,0.6312529739350627,0.096793400154035,0.6312529739350627,197.12,0.05851501938656724,197.12,0.9746860502363812,0.05196039974725391,0.9746860502363812,0.06535102020552173,2,2,2,3,0.6038308315795313,0.10992145248807147,0.1987476177397224,0.012759847447295499,23.0,2,4,2,0.7797619047619048,0.7797619047619048,True,thermal_margin,0.5676715501591587,True,True,71.92,21.68,1.0,0.5749071994222071,0.7192000000000001,0.2168,0.5749071994222071,"COMPLETE — 55-row manufacturer database (+7 literature rows = 62 candidates total) as of 2026-08-12, inside the 40-60-row target (was ~25 rows/18 manufacturer at the prior run)",2400_3_1789532053.943
