,era5_GHI,era5_DNI,era5_DHI,era5_GHI_clearsky,era5_CSI,era5_T_amb,era5_T_dew,era5_RHum,era5_W_spd,era5_cloud_cover,era5_precipitation,era5_P_atm,era5_SZA,era5_cloud_opacity,era5_T_depression
era5_GHI,1.0,0.726390948329776,-0.33615353102951534,0.9536252996030892,0.38719423845390694,0.6259674264770977,-0.2844018919780963,-0.7024953550374404,0.22698074122104842,-0.31800385831576017,-0.112921605688175,0.047520295801307386,-0.9429751222366014,-0.6394706247168928,0.6881893916258045
era5_DNI,0.726390948329776,1.0,-0.3618989852428308,0.6510907137721709,0.5582090973075625,0.47414189953411556,-0.29050310255741973,-0.5899388991330341,0.12268374054251378,-0.3557410222015479,-0.11932629285348646,0.04197335234580617,-0.6392406501364727,-0.7000532896196234,0.563427929980723
era5_DHI,-0.33615353102951534,-0.3618989852428308,1.0,-0.3942358584465016,-0.41492734333995834,0.12504844151562108,0.056721987741096866,-0.08771695293937493,0.06438168380100308,0.10547250212452249,0.020755637764602618,-0.024904063101286754,0.39819020117634546,0.4750763501470987,0.07373161072173717
era5_GHI_clearsky,0.9536252996030892,0.6510907137721709,-0.3942358584465016,1.0,0.31043496762477113,0.5601083691741185,-0.20883174604760854,-0.6125120992699892,0.2729553806721074,-0.20306522642592734,-0.056022116574756815,0.030047252487015157,-0.9870069393610882,-0.5654584502229322,0.5901542197488653
era5_CSI,0.38719423845390694,0.5582090973075625,-0.41492734333995834,0.31043496762477113,1.0,0.2066956810407566,-0.09781300352089281,-0.2368887957378686,-0.06205576247121706,-0.26211578922876694,-0.11413569399295273,0.08173011197214043,-0.3174953482919102,-0.9520488835739265,0.22943286116620276
era5_T_amb,0.6259674264770977,0.47414189953411556,0.12504844151562108,0.5601083691741185,0.2066956810407566,1.0,0.029632784031205974,-0.8271096346937193,0.20987710229426143,-0.16174373073890888,-0.12660633471414653,0.3551309154821637,-0.6020092873615515,-0.3582957097533276,0.8276674072591944
era5_T_dew,-0.2844018919780963,-0.29050310255741973,0.056721987741096866,-0.20883174604760854,-0.09781300352089281,0.029632784031205974,1.0,0.5045788766215006,-0.0665924177248735,0.3240677375944571,0.14300269622950632,0.4381078598273258,0.15997146958169714,0.1739440467804211,-0.536446360898835
era5_RHum,-0.7024953550374404,-0.5899388991330341,-0.08771695293937493,-0.6125120992699892,-0.2368887957378686,-0.8271096346937193,0.5045788766215006,1.0,-0.23499503958316326,0.310959584409699,0.1966748858719556,-0.05015805508959987,0.6161613892612712,0.4107892779574073,-0.9816365775515736
era5_W_spd,0.22698074122104842,0.12268374054251378,0.06438168380100308,0.2729553806721074,-0.06205576247121706,0.20987710229426143,-0.0665924177248735,-0.23499503958316326,1.0,0.13984556268555204,-0.02331152733939218,0.13505133443067596,-0.2764631600338348,-0.02097780882897167,0.21458967063718865
era5_cloud_cover,-0.31800385831576017,-0.3557410222015479,0.10547250212452249,-0.20306522642592734,-0.26211578922876694,-0.16174373073890888,0.3240677375944571,0.310959584409699,0.13984556268555204,1.0,0.13865817419793564,-0.06371754292359609,0.17453155224307088,0.31648520001536407,-0.31851391770195187
era5_precipitation,-0.112921605688175,-0.11932629285348646,0.020755637764602618,-0.056022116574756815,-0.11413569399295273,-0.12660633471414653,0.14300269622950632,0.1966748858719556,-0.02331152733939218,0.13865817419793564,1.0,-0.04466150786667179,0.06057914655296889,0.13813345196904753,-0.1871854624577623
era5_P_atm,0.047520295801307386,0.04197335234580617,-0.024904063101286754,0.030047252487015157,0.08173011197214043,0.3551309154821637,0.4381078598273258,-0.05015805508959987,0.13505133443067596,-0.06371754292359609,-0.04466150786667179,1.0,-0.03336738219907715,-0.08854336508227048,0.05385643860161582
era5_SZA,-0.9429751222366014,-0.6392406501364727,0.39819020117634546,-0.9870069393610882,-0.3174953482919102,-0.6020092873615515,0.15997146958169714,0.6161613892612712,-0.2764631600338348,0.17453155224307088,0.06057914655296889,-0.03336738219907715,1.0,0.5663098197985292,-0.5980980242394505
era5_cloud_opacity,-0.6394706247168928,-0.7000532896196234,0.4750763501470987,-0.5654584502229322,-0.9520488835739265,-0.3582957097533276,0.1739440467804211,0.4107892779574073,-0.02097780882897167,0.31648520001536407,0.13813345196904753,-0.08854336508227048,0.5663098197985292,1.0,-0.40017450489064077
era5_T_depression,0.6881893916258045,0.563427929980723,0.07373161072173717,0.5901542197488653,0.22943286116620276,0.8276674072591944,-0.536446360898835,-0.9816365775515736,0.21458967063718865,-0.31851391770195187,-0.1871854624577623,0.05385643860161582,-0.5980980242394505,-0.40017450489064077,1.0
