,era5_GHI,era5_DNI,era5_DHI,era5_GHI_clearsky,era5_CSI,era5_T_amb,era5_T_dew,era5_RHum,era5_W_spd,era5_cloud_cover,era5_precipitation,era5_P_atm,era5_SZA,era5_cloud_opacity,era5_T_depression
era5_GHI,1.0,0.7529882352367899,-0.3870367964645074,0.8237484673139136,0.5656691623860619,0.6600622877785364,-0.23849683275332503,-0.7247458681015415,0.2079625591721484,-0.36870312148961576,-0.13868165401193655,0.05210866426436081,-0.7929010411178281,-0.5721605300581347,0.7261982526739976
era5_DNI,0.7529882352367899,1.0,-0.49177826213441134,0.709893081766318,0.7031425773316764,0.4219193760403894,-0.25660759848581804,-0.5426087879117885,0.10780745271103293,-0.3919742795564015,-0.17240118074513708,0.05519435171720666,-0.6604996068914677,-0.7072955040149022,0.540736384058189
era5_DHI,-0.3870367964645074,-0.49177826213441134,1.0,-0.6460971125483123,-0.4613989785330203,-0.04333836048400207,0.025178702792730413,0.056125205373078274,-0.03182275399649082,0.06083696627473274,-0.029087723183966397,-0.027394198083801998,0.6584579838625128,0.46227845621257047,-0.05581389298953985
era5_GHI_clearsky,0.8237484673139136,0.709893081766318,-0.6460971125483123,1.0,0.5342499603962128,0.494838632730128,-0.16894074244519006,-0.5309934373756294,0.1688433852029814,-0.22342440291992058,-0.02207504520260739,-0.013991958325837453,-0.9641589575672956,-0.5392867830971397,0.5311538471062356
era5_CSI,0.5656691623860619,0.7031425773316764,-0.4613989785330203,0.5342499603962128,1.0,0.24852385061005638,-0.107447921220668,-0.3074945153012405,-0.05525675759090289,-0.36394575782911254,-0.22896897044200235,0.09320973925887217,-0.49781669137592877,-0.9994790265215457,0.3079945646868674
era5_T_amb,0.6600622877785364,0.4219193760403894,-0.04333836048400207,0.494838632730128,0.24852385061005638,1.0,0.004914452990225729,-0.8394040475991529,0.23476554866243604,-0.17792419588236974,-0.14706667352990374,0.26898022615439704,-0.5385552068920209,-0.2529392958600072,0.8525410854988054
era5_T_dew,-0.23849683275332503,-0.25660759848581804,0.025178702792730413,-0.16894074244519006,-0.107447921220668,0.004914452990225729,1.0,0.47726454204238994,-0.1003647468772491,0.21480377769984732,0.3890139554997396,0.4366577730234007,0.0890823753852254,0.1129562758727179,-0.4722359365199662
era5_RHum,-0.7247458681015415,-0.5426087879117885,0.056125205373078274,-0.5309934373756294,-0.3074945153012405,-0.8394040475991529,0.47726454204238994,1.0,-0.26289285901881143,0.2956672206534882,0.3272772170755374,-0.01360890378992101,0.520942474248153,0.31402232781713146,-0.9913786468695435
era5_W_spd,0.2079625591721484,0.10780745271103293,-0.03182275399649082,0.1688433852029814,-0.05525675759090289,0.23476554866243604,-0.1003647468772491,-0.26289285901881143,1.0,0.14617191258658727,-0.004018468772998546,0.17928789615742383,-0.21163492550014704,0.052787057827920626,0.2625967521692791
era5_cloud_cover,-0.36870312148961576,-0.3919742795564015,0.06083696627473274,-0.22342440291992058,-0.36394575782911254,-0.17792419588236974,0.21480377769984732,0.2956672206534882,0.14617191258658727,1.0,0.315984572001279,-0.0950498798440901,0.1368673042887656,0.367720313341897,-0.2920849618260085
era5_precipitation,-0.13868165401193655,-0.17240118074513708,-0.029087723183966397,-0.02207504520260739,-0.22896897044200235,-0.14706667352990374,0.3890139554997396,0.3272772170755374,-0.004018468772998546,0.315984572001279,1.0,-0.06300940150548329,0.006932772922325433,0.2312100306259815,-0.3287964925046376
era5_P_atm,0.05210866426436081,0.05519435171720666,-0.027394198083801998,-0.013991958325837453,0.09320973925887217,0.26898022615439704,0.4366577730234007,-0.01360890378992101,0.17928789615742383,-0.0950498798440901,-0.06300940150548329,1.0,-0.025451343488572097,-0.0932659427931648,0.023531424029391394
era5_SZA,-0.7929010411178281,-0.6604996068914677,0.6584579838625128,-0.9641589575672956,-0.49781669137592877,-0.5385552068920209,0.0890823753852254,0.520942474248153,-0.21163492550014704,0.1368673042887656,0.006932772922325433,-0.025451343488572097,1.0,0.5020259222515627,-0.5234148358320946
era5_cloud_opacity,-0.5721605300581347,-0.7072955040149022,0.46227845621257047,-0.5392867830971397,-0.9994790265215457,-0.2529392958600072,0.1129562758727179,0.31402232781713146,0.052787057827920626,0.367720313341897,0.2312100306259815,-0.0932659427931648,0.5020259222515627,1.0,-0.314525979527599
era5_T_depression,0.7261982526739976,0.540736384058189,-0.05581389298953985,0.5311538471062356,0.3079945646868674,0.8525410854988054,-0.4722359365199662,-0.9913786468695435,0.2625967521692791,-0.2920849618260085,-0.3287964925046376,0.023531424029391394,-0.5234148358320946,-0.314525979527599,1.0
