feature,VIF
era5_P_atm,1874.08
era5_T_amb,1020.54
era5_T_dew,437.43
era5_RHum,346.4
era5_SZA,178.29
era5_GHI_clearsky,124.37
era5_GHI,44.68
era5_cloud_cover,10.07
era5_DNI,6.83
era5_W_spd,5.24
era5_CSI,4.29
era5_DHI,2.7
era5_precipitation,1.15
