,era5_GHI,era5_DNI,era5_DHI,era5_GHI_clearsky,era5_CSI,era5_T_amb,era5_T_dew,era5_RHum,era5_W_spd,era5_cloud_cover,era5_precipitation,era5_P_atm,era5_SZA,era5_cloud_opacity,era5_T_depression
era5_GHI,1.0,0.6756477943510591,0.16313934339716998,0.1880023429057364,0.48388230560538315,0.3037195961447087,-0.09790471489560684,-0.3304339737486573,0.16914375642856944,-0.11314125371702002,-0.08216050471342132,-0.0005470559482688339,-0.17533851937668699,-0.48388230560538315,0.3287292901201727
era5_DNI,0.6756477943510591,1.0,-0.41613085580417536,0.4188672924481849,0.8507071941530272,0.06160641696578032,-0.06284621310308657,-0.11103507358394217,0.08058570945207587,-0.15341757584580148,-0.16492643410275978,0.030551223815977586,-0.4155643195785299,-0.8507071941530272,0.10775089204300502
era5_DHI,0.16313934339716998,-0.41613085580417536,1.0,-0.627495450604679,-0.3895772175569526,-0.02932123075690558,0.04621799989611491,0.07073885015920146,-0.03495960623891807,0.13866032265199713,0.15159398316888498,-0.0700842676854382,0.6223936626297135,0.3895772175569526,-0.0695697054812376
era5_GHI_clearsky,0.1880023429057364,0.4188672924481849,-0.627495450604679,1.0,0.2843656116211394,0.528439922346591,-0.13943334387405307,-0.5419890132972756,0.17140579299199044,-0.23305890076620023,-0.17659648767558475,0.04888855959723671,-0.9672354776860942,-0.2843656116211394,0.5433616911292348
era5_CSI,0.48388230560538315,0.8507071941530272,-0.3895772175569526,0.2843656116211394,1.0,-0.08547263508230894,0.032739917397601084,0.07198188246760306,-0.01008582386032125,-0.0776528283512949,-0.14049552899657347,0.048704080203439144,-0.2959993689188027,-1.0,-0.07539267462445307
era5_T_amb,0.3037195961447087,0.06160641696578032,-0.02932123075690558,0.528439922346591,-0.08547263508230894,1.0,0.004914452990225729,-0.8394040475991529,0.23476554866243604,-0.17792419588236974,-0.16090269117486808,0.26898022615439704,-0.5385552019377009,0.08547263508230894,0.8525410854988054
era5_T_dew,-0.09790471489560684,-0.06284621310308657,0.04621799989611491,-0.13943334387405307,0.032739917397601084,0.004914452990225729,1.0,0.47726454204238994,-0.1003647468772491,0.21480377769984732,0.26725060696204833,0.4366577730234007,0.08908238407888941,-0.032739917397601084,-0.4722359365199662
era5_RHum,-0.3304339737486573,-0.11103507358394217,0.07073885015920146,-0.5419890132972756,0.07198188246760306,-0.8394040475991529,0.47726454204238994,1.0,-0.26289285901881143,0.2956672206534882,0.28865441827971344,-0.01360890378992101,0.520942473127065,-0.07198188246760306,-0.9913786468695435
era5_W_spd,0.16914375642856944,0.08058570945207587,-0.03495960623891807,0.17140579299199044,-0.01008582386032125,0.23476554866243604,-0.1003647468772491,-0.26289285901881143,1.0,0.14617191258658727,-0.029448586054512237,0.17928789615742383,-0.21163491937285106,0.01008582386032125,0.2625967521692791
era5_cloud_cover,-0.11314125371702002,-0.15341757584580148,0.13866032265199713,-0.23305890076620023,-0.0776528283512949,-0.17792419588236974,0.21480377769984732,0.2956672206534882,0.14617191258658727,1.0,0.2892751969799576,-0.0950498798440901,0.13686730259585003,0.0776528283512949,-0.2920849618260085
era5_precipitation,-0.08216050471342132,-0.16492643410275978,0.15159398316888498,-0.17659648767558475,-0.14049552899657347,-0.16090269117486808,0.26725060696204833,0.28865441827971344,-0.029448586054512237,0.2892751969799576,1.0,-0.0695571464343979,0.14493344303963696,0.14049552899657347,-0.28841169986595316
era5_P_atm,-0.0005470559482688339,0.030551223815977586,-0.0700842676854382,0.04888855959723671,0.048704080203439144,0.26898022615439704,0.4366577730234007,-0.01360890378992101,0.17928789615742383,-0.0950498798440901,-0.0695571464343979,1.0,-0.02545132830146809,-0.048704080203439144,0.023531424029391394
era5_SZA,-0.17533851937668699,-0.4155643195785299,0.6223936626297135,-0.9672354776860942,-0.2959993689188027,-0.5385552019377009,0.08908238407888941,0.520942473127065,-0.21163491937285106,0.13686730259585003,0.14493344303963696,-0.02545132830146809,1.0,0.2959993689188027,-0.5234148351591825
era5_cloud_opacity,-0.48388230560538315,-0.8507071941530272,0.3895772175569526,-0.2843656116211394,-1.0,0.08547263508230894,-0.032739917397601084,-0.07198188246760306,0.01008582386032125,0.0776528283512949,0.14049552899657347,-0.048704080203439144,0.2959993689188027,1.0,0.07539267462445307
era5_T_depression,0.3287292901201727,0.10775089204300502,-0.0695697054812376,0.5433616911292348,-0.07539267462445307,0.8525410854988054,-0.4722359365199662,-0.9913786468695435,0.2625967521692791,-0.2920849618260085,-0.28841169986595316,0.023531424029391394,-0.5234148351591825,0.07539267462445307,1.0
