,era5_GHI,era5_DNI,era5_DHI,era5_GHI_clearsky,era5_CSI,era5_T_amb,era5_T_dew,era5_RHum,era5_W_spd,era5_cloud_cover,era5_precipitation,era5_P_atm,era5_SZA,era5_cloud_opacity,era5_T_depression
era5_GHI,1.0,0.4225790398047271,0.16439151921495873,0.40600858474946205,0.18084422956222457,0.3316669672839117,-0.12453315792661333,-0.36787298337695845,0.21165745327405894,-0.10251520146336587,-0.05967649046215305,0.010119306234825622,-0.38972497230513764,-0.18091578526430302,0.3499492112096587
era5_DNI,0.4225790398047271,1.0,-0.1552772286013201,0.15620618915250234,0.3429142564433006,0.026167269413142156,-0.02581272667214869,-0.04892309311584334,0.10179668108726442,-0.0031600813250166164,-0.04623530639178851,-0.07139653313509717,-0.15402907281051506,-0.34294822468195924,0.03658611626097888
era5_DHI,0.16439151921495873,-0.1552772286013201,1.0,-0.3526492613045236,-0.249490479658642,0.1615013442458892,0.05992249565502877,-0.11405766329471952,0.06833860421943261,0.16570144388463104,0.07271682263050065,-0.07008738224008249,0.3578182831533238,0.24957097432554093,0.10271201108101463
era5_GHI_clearsky,0.40600858474946205,0.15620618915250234,-0.3526492613045236,1.0,-0.09012861971369868,0.5658597143071191,-0.20205640762588875,-0.6133496473689592,0.2745158267968797,-0.20357958872734058,-0.08337692975222685,0.044367277861214,-0.9870831737690591,0.0901239240367943,0.5912059917073065
era5_CSI,0.18084422956222457,0.3429142564433006,-0.249490479658642,-0.09012861971369868,1.0,-0.19981103163263933,0.08874401504244583,0.22285005002138297,-0.05888541947749954,0.036624410742175484,-0.09902397917078039,0.02885896880252231,0.07555352277192263,-0.9999613837456243,-0.21852819200540216
era5_T_amb,0.3316669672839117,0.026167269413142156,0.1615013442458892,0.5658597143071191,-0.19981103163263933,1.0,0.029632784031205974,-0.8271096346937193,0.20987710229426143,-0.16174373073890888,-0.09882095024662657,0.3551309154821637,-0.6020092867206264,0.19987887761061562,0.8276674072591944
era5_T_dew,-0.12453315792661333,-0.02581272667214869,0.05992249565502877,-0.20205640762588875,0.08874401504244583,0.029632784031205974,1.0,0.5045788766215006,-0.0665924177248735,0.3240677375944571,0.12099886181936675,0.4381078598273258,0.15997147039166676,-0.08874487806280774,-0.536446360898835
era5_RHum,-0.36787298337695845,-0.04892309311584334,-0.11405766329471952,-0.6133496473689592,0.22285005002138297,-0.8271096346937193,0.5045788766215006,1.0,-0.23499503958316326,0.310959584409699,0.15603755222526422,-0.05015805508959987,0.6161613891750637,-0.22291160442269495,-0.9816365775515736
era5_W_spd,0.21165745327405894,0.10179668108726442,0.06833860421943261,0.2745158267968797,-0.05888541947749954,0.20987710229426143,-0.0665924177248735,-0.23499503958316326,1.0,0.13984556268555204,-0.034827238507581654,0.13505133443067596,-0.27646315976188013,0.058867778579967125,0.21458967063718865
era5_cloud_cover,-0.10251520146336587,-0.0031600813250166164,0.16570144388463104,-0.20357958872734058,0.036624410742175484,-0.16174373073890888,0.3240677375944571,0.310959584409699,0.13984556268555204,1.0,0.11997266168760375,-0.06371754292359609,0.1745315522238489,-0.03661048049594464,-0.31851391770195187
era5_precipitation,-0.05967649046215305,-0.04623530639178851,0.07271682263050065,-0.08337692975222685,-0.09902397917078039,-0.09882095024662657,0.12099886181936675,0.15603755222526422,-0.034827238507581654,0.11997266168760375,1.0,-0.044907674601419464,0.08336461214119961,0.09905282520890535,-0.15137172475499647
era5_P_atm,0.010119306234825622,-0.07139653313509717,-0.07008738224008249,0.044367277861214,0.02885896880252231,0.3551309154821637,0.4381078598273258,-0.05015805508959987,0.13505133443067596,-0.06371754292359609,-0.044907674601419464,1.0,-0.03336738049564606,-0.028867723191716543,0.05385643860161582
era5_SZA,-0.38972497230513764,-0.15402907281051506,0.3578182831533238,-0.9870831737690591,0.07555352277192263,-0.6020092867206264,0.15997147039166676,0.6161613891750637,-0.27646315976188013,0.1745315522238489,0.08336461214119961,-0.03336738049564606,1.0,-0.07554526819965209,-0.5980980241530899
era5_cloud_opacity,-0.18091578526430302,-0.34294822468195924,0.24957097432554093,0.0901239240367943,-0.9999613837456243,0.19987887761061562,-0.08874487806280774,-0.22291160442269495,0.058867778579967125,-0.03661048049594464,0.09905282520890535,-0.028867723191716543,-0.07554526819965209,1.0,0.21858595927302818
era5_T_depression,0.3499492112096587,0.03658611626097888,0.10271201108101463,0.5912059917073065,-0.21852819200540216,0.8276674072591944,-0.536446360898835,-0.9816365775515736,0.21458967063718865,-0.31851391770195187,-0.15137172475499647,0.05385643860161582,-0.5980980241530899,0.21858595927302818,1.0
