k,kmeans_silhouette
2,0.2727266198977795
3,0.3125228410704961
4,0.31984475641711707
5,0.325584524834899
6,0.2682503999594903
7,0.32356030082684983
8,0.30696111770188317
9,0.3125321581450886
10,0.3210202930959239
