cluster_id,Tm_target_C,L_required_kJ_per_kg,name,family,pcm_type,Tm_C,Tm_freezing_C,latent_heat_kJ_kg,density_liquid_kg_m3,density_solid_kg_m3,Cp_liquid_kJ_kgK,Cp_solid_kJ_kgK,TC_W_mK,cycles_tested,cycles_tested_status,flammable,supercooling_K,n_properties_imputed,any_property_imputed,source,rho_H_MJ_m3,Cp_avg_kJ_kgK,cycles_confidence,in_absolute_band,corrosion_class,pass_melting_window,pass_absolute_band,pass_latent_heat,latent_heat_floor_used,cycling_known,pass_cycling,cycling_flag,supercooling_known,pass_supercooling,pass_corrosion,pass_safety,passes_all,window_lo,window_hi,window_relax_applied
0,56.99999999999999,301.43035736006726,RT42,Rubitherm Technologies,Organic (RT-line),40.5,40.0,165.0,760.0,880.0,2.0,2.0,0.1785,1564.0,Estimated via MICE-RF-PMM,Yes,0.5,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,145.2,2.0,0.9676689614899936,False,low_organic,False,False,False,211.00125015204708,True,True,,True,True,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,301.43035736006726,RT44HC,Rubitherm Technologies,Organic (RT-line),42.5,42.5,250.0,750.0,800.0,2.0,2.0,0.24,1216.0,Estimated via MICE-RF-PMM,No,0.0,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,200.0,2.0,0.9345833545300116,True,low_organic,False,True,True,211.00125015204708,True,True,,True,True,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,301.43035736006726,Myristic-Palmitic eutectic (58/42),Eutectic,Organic,42.6,,169.7,,,,,,,not_reported,Likely (organic),,0,False,Singh2025_Table2_literature,,,,True,low_organic,False,True,False,211.00125015204708,False,True,not_reported,False,True,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,301.43035736006726,savE® OM42,Pluss Advanced Technologies,Organic,44.0,43.0,199.0,863.0,903.0,2.78,2.71,0.145,2000.0,Reported by manufacturer,Yes,1.0,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,179.697,2.745,1.0,True,low_organic,False,True,False,211.00125015204708,True,True,,True,True,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,301.43035736006726,n-Docosane (C22),Literature,Organic n-alkane,44.5,44.3,249.0,880.0,880.0,2.06,2.0,0.24,1440.0,Estimated via MICE-RF-PMM,No,0.2000000000000028,7,True,manufacturer_datasheet_MICE_RF_PMM_completed,219.12,2.03,0.9568093196316532,True,low_organic,False,True,True,211.00125015204708,True,True,,True,True,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,301.43035736006726,RT47,Rubitherm Technologies,Organic (RT-line),44.5,44.5,160.0,770.0,880.0,2.0,2.0,0.178,1665.0,Estimated via MICE-RF-PMM,No,0.0,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,140.8,2.0,0.9758963538841574,True,low_organic,False,True,False,211.00125015204708,True,True,,True,True,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,301.43035736006726,C22H46 (docosane-class paraffin),Paraffin,Organic,44.5,,249.0,,,,,,,not_reported,Likely (organic),,0,False,Singh2025_Table2_literature,,,,True,low_organic,False,True,True,211.00125015204708,False,True,not_reported,False,True,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,301.43035736006726,Lauric acid (C12),Literature,Organic fatty acid,44.8,44.8,184.0,870.0,960.0,1.6,2.0,0.1639999999999999,2000.0,Estimated via MICE-RF-PMM,Yes,0.0,7,True,manufacturer_datasheet_MICE_RF_PMM_completed,176.64,1.8,1.0,True,low_organic,False,True,False,211.00125015204708,True,True,,True,True,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,301.43035736006726,RT45HC,Rubitherm Technologies,Organic (RT-line),45.0,45.0,240.0,770.0,880.0,2.0,2.0,0.24,1216.0,Estimated via MICE-RF-PMM,No,0.0,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,211.2,2.0,0.9345833545300116,True,low_organic,False,True,True,211.00125015204708,True,True,,True,True,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,301.43035736006726,savE® OM46,Pluss Advanced Technologies,Organic,47.0,45.0,177.0,880.0,917.0,2.7,2.5,0.15,2000.0,Reported by manufacturer,No,2.0,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,162.309,2.6,1.0,True,low_organic,False,True,False,211.00125015204708,True,True,,True,True,True,True,False,51.99999999999999,65.0,0.0
