k,kmeans_silhouette
2,0.26291426079745867
3,0.31393635810098064
4,0.3221767489381475
5,0.3284187282273995
6,0.3180307191029572
7,0.3411848654863781
8,0.2975807914696994
9,0.33172380530479595
10,0.3268002618169463
