k,BIC,silhouette,davies_bouldin,calinski_harabasz,in_accept_band
2,4938.900135433439,0.26291426079745867,1.3673793735960291,43.278680569570135,True
3,3344.9650282636376,0.22548621406885597,1.4276433890757707,29.2898204899425,True
4,2977.25241895134,0.2605545238083458,1.6576205134600068,33.28328406620624,True
5,2103.0349880714098,0.2622824907236575,1.607372381143189,35.66454335264661,True
6,1448.0244134921486,0.3053248850623127,1.3303342314860978,32.05899510246818,True
7,-596.9421712576363,0.2900218931222408,1.5304881019852874,33.05520285135217,True
8,-1719.4417559128806,0.29716304108912384,1.4432166548786984,30.582022587670703,True
9,-2594.8467938043286,0.3116468652788787,1.487732603507739,31.37986225376362,True
10,-3581.4579324787396,0.27532264534552875,1.449417888629044,30.33479680626361,True
