cluster_id,Tm_target_C,L_required_kJ_per_kg,name,family,pcm_type,Tm_C,Tm_freezing_C,latent_heat_kJ_kg,density_liquid_kg_m3,density_solid_kg_m3,Cp_liquid_kJ_kgK,Cp_solid_kJ_kgK,TC_W_mK,cycles_tested,cycles_tested_status,flammable,supercooling_K,n_properties_imputed,any_property_imputed,source,rho_H_MJ_m3,Cp_avg_kJ_kgK,cycles_confidence,in_absolute_band,corrosion_class,pass_melting_window,pass_absolute_band,pass_latent_heat,latent_heat_floor_used,cycling_known,pass_cycling,cycling_flag,supercooling_known,pass_supercooling,pass_corrosion,pass_safety,passes_all,window_lo,window_hi,window_relax_applied,f_Tm,latent_heat_margin_ratio,cycles_confidence_imputed,topsis_score,gra_grade,promethee_flow,vikor_Q,vikor_S,vikor_R,topsis_rank,gra_rank,promethee_rank,vikor_rank,vikor_compromise_note,borda_score,copeland_score,consensus_rank,copeland_rank,kendall_w,borda_copeland_agree,weight_f_Tm,weight_latent_heat_margin_ratio,weight_rho_H_MJ_m3,weight_TC_W_mK,weight_cycles_confidence,top3_inclusion_probability,top1_retention_rate,mean_spearman_rho_vs_baseline,n_draws
0,56.99999999999999,301.43035736006726,n-Octacosane (C28),Literature,Organic n-alkane,61.6,62.3,253.0,910.0,910.0,2.38,2.05,0.2665,1581.0,Estimated via MICE-RF-PMM,No,-0.6999999999999957,8,True,manufacturer_datasheet_MICE_RF_PMM_completed,230.23,2.215,0.969090284145708,True,low_organic,True,True,True,211.00125015204708,True,True,,True,True,True,True,True,51.99999999999999,65.0,0.0,0.5162056739454951,0.8393315199430434,False,0.6942799466243185,0.712970053533999,0.47020623919525556,0.0,0.2618477054613845,0.14892312409450062,1,1,1,1,single VIKOR winner acceptable,60.0,14.0,1,1,0.8419642857142857,True,0.24276120498186576,0.2349480908170868,0.15196445454719892,0.14921853948209785,0.22110771017175063,0.7682,0.5078,0.6842364285714284,5000
0,56.99999999999999,301.43035736006726,n-Hexacosane (C26),Literature,Organic n-alkane,56.5,56.2,256.0,770.0,770.0,2.38,2.2,0.238,1404.0,Estimated via MICE-RF-PMM,Yes,0.2999999999999971,7,True,manufacturer_datasheet_MICE_RF_PMM_completed,197.12,2.29,0.9534809845274094,True,low_organic,True,True,True,211.00125015204708,True,True,,True,True,True,True,True,51.99999999999999,65.0,0.0,0.9922179382602437,0.8492840676103522,False,0.5678844972983818,0.704388732956604,0.2587782466397442,0.32376182828056393,0.35621009418640825,0.19431287549958673,2,2,2,3,single VIKOR winner acceptable,55.0,12.0,2,2,0.8419642857142857,True,0.24276120498186576,0.2349480908170868,0.15196445454719892,0.14921853948209785,0.22110771017175063,0.3612,0.1064,0.6842364285714284,5000
0,56.99999999999999,301.43035736006726,PureTemp 58,PureTemp,Organic bio-based PCM,58.0,58.1,225.0,810.0,890.0,2.71,2.47,0.2,1620.0,Estimated via MICE-RF-PMM,Yes,-0.1000000000000014,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,200.25,2.59,0.972294084225764,True,low_organic,True,True,True,211.00125015204708,True,True,,True,True,True,True,True,51.99999999999999,65.0,0.0,0.9692332344763437,0.7464410750481612,False,0.5567452821356483,0.605899607875827,0.08435100388771362,0.3070953039063985,0.439331108816267,0.17764367842267537,3,4,5,2,single VIKOR winner acceptable,50.0,9.0,3,3,0.8419642857142857,True,0.24276120498186576,0.2349480908170868,0.15196445454719892,0.14921853948209785,0.22110771017175063,0.3982,0.1122,0.6842364285714284,5000
0,56.99999999999999,301.43035736006726,RT57HC,Rubitherm Technologies,Organic (RT-line),56.5,56.5,240.0,800.0,900.0,2.0,2.0,0.239,1404.0,Estimated via MICE-RF-PMM,Yes,0.0,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,216.0,2.0,0.9534809845274094,True,low_organic,True,True,True,211.00125015204708,True,True,,True,True,True,True,True,51.99999999999999,65.0,0.0,0.9922179382602437,0.7962038133847053,False,0.5438902673724505,0.6335995107576947,0.24494219440732218,0.35422602665666836,0.39130545701295294,0.19431287549958673,4,3,3,5,single VIKOR winner acceptable,49.0,9.0,4,3,0.8419642857142857,True,0.24276120498186576,0.2349480908170868,0.15196445454719892,0.14921853948209785,0.22110771017175063,0.249,0.0534,0.6842364285714284,5000
0,56.99999999999999,301.43035736006726,PureTemp 53,PureTemp,Organic bio-based PCM,53.0,51.1,225.0,840.0,920.0,2.6,2.36,0.2,1686.0,Estimated via MICE-RF-PMM,Yes,1.8999999999999984,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,207.0,2.48,0.977544241901108,True,low_organic,True,True,True,211.00125015204708,True,True,,True,True,True,True,True,51.99999999999999,65.0,0.0,0.6065306597126345,0.7464410750481612,False,0.5374762066165433,0.5633203991407083,-0.015678193695481037,0.35272095598995656,0.49189276805645094,0.17764367842267537,5,8,9,4,single VIKOR winner acceptable,38.0,4.0,5,5,0.8419642857142857,True,0.24276120498186576,0.2349480908170868,0.15196445454719892,0.14921853948209785,0.22110771017175063,0.3486,0.0802,0.6842364285714284,5000
0,56.99999999999999,301.43035736006726,RT64HC,Rubitherm Technologies,Organic (RT-line),64.0,62.5,250.0,780.0,880.0,2.0,2.0,0.283,1404.0,Estimated via MICE-RF-PMM,Yes,1.5,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,220.0,2.0,0.9534809845274094,True,low_organic,True,True,True,211.00125015204708,True,True,,True,True,True,True,True,51.99999999999999,65.0,0.0,0.2162651668298866,0.8293789722757346,False,0.4790131843182879,0.6011446717729684,0.10017346404732892,0.707885183481566,0.5013355741609946,0.24276120498186576,8,5,4,13,single VIKOR winner acceptable,34.0,3.0,6,6,0.8419642857142857,True,0.24276120498186576,0.2349480908170868,0.15196445454719892,0.14921853948209785,0.22110771017175063,0.1282,0.0204,0.6842364285714284,5000
0,56.99999999999999,301.43035736006726,PlusICE A58,PCM Products Ltd.,Organic PCM,58.0,58.2,215.0,910.0,910.0,2.22,2.22,0.22,1581.0,Estimated via MICE-RF-PMM,Yes,-0.2000000000000028,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,195.65,2.22,0.969090284145708,True,low_organic,True,True,True,211.00125015204708,True,True,,True,True,True,True,True,51.99999999999999,65.0,0.0,0.9692332344763437,0.7132659161571318,False,0.4937709924065237,0.5738850603046675,0.034534002945492644,0.6705081128561449,0.5062359882608561,0.2349480908170868,7,6,6,12,single VIKOR winner acceptable,33.0,3.0,7,6,0.8419642857142857,True,0.24276120498186576,0.2349480908170868,0.15196445454719892,0.14921853948209785,0.22110771017175063,0.1548,0.0242,0.6842364285714284,5000
0,56.99999999999999,301.43035736006726,PureTemp 60,PureTemp,Organic bio-based PCM,61.0,61.5,220.0,870.0,960.0,2.38,2.04,0.2,1695.0,Estimated via MICE-RF-PMM,Yes,-0.5,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,211.2,2.21,0.9782442092981332,True,low_organic,True,True,True,211.00125015204708,True,True,,True,True,True,True,True,51.99999999999999,65.0,0.0,0.6065306597126323,0.7298534956026465,False,0.5260672513574202,0.5729944030040806,-0.01969117162185276,0.5148445951296976,0.5027854723772512,0.2062958846198811,6,7,10,8,single VIKOR winner acceptable,33.0,2.0,7,8,0.8419642857142857,True,0.24276120498186576,0.2349480908170868,0.15196445454719892,0.14921853948209785,0.22110771017175063,0.3256,0.066,0.6842364285714284,5000
0,56.99999999999999,301.43035736006726,n-Tetracosane (C24),Literature,Organic n-alkane,52.0,49.3,255.0,799.0,799.0,2.39,2.0,0.2395,1368.0,Estimated via MICE-RF-PMM,Yes,2.700000000000003,7,True,manufacturer_datasheet_MICE_RF_PMM_completed,203.745,2.1950000000000003,0.9500662519113888,True,low_organic,True,True,True,211.00125015204708,True,True,,True,True,True,True,True,51.99999999999999,65.0,0.0,0.45783336177161527,0.8459665517212493,False,0.46148486409255723,0.5560306216832569,-0.002426333926916348,0.6212076511098604,0.5343978233516724,0.22110771017175063,9,9,7,10,single VIKOR winner acceptable,29.0,-2.0,9,9,0.8419642857142857,True,0.24276120498186576,0.2349480908170868,0.15196445454719892,0.14921853948209785,0.22110771017175063,0.0842,0.0096,0.6842364285714284,5000
0,56.99999999999999,301.43035736006726,n-Heptacosane (C27),Literature,Organic n-alkane,59.0,59.7,236.0,773.0,773.0,2.38,2.2,0.2415,1404.0,Estimated via MICE-RF-PMM,Yes,-0.7000000000000028,7,True,manufacturer_datasheet_MICE_RF_PMM_completed,182.428,2.29,0.9534809845274094,True,low_organic,True,True,True,211.00125015204708,True,True,,True,True,True,True,True,51.99999999999999,65.0,0.0,0.8824969025845946,0.7829337498282934,False,0.44156348287292363,0.5245353119944168,-0.024972274134809323,0.48589113161275443,0.5429862783160806,0.19431287549958673,11,10,11,6,single VIKOR winner acceptable,26.0,-5.0,10,10,0.8419642857142857,True,0.24276120498186576,0.2349480908170868,0.15196445454719892,0.14921853948209785,0.22110771017175063,0.0546,0.0064,0.6842364285714284,5000
