product,manufacturer,pcm_type,appearance,Tm_melting,Tm_freezing,Tm_nucleation,latent_heat_melting,latent_heat_freezing,heat_storage_Wh_kg,density_liquid,density_solid,Cp_liquid,Cp_solid,TC_liquid,TC_solid,TC_both,volume_expansion,max_op_temp,flash_point,cycles_tested,flammability
Myristic acid/NBR-0.5,Literature,Organic/polymer blend,White waxy solid @25°C,54.6,50.5,50.5,142.0,139.0,46.0,778.0,865.0,2.77,2.93,0.138,0.176,0.462,12.9,89.0,200.0,2000.0,Yes
savE® OM55,Pluss Advanced Technologies,Organic,White solid @25 °C,55.0,54.0,54.0,188.0,194.0,48.0,841.0,935.0,2.76,2.68,0.1,0.16,0.429,13.9,90.0,200.0,2000.0,Yes
Palmitic-stearic acid/Expanded graphite,Literature,Organic/eutectic composite,White solid @25 °C,55.2,54.9,54.9,176.0,176.0,48.0,777.0,856.0,2.83,3.24,0.139,0.181,0.452,13.8,90.0,200.0,2000.0,Yes
RT57HC,Rubitherm Technologies,Organic (RT-line),White flakes at 25 °C,56.5,56.5,56.5,240.0,250.0,67.0,800.0,900.0,2.0,2.0,0.174,0.304,0.2,12.5,90.0,170.0,1404.0,Yes
n-Hexacosane (C26),Literature,Organic n-alkane,White flakes at 25 °C,56.5,56.2,56.2,256.0,233.0,71.0,770.0,770.0,2.38,2.2,0.177,0.299,0.21,12.5,86.0,192.0,1404.0,Yes
PlusICE A58,PCM Products Ltd.,Organic PCM,White flakes at 25 °C,58.0,58.2,58.2,215.0,232.0,64.0,910.0,910.0,2.22,2.22,0.22,0.22,0.203,12.5,98.0,193.0,1581.0,Yes
PureTemp 58,PureTemp,Organic bio-based PCM,White color waxy solid @25°C,58.0,58.1,58.1,225.0,210.0,54.0,810.0,890.0,2.71,2.47,0.15,0.25,0.21,12.5,90.0,193.0,1620.0,Yes
RT60,Rubitherm Technologies,Organic (RT-line),White waxy solid @25°C,58.0,58.0,58.0,160.0,175.0,46.0,770.0,880.0,2.0,2.0,0.147,0.192,0.2,12.5,80.0,200.0,2000.0,Yes
n-Heptacosane (C27),Literature,Organic n-alkane,White flakes at 25 °C,59.0,59.7,59.7,236.0,241.0,67.0,773.0,773.0,2.38,2.2,0.18,0.303,0.21,12.5,90.0,195.0,1404.0,Yes
CrodaTherm 60,CrodaTherm,Organic PCM,White flakes at 25 °C,59.8,61.5,61.5,217.0,242.0,64.0,824.0,922.0,2.3,1.4,0.17,0.29,0.2,12.5,90.0,193.0,1533.0,Yes
Palmitic acid/Expanded graphite (80/20),Literature,Organic/composite blend,White waxy solid @25°C,60.9,60.8,60.8,148.0,150.0,46.0,778.0,860.0,2.78,2.94,0.138,0.191,0.6,13.0,89.0,200.0,2000.0,Yes
PureTemp 60,PureTemp,Organic bio-based PCM,White waxy solid @25°C,61.0,61.5,61.5,220.0,202.0,52.0,870.0,960.0,2.38,2.04,0.15,0.25,0.208,12.8,90.0,202.0,1695.0,Yes
RT65,Rubitherm Technologies,Organic (RT-line),White waxy solid @25°C,61.5,61.5,61.5,150.0,168.0,42.0,780.0,880.0,2.0,2.0,0.147,0.183,0.2,12.5,85.0,200.0,2000.0,Yes
n-Octacosane (C28),Literature,Organic n-alkane,White flakes at 25 °C,61.6,62.3,62.3,253.0,244.0,68.0,910.0,910.0,2.38,2.05,0.226,0.307,0.209,12.5,98.0,170.0,1581.0,No
PlusICE A62,PCM Products Ltd.,Organic PCM,White flakes at 25 °C,62.0,62.0,62.0,205.0,224.0,60.0,910.0,910.0,2.2,2.2,0.22,0.22,0.2,12.5,98.0,192.0,1581.0,Yes
RT62HC,Rubitherm Technologies,Organic (RT-line),White flakes at 25 °C,62.5,62.0,62.0,230.0,249.0,64.0,840.0,850.0,2.0,2.0,0.173,0.304,0.2,12.5,90.0,173.0,1404.0,Yes
Palmitic acid (C16),Literature,Organic fatty acid,White color waxy solid @25°C,62.6,62.1,62.1,198.0,203.0,51.0,860.0,989.0,2.15,2.0,0.162,0.214,0.204,12.8,90.0,202.0,1695.0,Yes
PureTemp 63,PureTemp,Organic bio-based PCM,White color waxy solid @25°C,63.0,62.0,62.0,206.0,202.0,52.0,840.0,920.0,2.16,1.99,0.15,0.25,0.2,12.5,90.0,198.0,1510.0,Yes
RT64HC,Rubitherm Technologies,Organic (RT-line),White flakes at 25 °C,64.0,62.5,62.5,250.0,239.0,70.0,780.0,880.0,2.0,2.0,0.263,0.303,0.2,12.5,95.0,190.0,1404.0,Yes
n-Nonacosane (C29),Literature,Organic n-alkane,White flakes at 25 °C,64.0,62.3,62.3,240.0,244.0,68.0,790.0,790.0,2.13,1.99,0.257,0.303,0.17,12.5,98.0,190.0,1404.0,Yes
n-Triacontane (C30),Literature,Organic n-alkane,White flakes at 25 °C,65.4,63.1,63.1,251.0,244.0,68.0,940.0,910.0,2.38,2.08,0.23,0.308,0.21,12.5,98.0,174.0,1581.0,No
savE® OM65,Pluss Advanced Technologies,Organic,White waxy Solid @25 °C,67.0,66.0,66.0,188.0,196.0,48.0,847.0,924.0,3.32,3.48,0.13,0.19,0.429,13.8,90.0,200.0,2000.0,Yes
Stearic acid (C18),Literature,Organic fatty acid,White waxy solid @25°C,67.9,68.2,68.2,259.0,230.0,64.0,941.0,965.0,2.35,2.0,0.172,0.25,0.208,12.7,90.0,200.0,1695.0,Yes
PureTemp 68,PureTemp,Organic commercial PCM,White flakes at 25 °C,68.0,67.3,67.3,213.0,244.0,64.0,797.0,811.0,2.39,2.07,0.251,0.3,0.207,12.5,98.0,209.0,1404.0,No
n-Hentriacontane (C31),Literature,Organic n-alkane,White waxy solid @25°C,68.0,68.2,68.2,242.0,230.0,64.0,930.0,930.0,2.32,2.0,0.177,0.25,0.208,12.7,90.0,200.0,1695.0,Yes
RT69HC,Rubitherm Technologies,Organic (RT-line),White flakes at 25 °C,69.0,68.0,68.0,230.0,247.0,64.0,840.0,940.0,2.0,2.0,0.259,0.304,0.2,12.5,100.0,181.0,1551.0,Yes
n-Dotriacontane (C32),Literature,Organic n-alkane,White waxy Solid @25 °C,69.5,67.9,67.9,170.0,165.0,47.0,777.0,848.0,2.81,3.23,0.139,0.191,0.508,13.5,90.0,200.0,2000.0,Yes
RT70HC,Rubitherm Technologies,Organic (RT-line),White flakes at 25 °C,70.0,70.0,70.0,260.0,239.0,72.0,770.0,880.0,2.0,2.0,0.177,0.303,0.2,12.5,90.0,225.0,1404.0,Yes
