product,manufacturer,pcm_type,Tm_melting,Tm_melting_imputed,Tm_melting_original_text,Tm_freezing,Tm_freezing_imputed,Tm_freezing_original_text,Tm_nucleation,Tm_nucleation_imputed,Tm_nucleation_original_text,latent_heat_melting,latent_heat_melting_imputed,latent_heat_melting_original_text,latent_heat_freezing,latent_heat_freezing_imputed,latent_heat_freezing_original_text,heat_storage_Wh_kg,heat_storage_Wh_kg_imputed,heat_storage_Wh_kg_original_text,density_liquid,density_liquid_imputed,density_liquid_original_text,density_solid,density_solid_imputed,density_solid_original_text,Cp_liquid,Cp_liquid_imputed,Cp_liquid_original_text,Cp_solid,Cp_solid_imputed,Cp_solid_original_text,TC_liquid,TC_liquid_imputed,TC_liquid_original_text,TC_solid,TC_solid_imputed,TC_solid_original_text,TC_both,TC_both_imputed,TC_both_original_text,volume_expansion,volume_expansion_imputed,volume_expansion_original_text,max_op_temp,max_op_temp_imputed,max_op_temp_original_text,flash_point,flash_point_imputed,flash_point_original_text,cycles_tested,cycles_tested_imputed,cycles_tested_original_text,cycles_tested_status,flammability,flammability_imputed,appearance,appearance_imputed
Paraffin/Expanded graphite (85.56% paraffin),Literature,Organic/composite blend,48.8,False,48.79,46.6,True,Not reported by manufacturer,46.6,True,Not reported by manufacturer,161.0,False,161.45,175.0,True,Not reported by manufacturer,46.0,True,Not reported by manufacturer,869.0,True,Not reported by manufacturer,937.0,True,Not reported by manufacturer,2.01,True,Not reported by manufacturer,2.0,True,Not reported by manufacturer,0.139,True,Not reported by manufacturer,0.193,True,Not reported by manufacturer,0.2,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,90.0,True,Not reported by manufacturer,200.0,True,Not reported by manufacturer,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
savE® OM49,Pluss Advanced Technologies,Organic,49.0,False,49,45.5,False,48 and 43,45.5,True,Not reported by manufacturer,224.0,False,224.0,230.0,False,230.0,64.0,True,Not reported by manufacturer,780.0,False,780.0,816.0,False,816.0,2.4,False,2.4,2.1,False,2.1,0.27,False,0.27,0.33,False,0.33,0.208,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,100.0,False,100.0,170.0,True,Not reported by manufacturer,1200.0,False,1200,Reported by manufacturer,No,False,White flakes at 25 °C,False
Paraffin/HDPE PCM3,Literature,Organic blend,49.9,False,49.9,50.0,True,Not reported by manufacturer,50.0,True,Not reported by manufacturer,187.0,True,Not reported by manufacturer,201.0,True,Not reported by manufacturer,48.0,True,Not reported by manufacturer,851.0,True,Not reported by manufacturer,952.0,True,Not reported by manufacturer,2.19,True,Not reported by manufacturer,2.02,True,Not reported by manufacturer,0.143,True,Not reported by manufacturer,0.205,True,Not reported by manufacturer,0.206,True,Not reported by manufacturer,13.0,True,Not reported by manufacturer,90.0,True,Not reported by manufacturer,200.0,True,Not reported by manufacturer,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
PlusICE A50,PCM Products Ltd.,Organic PCM,50.0,False,50.0,48.9,True,Not reported by manufacturer,48.9,True,Not reported by manufacturer,190.0,False,190.0,202.0,True,Not reported by manufacturer,56.0,True,Not reported by manufacturer,810.0,False,810.0,810.0,False,810.0,2.15,False,2.15,2.15,False,2.15,0.18,False,0.18,0.18,False,0.18,0.205,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,87.0,True,Not reported by manufacturer,191.0,True,Not reported by manufacturer,1526.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
savE® OM50,Pluss Advanced Technologies,Organic,50.0,False,50,50.0,False,50,50.0,True,Not reported by manufacturer,189.0,False,189.0,204.0,False,204.0,48.0,True,Not reported by manufacturer,859.0,False,859.0,961.0,False,961.0,2.78,False,2.78,3.33,False,3.33,0.14,False,0.14,0.21,False,0.21,0.336,True,Not reported by manufacturer,13.0,True,Not reported by manufacturer,90.0,False,90.0,200.0,False,200,2000.0,False,~2000,Reported by manufacturer,Yes,False,White color waxy solid @25°C,False
Paraffin/HDPE PCM6,Literature,Organic blend,50.3,False,50.3,49.3,True,Not reported by manufacturer,49.3,True,Not reported by manufacturer,187.0,True,Not reported by manufacturer,201.0,True,Not reported by manufacturer,48.0,True,Not reported by manufacturer,851.0,True,Not reported by manufacturer,953.0,True,Not reported by manufacturer,2.19,True,Not reported by manufacturer,2.02,True,Not reported by manufacturer,0.143,True,Not reported by manufacturer,0.206,True,Not reported by manufacturer,0.206,True,Not reported by manufacturer,13.0,True,Not reported by manufacturer,90.0,True,Not reported by manufacturer,200.0,True,Not reported by manufacturer,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
Paraffin/HDPE PCM2,Literature,Organic blend,50.6,False,50.6,49.2,True,Not reported by manufacturer,49.2,True,Not reported by manufacturer,187.0,True,Not reported by manufacturer,201.0,True,Not reported by manufacturer,48.0,True,Not reported by manufacturer,846.0,True,Not reported by manufacturer,954.0,True,Not reported by manufacturer,2.06,True,Not reported by manufacturer,2.02,True,Not reported by manufacturer,0.146,True,Not reported by manufacturer,0.208,True,Not reported by manufacturer,0.205,True,Not reported by manufacturer,13.0,True,Not reported by manufacturer,90.0,True,Not reported by manufacturer,200.0,True,Not reported by manufacturer,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
savE® OM48,Pluss Advanced Technologies,Organic,51.0,False,51,48.0,False,48,48.0,True,Not reported by manufacturer,165.0,False,165.0,172.0,False,172.0,46.0,True,Not reported by manufacturer,875.0,False,875.0,960.0,False,960.0,2.35,False,2.35,2.02,False,2.02,0.1,False,0.1,0.2,False,0.2,0.208,True,Not reported by manufacturer,12.7,True,Not reported by manufacturer,90.0,False,90.0,200.0,False,200,2000.0,False,~2000,Reported by manufacturer,Yes,False,White waxy solid @25°C,False
PlusICE A52,PCM Products Ltd.,Organic PCM,52.0,False,52.0,49.2,True,Not reported by manufacturer,49.2,True,Not reported by manufacturer,220.0,False,220.0,222.0,True,Not reported by manufacturer,64.0,True,Not reported by manufacturer,810.0,False,810.0,810.0,False,810.0,2.15,False,2.15,2.15,False,2.15,0.18,False,0.18,0.18,False,0.18,0.205,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,85.0,True,Not reported by manufacturer,190.0,True,Not reported by manufacturer,1447.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White flakes at 25 °C,True
n-Tetracosane (C24),Literature,Organic n-alkane,52.0,False,52,49.3,False,49.3,49.3,True,Not reported by manufacturer,255.0,False,255.0,255.0,False,254.9,67.0,True,Not reported by manufacturer,799.0,False,799.0,799.0,False,799.0,2.39,True,Not reported by manufacturer,2.0,True,Not reported by manufacturer,0.173,True,Not reported by manufacturer,0.306,True,Not reported by manufacturer,0.209,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,88.0,True,Not reported by manufacturer,170.0,True,Not reported by manufacturer,1368.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White flakes at 25 °C,True
Paraffin/Expanded graphite (92% paraffin),Literature,Organic/composite blend,52.2,False,52.2,49.2,True,Not reported by manufacturer,49.2,True,Not reported by manufacturer,170.0,False,170.3,167.0,True,Not reported by manufacturer,48.0,True,Not reported by manufacturer,791.0,True,Not reported by manufacturer,871.0,True,Not reported by manufacturer,2.77,True,Not reported by manufacturer,3.2,True,Not reported by manufacturer,0.129,True,Not reported by manufacturer,0.185,True,Not reported by manufacturer,0.458,True,Not reported by manufacturer,13.4,True,Not reported by manufacturer,89.0,True,Not reported by manufacturer,200.0,True,Not reported by manufacturer,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
Myristic acid (C14),Literature,Organic fatty acid,53.0,False,52-54,51.2,True,Not reported by manufacturer,51.2,True,Not reported by manufacturer,199.0,False,199.0,202.0,True,Not reported by manufacturer,55.0,True,Not reported by manufacturer,861.0,False,861.0,990.0,False,990.0,2.04,False,2.04,1.7,False,1.7,0.25,False,0.25,0.216,True,Not reported by manufacturer,0.2,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,98.0,True,Not reported by manufacturer,199.0,True,Not reported by manufacturer,1686.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White color waxy solid @25°C,True
