product,manufacturer,pcm_type,Tm_melting,Tm_melting_imputed,Tm_melting_original_text,Tm_freezing,Tm_freezing_imputed,Tm_freezing_original_text,Tm_nucleation,Tm_nucleation_imputed,Tm_nucleation_original_text,latent_heat_melting,latent_heat_melting_imputed,latent_heat_melting_original_text,latent_heat_freezing,latent_heat_freezing_imputed,latent_heat_freezing_original_text,heat_storage_Wh_kg,heat_storage_Wh_kg_imputed,heat_storage_Wh_kg_original_text,density_liquid,density_liquid_imputed,density_liquid_original_text,density_solid,density_solid_imputed,density_solid_original_text,Cp_liquid,Cp_liquid_imputed,Cp_liquid_original_text,Cp_solid,Cp_solid_imputed,Cp_solid_original_text,TC_liquid,TC_liquid_imputed,TC_liquid_original_text,TC_solid,TC_solid_imputed,TC_solid_original_text,TC_both,TC_both_imputed,TC_both_original_text,volume_expansion,volume_expansion_imputed,volume_expansion_original_text,max_op_temp,max_op_temp_imputed,max_op_temp_original_text,flash_point,flash_point_imputed,flash_point_original_text,cycles_tested,cycles_tested_imputed,cycles_tested_original_text,cycles_tested_status,flammability,flammability_imputed,appearance,appearance_imputed
PlusICE A62,PCM Products Ltd.,Organic PCM,62.0,False,62.0,62.0,True,Not reported by manufacturer,62.0,True,Not reported by manufacturer,205.0,False,205.0,224.0,True,Not reported by manufacturer,60.0,True,Not reported by manufacturer,910.0,False,910.0,910.0,False,910.0,2.2,False,2.2,2.2,False,2.2,0.22,False,0.22,0.22,False,0.22,0.2,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,98.0,True,Not reported by manufacturer,192.0,True,Not reported by manufacturer,1581.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White flakes at 25 °C,True
RT62HC,Rubitherm Technologies,Organic (RT-line),62.5,False,62-63,62.0,False,62,62.0,True,Not reported by manufacturer,230.0,False,230.0,249.0,True,Not reported by manufacturer,64.0,False,64.0,840.0,False,840.0,850.0,False,850.0,2.0,False,2.0,2.0,False,2.0,0.173,True,Not reported by manufacturer,0.304,True,Not reported by manufacturer,0.2,False,0.2,12.5,True,Not reported by manufacturer,90.0,False,90.0,173.0,True,Not reported by manufacturer,1404.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White flakes at 25 °C,True
Palmitic acid (C16),Literature,Organic fatty acid,62.6,False,61.3-64,62.1,True,Not reported by manufacturer,62.1,True,Not reported by manufacturer,198.0,False,198.0,203.0,True,Not reported by manufacturer,51.0,True,Not reported by manufacturer,860.0,True,Not reported by manufacturer,989.0,False,989.0,2.15,True,Not reported by manufacturer,2.0,True,Not reported by manufacturer,0.162,False,0.162,0.214,True,Not reported by manufacturer,0.204,True,Not reported by manufacturer,12.8,True,Not reported by manufacturer,90.0,True,Not reported by manufacturer,202.0,True,Not reported by manufacturer,1695.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White color waxy solid @25°C,True
PureTemp 63,PureTemp,Organic bio-based PCM,63.0,False,63.0,62.0,True,Not reported by manufacturer,62.0,True,Not reported by manufacturer,206.0,False,206.0,202.0,True,Not reported by manufacturer,52.0,True,Not reported by manufacturer,840.0,False,840.0,920.0,False,920.0,2.16,False,2.16,1.99,False,1.99,0.15,False,0.15,0.25,False,0.25,0.2,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,90.0,True,Not reported by manufacturer,198.0,True,Not reported by manufacturer,1510.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White color waxy solid @25°C,True
RT64HC,Rubitherm Technologies,Organic (RT-line),64.0,False,63-65,62.5,False,64-61,62.5,True,Not reported by manufacturer,250.0,False,250.0,239.0,True,Not reported by manufacturer,70.0,False,70.0,780.0,False,780.0,880.0,False,880.0,2.0,False,2.0,2.0,False,2.0,0.263,True,Not reported by manufacturer,0.303,True,Not reported by manufacturer,0.2,False,0.2,12.5,True,Not reported by manufacturer,95.0,False,95.0,190.0,False,>190,1404.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White flakes at 25 °C,True
n-Nonacosane (C29),Literature,Organic n-alkane,64.0,False,64,62.3,True,Not reported by manufacturer,62.3,True,Not reported by manufacturer,240.0,False,240.0,244.0,True,Not reported by manufacturer,68.0,True,Not reported by manufacturer,790.0,False,790.0,790.0,False,790.0,2.13,True,Not reported by manufacturer,1.99,True,Not reported by manufacturer,0.257,True,Not reported by manufacturer,0.303,True,Not reported by manufacturer,0.17,False,0.17,12.5,True,Not reported by manufacturer,98.0,True,Not reported by manufacturer,190.0,True,Not reported by manufacturer,1404.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White flakes at 25 °C,True
n-Triacontane (C30),Literature,Organic n-alkane,65.4,False,65.4,63.1,True,Not reported by manufacturer,63.1,True,Not reported by manufacturer,251.0,False,251.0,244.0,True,Not reported by manufacturer,68.0,True,Not reported by manufacturer,940.0,True,Not reported by manufacturer,910.0,True,Not reported by manufacturer,2.38,True,Not reported by manufacturer,2.08,True,Not reported by manufacturer,0.23,False,0.23,0.308,True,Not reported by manufacturer,0.21,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,98.0,True,Not reported by manufacturer,174.0,True,Not reported by manufacturer,1581.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,No,True,White flakes at 25 °C,True
savE® OM65,Pluss Advanced Technologies,Organic,67.0,False,67,66.0,False,66,66.0,True,Not reported by manufacturer,188.0,False,188.0,196.0,False,196.0,48.0,True,Not reported by manufacturer,847.0,False,847.0,924.0,False,924.0,3.32,False,3.32,3.48,False,3.48,0.13,False,0.13,0.19,False,0.19,0.429,True,Not reported by manufacturer,13.8,True,Not reported by manufacturer,90.0,False,90.0,200.0,False,200,2000.0,False,~2000,Reported by manufacturer,Yes,False,White waxy Solid @25 °C,False
Stearic acid (C18),Literature,Organic fatty acid,67.9,False,66.8-69,68.2,True,Not reported by manufacturer,68.2,True,Not reported by manufacturer,259.0,False,259.0,230.0,True,Not reported by manufacturer,64.0,True,Not reported by manufacturer,941.0,False,941.0,965.0,False,965.0,2.35,False,2.35,2.0,True,Not reported by manufacturer,0.172,False,0.172,0.25,True,Not reported by manufacturer,0.208,True,Not reported by manufacturer,12.7,True,Not reported by manufacturer,90.0,True,Not reported by manufacturer,200.0,True,Not reported by manufacturer,1695.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
PureTemp 68,PureTemp,Organic commercial PCM,68.0,False,68,67.3,True,Not reported by manufacturer,67.3,True,Not reported by manufacturer,213.0,False,213.0,244.0,True,Not reported by manufacturer,64.0,True,Not reported by manufacturer,797.0,True,Not reported by manufacturer,811.0,True,Not reported by manufacturer,2.39,True,Not reported by manufacturer,2.07,True,Not reported by manufacturer,0.251,True,Not reported by manufacturer,0.3,True,Not reported by manufacturer,0.207,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,98.0,True,Not reported by manufacturer,209.0,True,Not reported by manufacturer,1404.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,No,True,White flakes at 25 °C,True
n-Hentriacontane (C31),Literature,Organic n-alkane,68.0,False,68,68.2,True,Not reported by manufacturer,68.2,True,Not reported by manufacturer,242.0,False,242.0,230.0,True,Not reported by manufacturer,64.0,True,Not reported by manufacturer,930.0,False,930.0,930.0,False,930.0,2.32,True,Not reported by manufacturer,2.0,True,Not reported by manufacturer,0.177,True,Not reported by manufacturer,0.25,True,Not reported by manufacturer,0.208,True,Not reported by manufacturer,12.7,True,Not reported by manufacturer,90.0,True,Not reported by manufacturer,200.0,True,Not reported by manufacturer,1695.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
RT69HC,Rubitherm Technologies,Organic (RT-line),69.0,False,68-70,68.0,False,69-67,68.0,True,Not reported by manufacturer,230.0,False,230.0,247.0,True,Not reported by manufacturer,64.0,False,64.0,840.0,False,840.0,940.0,False,940.0,2.0,False,2.0,2.0,False,2.0,0.259,True,Not reported by manufacturer,0.304,True,Not reported by manufacturer,0.2,False,0.2,12.5,True,Not reported by manufacturer,100.0,False,100.0,181.0,True,Not reported by manufacturer,1551.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White flakes at 25 °C,True
n-Dotriacontane (C32),Literature,Organic n-alkane,69.5,False,69.5,67.9,True,Not reported by manufacturer,67.9,True,Not reported by manufacturer,170.0,False,170.0,165.0,True,Not reported by manufacturer,47.0,True,Not reported by manufacturer,777.0,True,Not reported by manufacturer,848.0,True,Not reported by manufacturer,2.81,True,Not reported by manufacturer,3.23,True,Not reported by manufacturer,0.139,True,Not reported by manufacturer,0.191,True,Not reported by manufacturer,0.508,True,Not reported by manufacturer,13.5,True,Not reported by manufacturer,90.0,True,Not reported by manufacturer,200.0,True,Not reported by manufacturer,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy Solid @25 °C,True
RT70HC,Rubitherm Technologies,Organic (RT-line),70.0,False,69-71,70.0,False,71-69,70.0,True,Not reported by manufacturer,260.0,False,260.0,239.0,True,Not reported by manufacturer,72.0,False,72.0,770.0,False,770.0,880.0,False,880.0,2.0,False,2.0,2.0,False,2.0,0.177,True,Not reported by manufacturer,0.303,True,Not reported by manufacturer,0.2,False,0.2,12.5,False,12.5,90.0,False,90.0,225.0,False,225,1404.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White flakes at 25 °C,True
