Product,Manufacturer,Type,Appearance,Melting Temperature (°C),Freezing/Congealing Temperature (°C),Nucleation Temperature (°C),Latent Heat - Melting (kJ/kg),Latent Heat - Freezing (kJ/kg),Heat Storage Capacity (Wh/kg),Density - Liquid (kg/m³),Density - Solid (kg/m³),Specific Heat - Liquid (kJ/kgK),Specific Heat - Solid (kJ/kgK),Thermal Conductivity - Liquid (W/mK),Thermal Conductivity - Solid (W/mK),Thermal Conductivity - Both Phases (W/mK),Volume Expansion (%),Max Operating Temperature (°C),Flammability,Flash Point (°C),Number of Cycles Tested
RT64HC,Rubitherm Technologies,Organic (RT-line),,63-65,64-61,,250.0,,70.0,780,880,2,2,,,0.2,,95.0,,>190,
n-Nonacosane (C29),Literature,Organic n-alkane,,64,,,240.0,,,790,790,,,,,0.17,,,,,
n-Triacontane (C30),Literature,Organic n-alkane,,65.4,,,251.0,,,,,,,0.23,,,,,,,
savE® OM65,Pluss Advanced Technologies,Organic,White waxy Solid @25 °C,67,66,,188.0,196.0,,847,924,3.32,3.48,0.13,0.19,,,90.0,Yes,200,~2000
Stearic acid (C18),Literature,Organic fatty acid,,66.8-69,,,259.0,,,941,965,2.35,,0.172,,,,,,,
PureTemp 68,PureTemp,Organic commercial PCM,,68,,,213.0,,,,,,,,,,,,,,
n-Hentriacontane (C31),Literature,Organic n-alkane,,68,,,242.0,,,930,930,,,,,,,,,,
RT69HC,Rubitherm Technologies,Organic (RT-line),,68-70,69-67,,230.0,,64.0,840,940,2,2,,,0.2,,100.0,,,
n-Dotriacontane (C32),Literature,Organic n-alkane,,69.5,,,170.0,,,,,,,,,,,,,,
RT70HC,Rubitherm Technologies,Organic (RT-line),,69-71,71-69,,260.0,,72.0,770,880,2,2,,,0.2,12.5,90.0,,225,
