column,n_flagged,check
era5_GHI,656695,physical_bounds
era5_DHI,656695,physical_bounds
era5_GHI_clearsky,92885,physical_bounds
era5_GHI,250767,hampel_MAD
era5_T_amb,54800,hampel_MAD
era5_RHum,77247,hampel_MAD
era5_W_spd,88945,hampel_MAD
era5_cloud_cover,418032,hampel_MAD
