k,kmeans_silhouette
2,0.23086670265123566
3,0.252287213550965
4,0.2585976330374033
5,0.26160291725838086
6,0.28871769660786567
7,0.27119511215189523
8,0.27018842335625026
9,0.25053029209489147
10,0.2775534532726745
11,0.2561409376275403
12,0.2748756049595156
