point_id,lat,lon,population,cluster_id,max_membership_prob,chosen_k,bootstrap_ari_mean_chosen_k,bootstrap_effective_n_resamples_chosen_k,prob_cluster0,prob_cluster1,prob_cluster2
TNP_0001,13.125,80.125,5068599.2233457565,2,1.0,3,0.6302794946033695,50,1.0818167268045053e-111,3.186078790334531e-32,1.0
TNP_0002,12.875,80.125,3176285.3368492126,2,1.0,3,0.6302794946033695,50,8.944014958106432e-106,6.603724885904053e-35,1.0
TNP_0003,13.125,80.375,2187441.213805318,2,1.0,3,0.6302794946033695,50,3.3325478404003586e-98,2.4588141336375462e-57,1.0
TNP_0004,9.875,78.125,2115244.36277926,0,0.9999999999999147,3,0.6302794946033695,50,0.9999999999999147,8.679246849903828e-14,1.7143567822294025e-31
TNP_0005,11.625,78.125,1714135.3546363115,1,0.999374094568349,3,0.6302794946033695,50,0.0006259054316504446,0.999374094568349,8.695490010407563e-35
TNP_0006,10.875,78.625,1304575.5502040386,0,1.0,3,0.6302794946033695,50,1.0,1.3858509529953696e-15,3.703532040211399e-19
TNP_0007,10.875,76.875,1258467.862797141,1,1.0,3,0.6302794946033695,50,4.640000846531717e-67,1.0,8.927614916249977e-191
TNP_0008,11.125,77.375,1234266.652519226,1,0.9784564049833093,3,0.6302794946033695,50,0.02154359501668908,0.9784564049833093,1.4000490943530818e-75
TNP_0009,12.875,79.125,901144.725508362,2,0.9999998052659625,3,0.6302794946033695,50,8.157286153866374e-38,1.9473403740250156e-07,0.9999998052659625
TNP_0010,11.625,79.625,890343.420427084,2,1.0,3,0.6302794946033695,50,1.4894980234609162e-36,2.3212613193052033e-24,1.0
TNP_0011,8.125,77.375,856360.3904578686,0,1.0,3,0.6302794946033695,50,1.0,4.2281316293743754e-49,9.761073228926718e-94
TNP_0012,11.375,77.625,850894.7885315418,1,0.9999998651499509,3,0.6302794946033695,50,1.3485004957257234e-07,0.9999998651499509,1.3908789990450436e-74
TNP_0013,11.875,79.625,793806.6025528908,2,1.0,3,0.6302794946033695,50,9.891601784869908e-38,3.34472487083477e-23,1.0
TNP_0014,10.875,79.375,761459.6739379168,2,1.0,3,0.6302794946033695,50,7.002920208146965e-27,1.5082561810629974e-21,1.0
TNP_0015,11.125,77.125,759539.1904519796,1,1.0,3,0.6302794946033695,50,4.58237286102397e-17,1.0,4.360170298243605e-129
TNP_0016,11.125,79.625,705301.0805649757,2,1.0,3,0.6302794946033695,50,5.419598954633597e-35,6.575374928670046e-26,1.0
TNP_0017,11.125,76.875,686165.5627800226,1,1.0,3,0.6302794946033695,50,6.058850182859688e-135,1.0,0.0
TNP_0018,10.875,77.125,667808.2734088898,1,0.999444979424309,3,0.6302794946033695,50,0.0005550205756901593,0.999444979424309,3.341056428113298e-95
TNP_0019,11.375,77.875,660676.1065044403,0,0.9999558298248435,3,0.6302794946033695,50,0.9999558298248435,4.4170175157705674e-05,2.769892140330553e-49
TNP_0020,12.875,79.625,624118.5540295839,2,1.0,3,0.6302794946033695,50,5.265994018633384e-43,3.455884151709852e-20,1.0
TNP_0021,11.375,79.625,611160.1712343693,2,1.0,3,0.6302794946033695,50,5.87076991715336e-36,2.246588246971571e-24,1.0
TNP_0022,12.875,79.875,596457.0556298494,2,1.0,3,0.6302794946033695,50,1.1311927700769366e-38,7.459768410470738e-24,1.0
TNP_0023,8.625,77.625,582560.4265007973,0,0.9999999995158504,3,0.6302794946033695,50,0.9999999995158504,4.841505347728913e-10,6.2152080972967074e-68
TNP_0024,10.875,79.125,581223.5783321857,2,1.0,3,0.6302794946033695,50,1.1601242649105207e-24,5.787355289398876e-20,1.0
TNP_0025,13.125,79.875,578685.5680625439,2,1.0,3,0.6302794946033695,50,6.656571588117829e-53,2.730787796867336e-18,1.0
TNP_0026,12.875,78.875,578566.7887402773,1,1.0,3,0.6302794946033695,50,5.088262320397415e-16,1.0,1.8732880133314773e-26
TNP_0027,12.625,78.625,570663.8527343869,1,1.0,3,0.6302794946033695,50,9.542173948061903e-23,1.0,9.472299037437007e-52
