point_id,season,cluster_id,max_membership_prob,chosen_k,bootstrap_ari_mean_chosen_k,bootstrap_effective_n_resamples_chosen_k,prob_cluster0,prob_cluster1,prob_cluster2
TNP_0001,Winter,2,1.0,3,0.8095120734108758,50,8.468815594256302e-35,1.0110533359704734e-66,1.0
TNP_0001,Summer,1,1.0,3,0.8095120734108758,50,2.3591786310353715e-74,1.0,9.044459469918465e-26
TNP_0001,Monsoon,1,1.0,3,0.8095120734108758,50,1.96023778969923e-26,1.0,7.45017175984559e-22
TNP_0001,Retreat,0,0.9999999998894262,3,0.8095120734108758,50,0.9999999998894262,1.3731036784262187e-25,1.1057354743796546e-10
TNP_0002,Winter,2,1.0,3,0.8095120734108758,50,3.776122653915698e-27,7.452268816802633e-63,1.0
TNP_0002,Summer,1,1.0,3,0.8095120734108758,50,1.9513040871977892e-67,1.0,4.744925919363594e-24
TNP_0002,Monsoon,1,1.0,3,0.8095120734108758,50,4.419585221386278e-23,1.0,5.752119664300637e-20
TNP_0002,Retreat,0,0.9999999993784741,3,0.8095120734108758,50,0.9999999993784741,7.327113087532178e-27,6.215258422791819e-10
TNP_0003,Winter,2,1.0,3,0.8095120734108758,50,8.768012090027618e-29,4.895455576586404e-68,1.0
TNP_0003,Summer,1,0.9999999999999929,3,0.8095120734108758,50,8.602026780152132e-55,0.9999999999999929,6.271405940140258e-15
TNP_0003,Monsoon,1,0.9999999999999964,3,0.8095120734108758,50,5.489540741948182e-17,0.9999999999999964,3.8035483797674615e-15
TNP_0003,Retreat,0,0.9999994630189789,3,0.8095120734108758,50,0.9999994630189789,1.5306498286757466e-26,5.369810209009524e-07
TNP_0004,Winter,2,1.0,3,0.8095120734108758,50,2.3755284361517777e-25,8.063306058340739e-43,1.0
TNP_0004,Summer,1,1.0,3,0.8095120734108758,50,2.2141099600493524e-70,1.0,3.258093093614732e-28
TNP_0004,Monsoon,1,1.0,3,0.8095120734108758,50,4.0988799533679427e-23,1.0,1.8837361859113176e-20
TNP_0004,Retreat,0,0.9999999997980673,3,0.8095120734108758,50,0.9999999997980673,2.351573695407345e-16,2.0193210392800664e-10
TNP_0005,Winter,2,1.0,3,0.8095120734108758,50,1.2950617253604719e-45,2.9185749137685286e-61,1.0
TNP_0005,Summer,1,1.0,3,0.8095120734108758,50,1.2830756086935847e-61,1.0,7.204481318796849e-23
TNP_0005,Monsoon,0,0.9999999986971506,3,0.8095120734108758,50,0.9999999986971506,2.921270807378182e-17,1.3028492082450432e-09
TNP_0005,Retreat,0,0.9958775232809142,3,0.8095120734108758,50,0.9958775232809142,2.3504532359412825e-33,0.004122476719086062
TNP_0006,Winter,2,1.0,3,0.8095120734108758,50,1.609184171123497e-16,3.314483626511718e-36,1.0
TNP_0006,Summer,1,1.0,3,0.8095120734108758,50,8.219334415270528e-90,1.0,1.025138702068933e-30
TNP_0006,Monsoon,1,1.0,3,0.8095120734108758,50,4.7080296249963275e-28,1.0,8.76958802026609e-22
TNP_0006,Retreat,0,0.9999999999645768,3,0.8095120734108758,50,0.9999999999645768,5.370777852179646e-17,3.542360359863132e-11
TNP_0007,Winter,2,1.0,3,0.8095120734108758,50,2.1006879501913785e-87,3.781855256429179e-86,1.0
TNP_0007,Summer,2,1.0,3,0.8095120734108758,50,3.59314910839604e-25,8.875414908571425e-17,1.0
TNP_0007,Monsoon,2,1.0,3,0.8095120734108758,50,9.136786234417146e-59,7.583804542657127e-96,1.0
TNP_0007,Retreat,2,1.0,3,0.8095120734108758,50,3.8787822527117556e-50,6.880460384821572e-94,1.0
TNP_0008,Winter,2,1.0,3,0.8095120734108758,50,1.427501073567215e-44,3.310054704922872e-64,1.0
TNP_0008,Summer,1,1.0,3,0.8095120734108758,50,3.104371953899392e-50,1.0,2.308814028393025e-19
TNP_0008,Monsoon,0,0.9999630535424111,3,0.8095120734108758,50,0.9999630535424111,3.8740359111521394e-28,3.6946457588483626e-05
TNP_0008,Retreat,2,0.9997242254074906,3,0.8095120734108758,50,0.00027577459250880423,4.192620906575534e-41,0.9997242254074906
TNP_0009,Winter,2,1.0,3,0.8095120734108758,50,5.798151548398058e-80,3.1716062747030596e-91,1.0
TNP_0009,Summer,1,1.0,3,0.8095120734108758,50,2.0905456012075192e-75,1.0,2.8374628804782035e-23
TNP_0009,Monsoon,0,0.5467317951043235,3,0.8095120734108758,50,0.5467317951043235,0.45326820322779204,1.6678840968697324e-09
TNP_0009,Retreat,2,0.9966976704557031,3,0.8095120734108758,50,0.0033023295442984072,3.55066881049344e-34,0.9966976704557031
TNP_0010,Winter,2,1.0,3,0.8095120734108758,50,1.223979354700903e-20,1.4834791145626493e-58,1.0
TNP_0010,Summer,1,1.0,3,0.8095120734108758,50,2.221328822489293e-60,1.0,1.9060745519433735e-23
TNP_0010,Monsoon,1,1.0,3,0.8095120734108758,50,4.159234313961096e-31,1.0,7.963102004521078e-23
TNP_0010,Retreat,0,0.9999999998963656,3,0.8095120734108758,50,0.9999999998963656,4.543998155789231e-25,1.0363448507510251e-10
TNP_0011,Winter,2,1.0,3,0.8095120734108758,50,4.60809658980724e-27,1.1778160185157832e-27,1.0
TNP_0011,Summer,2,0.995883230356845,3,0.8095120734108758,50,2.609035045127087e-21,0.004116769643154845,0.995883230356845
TNP_0011,Monsoon,2,0.999999999999929,3,0.8095120734108758,50,7.18035248560795e-14,3.476798519500791e-40,0.999999999999929
TNP_0011,Retreat,2,0.9999999955763172,3,0.8095120734108758,50,4.423683483446003e-09,2.7439006743499537e-44,0.9999999955763172
TNP_0012,Winter,2,1.0,3,0.8095120734108758,50,2.365791774524703e-55,2.7557261382535387e-72,1.0
TNP_0012,Summer,1,0.9999999999999964,3,0.8095120734108758,50,2.917307218022387e-42,0.9999999999999964,1.8001838150747494e-15
TNP_0012,Monsoon,2,0.6367978307525285,3,0.8095120734108758,50,0.3632021692474718,5.5387344949022035e-30,0.6367978307525285
TNP_0012,Retreat,2,0.9999999999990798,3,0.8095120734108758,50,9.21767326547393e-13,2.301523366384683e-52,0.9999999999990798
TNP_0013,Winter,2,1.0,3,0.8095120734108758,50,9.52130348101634e-23,7.142927385621293e-59,1.0
TNP_0013,Summer,1,1.0,3,0.8095120734108758,50,9.609110371764408e-61,1.0,5.740796314592325e-23
TNP_0013,Monsoon,1,1.0,3,0.8095120734108758,50,4.44824152172071e-29,1.0,1.3115659791660197e-22
TNP_0013,Retreat,0,0.9999999998949303,3,0.8095120734108758,50,0.9999999998949303,4.366557091110812e-25,1.0507011769773817e-10
TNP_0014,Winter,2,0.9999999999999787,3,0.8095120734108758,50,2.3081857161403678e-14,1.5099482107189993e-50,0.9999999999999787
TNP_0014,Summer,1,1.0,3,0.8095120734108758,50,3.5850385225864456e-61,1.0,1.7962652836919665e-25
TNP_0014,Monsoon,1,1.0,3,0.8095120734108758,50,4.717890737537894e-41,1.0,6.168158579495805e-26
TNP_0014,Retreat,0,0.9999999999892006,3,0.8095120734108758,50,0.9999999999892006,4.60920997018333e-19,1.0799688745849945e-11
TNP_0015,Winter,2,1.0,3,0.8095120734108758,50,9.146051885518813e-88,6.0045229044483e-101,1.0
TNP_0015,Summer,2,0.996824659366695,3,0.8095120734108758,50,2.8884633482940397e-27,0.003175340633305772,0.996824659366695
TNP_0015,Monsoon,2,1.0,3,0.8095120734108758,50,1.1456518361570534e-16,6.916578931884863e-53,1.0
