cluster_id,Tm_target_C,L_required_kJ_per_kg,name,family,pcm_type,Tm_C,Tm_freezing_C,latent_heat_kJ_kg,density_liquid_kg_m3,density_solid_kg_m3,Cp_liquid_kJ_kgK,Cp_solid_kJ_kgK,TC_W_mK,cycles_tested,cycles_tested_status,flammable,supercooling_K,n_properties_imputed,any_property_imputed,source,rho_H_MJ_m3,Cp_avg_kJ_kgK,cycles_confidence,in_absolute_band,corrosion_class,pass_melting_window,pass_absolute_band,pass_latent_heat,latent_heat_floor_used,cycling_known,pass_cycling,cycling_flag,supercooling_known,pass_supercooling,passes_all,window_lo,window_hi,window_relax_applied
0,56.99999999999999,51.86593034942686,RT50,Rubitherm RT,Organic,49.0,50.0,160.0,760.0,880.0,2.0,2.0,0.1815,2000.0,Estimated via MICE-RF-PMM,Yes,-1.0,5,True,manufacturer_datasheet_MICE_RF_PMM_completed,140.8,2.0,1.0,True,low_organic,False,True,True,36.3061512445988,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,51.86593034942686,savE® OM50,PLUSS savE,Organic,50.0,50.0,189.0,859.0,961.0,2.78,3.33,0.175,2000.0,Reported by manufacturer,Yes,0.0,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,181.629,3.055,1.0,True,low_organic,False,True,True,36.3061512445988,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,51.86593034942686,savE® OM48,PLUSS savE,Organic,51.0,48.0,165.0,875.0,960.0,2.35,2.02,0.15,2000.0,Reported by manufacturer,Yes,3.0,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,158.4,2.185,1.0,True,low_organic,False,True,True,36.3061512445988,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,51.86593034942686,Palmitic-Stearic eutectic (64.2/35.8),Eutectic,Organic,52.3,,181.7,,,,,,,not_reported,Likely (organic),,0,False,Singh2025_Table2_literature,,,,True,low_organic,True,True,True,36.3061512445988,False,True,not_reported,False,True,True,51.99999999999999,65.0,0.0
0,56.99999999999999,51.86593034942686,Myristic acid,Fatty acid,Organic,53.0,,190.0,,,,,,,not_reported,Likely (organic),,0,False,Singh2025_Table2_literature,,,,True,low_organic,True,True,True,36.3061512445988,False,True,not_reported,False,True,True,51.99999999999999,65.0,0.0
0,56.99999999999999,51.86593034942686,RT54HC,Rubitherm RT,Organic,54.0,54.0,200.0,850.0,990.0,2.0,2.41,0.174,2000.0,Estimated via MICE-RF-PMM,Yes,0.0,5,True,manufacturer_datasheet_MICE_RF_PMM_completed,198.0,2.205,1.0,True,low_organic,True,True,True,36.3061512445988,True,True,,True,True,True,51.99999999999999,65.0,0.0
0,56.99999999999999,51.86593034942686,RT55,Rubitherm RT,Organic,55.0,55.0,170.0,770.0,880.0,2.0,2.0,0.182,2000.0,Estimated via MICE-RF-PMM,Yes,0.0,5,True,manufacturer_datasheet_MICE_RF_PMM_completed,149.6,2.0,1.0,True,low_organic,True,True,True,36.3061512445988,True,True,,True,True,True,51.99999999999999,65.0,0.0
0,56.99999999999999,51.86593034942686,Palmitic acid,Fatty acid,Organic,63.0,,185.4,,,,,,,not_reported,Likely (organic),,0,False,Singh2025_Table2_literature,,,,True,low_organic,True,True,True,36.3061512445988,False,True,not_reported,False,True,True,51.99999999999999,65.0,0.0
0,56.99999999999999,51.86593034942686,RT64HC,Rubitherm RT,Organic,64.0,64.0,250.0,800.0,900.0,2.0,2.37,0.151,2000.0,Estimated via MICE-RF-PMM,No,0.0,5,True,manufacturer_datasheet_MICE_RF_PMM_completed,225.0,2.185,1.0,True,low_organic,True,True,True,36.3061512445988,True,True,,True,True,True,51.99999999999999,65.0,0.0
0,56.99999999999999,51.86593034942686,Paraffin wax (generic),Paraffin,Organic,64.0,,173.6,790.0,916.0,,,,,not_reported,Likely (organic),,0,False,Singh2025_Table2_literature,159.01760000000002,,,True,low_organic,True,True,True,36.3061512445988,False,True,not_reported,False,True,True,51.99999999999999,65.0,0.0
