point_id,n_days_used,GHI_daily_kWh_mean,kt_daily_mean,kt_daily_std,SAI_true,cloudy_frac_true,CCI_true,DTR_true_mean,Ta_mean_true,Ta_p95_true,Ta_p05_true,HDD18_true,CDD24_true,RH_mean_true,wind_mean_true,seasonality_true
TNP_0001,3653,5.096340128661374,0.8114705978761354,0.19122948220499533,0.8121941499773154,0.03394470298384889,5,7.662775800711744,27.997140250022806,31.854916666666668,23.91175,0.0,14722.94,73.72707340998265,3.8631244867232413,0.1589473732146742
TNP_0002,3653,5.250551489186969,0.8200487670893551,0.18503650366243718,0.8224449018582426,0.033397207774431975,5,7.662775800711744,27.997140250022806,31.854916666666668,23.91175,0.0,14722.94,73.72707340998265,3.8631244867232413,0.15381246029600304
TNP_0003,3653,5.096340128661374,0.8114705978761354,0.19122948220499533,0.8121941499773154,0.03394470298384889,5,2.1168436901177112,28.334028424126288,30.507666666666665,25.654,0.0,15832.214583333332,77.0600531526599,4.991267451409801,0.1589473732146742
TNP_0004,3653,5.437572751163428,0.8215984334976926,0.1428997361393857,0.8247086724135473,0.010676156583629894,3,10.994196550780181,27.420511908020803,31.571916666666663,23.159,0.0,12871.993333333332,70.31734932475591,2.986881558536363,0.12884117313589766
TNP_0005,3653,5.275799865863673,0.81232369546151,0.15557480751500283,0.8160117092561003,0.01149739939775527,2,12.076693128935123,27.182288073729353,31.933749999999993,22.885166666666667,0.0,12104.44625,67.48547506615567,3.124713591568574,0.15046964795180562
TNP_0006,3653,5.410225023268546,0.8285176842622313,0.14877876292980566,0.8321275162214008,0.01149739939775527,3,11.1382617027101,27.67489996806278,32.2835,23.022666666666666,0.0,13839.055,70.22091089515466,3.6556536864677436,0.14121692271721084
TNP_0007,3653,5.048638915959485,0.7866090238432492,0.1735815252616066,0.7840629984393008,0.021352313167259787,3,9.994626334519571,24.741274637284423,29.312833333333334,21.62625,0.0,4459.810416666666,76.22562870699882,3.120942376129208,0.14379774362940947
TNP_0008,3653,5.290631888858473,0.8089440468960872,0.14907934421609556,0.8116570034534867,0.006569942513003011,2,11.227637558171365,27.169618008029932,32.20824999999999,23.30383333333333,0.0,11906.758333333331,68.02710238160417,3.610733871703623,0.14174601690481323
TNP_0009,3653,5.281575272378868,0.8205200973744438,0.1677403520682583,0.824761992919618,0.022447303586093623,4,11.189364905557076,27.045131741034762,32.30525,21.788666666666668,0.0,12227.740833333333,71.67821425312529,3.271348092891687,0.16259373296505963
TNP_0010,3653,5.277478562825075,0.8210631387609231,0.16792823215551866,0.8256301162131793,0.021352313167259787,4,9.545091705447577,28.179268181403412,32.50475,23.6905,0.0,15466.175416666665,71.95807372935488,3.696800802992974,0.15734991157482686
TNP_0011,3653,5.194127648508076,0.7908687591493785,0.15076340158732163,0.7930134539444403,0.012318642211880646,3,3.122132493840679,27.740938269915137,29.798916666666663,26.220416666666665,0.0,13665.6475,80.38772857924994,5.259751459987226,0.11500782189202417
TNP_0012,3653,5.290631888858473,0.8089440468960872,0.14907934421609556,0.8116570034534867,0.006569942513003011,2,11.767905830823981,26.576446071721875,31.475666666666662,22.5765,0.0,10067.059166666666,66.99266630166987,2.6509552650789305,0.14174601690481323
TNP_0013,3653,5.277478562825075,0.8210631387609231,0.16792823215551866,0.8256301162131793,0.021352313167259787,4,10.07469477142075,27.89293925084405,32.40174999999999,23.253666666666668,0.0,14551.777083333334,71.99732742494754,3.43489882744776,0.15734991157482686
TNP_0014,3653,5.2999541910758285,0.8187838002155088,0.1624970902480756,0.8235388739963944,0.02025732274842595,4,9.208935121817683,28.26244547860206,32.37016666666666,23.75558333333333,0.0,15750.032083333334,72.22538484350761,3.8776518158591116,0.15546597960534483
TNP_0015,3653,5.290631888858473,0.8089440468960872,0.14907934421609556,0.8116570034534867,0.006569942513003011,2,9.994626334519571,24.741274637284423,29.312833333333334,21.62625,0.0,4459.810416666666,76.22562870699882,3.120942376129208,0.14174601690481323
