regime_id,pcm_id,capsule_diameter_m,n_capsule,flow_rate_kg_s,valid,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,pred_useful_energy_kWh,pred_solar_fraction,pred_unmet_energy_kWh,pred_pump_energy_kWh,pred_pcm_mass_kg,predicted_feasible_proba,sim_useful_energy_kWh,sim_solar_fraction,sim_unmet_energy_kWh,sim_pump_energy_kWh,sim_residual_pct_of_collector,sim_pcm_mass_kg,sim_max_water_temp_C,sim_max_pcm_temp_C,sim_n_safety_violations,sim_mean_f_melt,surrogate_vs_sim_error_pct,large_surrogate_error,meets_temperature_safety,constraint_margin_C
0,n-Octacosane (C28),0.04048571681313466,8,0.011303412962198275,True,0.02024285840656733,0.005559351116448241,0.9944406488835518,2.2985164662905188e-07,4.3301801364824036e-12,8.90543456107202,1674.1535994987044,0.5217857664348888,1160.2756552097228,2.7133205040866768e-09,0.37064168288211363,0.96,1674.4773464034672,0.522051460643767,1159.5844168109345,1.731891630424488e-11,9.405213982489079e-06,0.25295047579839497,70.27275852025271,70.22439716257057,1254,0.02223538151424309,0.019334206309701205,False,False,-5.224397162570568
0,n-Octacosane (C28),0.04072623744899823,10,0.010163582420828857,True,0.020363118724499116,0.00707377896192934,0.9929262210380707,2.4234769717400625e-07,4.1052013245434745e-12,8.054986030925562,1674.1250210646626,0.5218031296698037,1160.2373762149075,2.7133205040866768e-09,0.36800941658654535,0.9566666666666667,1674.325221817391,0.5219317980634288,1159.8747385757472,1.6419322864379137e-11,9.460433581204581e-06,0.321856942767785,70.26866278421603,70.18314810962072,1178,0.02217406704986121,0.011957100694629163,False,False,-5.183148109620717
0,n-Octacosane (C28),0.0413247754078534,11,0.04266567008088599,True,0.0206623877039267,0.008129293600329051,0.9918707063996709,4.667349570545555e-06,3.3189266154843593e-10,34.31095149706511,1673.8836588100787,0.521712155075571,1160.5336775657454,3.0533522573358772e-09,0.3996927817680481,0.9566666666666667,1674.218829003695,0.5218427991731814,1160.0906650149896,1.327450796064799e-09,9.501842829260024e-06,0.36988285881497185,70.20526787217473,70.17028413368918,1985,0.02262924578255336,0.02001949732077169,False,False,-5.170284133689179
0,n-Octacosane (C28),0.04429425325023058,9,0.03358113360967583,True,0.02214712662511529,0.008190554049126247,0.9918094459508737,2.9116955326040775e-06,1.6296339451845626e-10,28.945857931400408,1673.823697689054,0.5217299348084056,1160.3630231561626,2.7596718728147605e-09,0.37319228313991826,0.98,1674.2116768313522,0.5218408340044436,1160.0954328484634,6.517947301831982e-10,9.501606294537495e-06,0.37267020923524424,70.25715946247293,70.15764367599965,1248,0.022024944225699245,0.023173840420977164,False,False,-5.157643675999651
0,n-Octacosane (C28),0.04164181759518114,11,0.0490899329740025,True,0.02082090879759057,0.008317835660672828,0.9916821643393272,6.307579210086322e-06,5.160644010855819e-10,39.78009406838754,1673.7337894319357,0.5216678685497593,1160.693676696076,3.5520894512161248e-09,0.4190516343649652,0.94,1674.1998194200792,0.5218274688415119,1160.1278590060676,2.0640855828708414e-09,9.508833159587868e-06,0.3784615225606137,70.20212945711133,70.16591433657908,1989,0.022613624258148144,0.027835983658440793,False,False,-5.165914336579078
0,n-Hexacosane (C26),0.04143131177829899,10,0.02954595490326689,True,0.020715655889149497,0.007447571302191735,0.9925524286978082,2.058988000431285e-06,1.0139127767851735e-10,23.821571247207856,1674.140592251738,0.5221184751914542,1159.4137663291128,2.7133205040866764e-09,0.365803431733219,0.9341666666666667,1674.5568460156032,0.5222584349694537,1159.0822619072508,4.055003329529576e-10,9.49603604440435e-06,0.2867314951343818,70.26468734867184,70.26217776123295,3831,0.11478733756573464,0.024857547527010877,False,False,-5.262177761232948
0,n-Hexacosane (C26),0.041541662320047856,8,0.02078130130789077,True,0.020770831160023928,0.006005791050529443,0.9939942089494705,8.207536373548287e-07,2.842721439569668e-11,16.79965254264704,1674.135886106355,0.5221345815233666,1159.3738561799548,2.7133205040866764e-09,0.3604737814272671,0.9441666666666667,1674.6561793086853,0.5223021008933362,1158.9763209518749,1.1369148539636277e-10,9.438231091452789e-06,0.2312229554453836,70.2841385923913,70.28157057794549,3760,0.11487946779424646,0.03106865807792882,False,False,-5.281570577945487
0,n-Hexacosane (C26),0.04009164753828144,11,0.03857198503874725,True,0.02004582376914072,0.007423060737292041,0.992576939262708,3.485927314239184e-06,2.24098560351657e-10,30.09328391151385,1674.1291579388667,0.5221071787578275,1159.4618587856685,2.971788862556035e-09,0.37976647101620925,0.9308333333333333,1674.5605987901943,0.5222482529587342,1159.1069651963915,8.96257292284322e-10,9.496144987074215e-06,0.2857878383857436,70.26776281115966,70.26534863729421,5004,0.11461274744381149,0.025764421522832846,False,False,-5.26534863729421
0,n-Hexacosane (C26),0.04193793496671038,9,0.020499380881230433,True,0.02096896748335519,0.006951719707767123,0.9930482802922329,9.309490072333768e-07,3.180646380046723e-11,16.729827994086754,1674.1200045359597,0.5221169995533833,1159.4086918893856,2.7133205040866764e-09,0.3579705180945232,0.9441666666666667,1674.5918030425032,0.522278679804147,1159.033144496278,1.272055344058415e-10,9.4755314060808e-06,0.26764120874903424,70.27017822184646,70.26731641211781,3697,0.11495832612078118,0.02817394099782234,False,False,-5.2673164121178075
0,n-Hexacosane (C26),0.0409246513511336,10,0.03836278326133018,True,0.0204623256755668,0.007177671574520119,0.9928223284254799,3.323756548413064e-06,2.1251425346699543e-10,30.551939514250638,1674.1122023316675,0.5221241393337858,1159.416094654994,2.954494037390991e-09,0.3754335196529041,0.9308333333333333,1674.5769069787218,0.5222582038888701,1159.0828225480345,8.49933047223881e-10,9.485912696915317e-06,0.2763403556190246,70.27024048252706,70.26770029537235,4933,0.11460651642874634,0.02775057061384696,False,False,-5.26770029537235
