regime_id,pcm_id,capsule_diameter_m,n_capsule,flow_rate_kg_s,valid,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,pred_useful_energy_kWh,pred_solar_fraction,pred_unmet_energy_kWh,pred_pump_energy_kWh,pred_pcm_mass_kg,predicted_feasible_proba,sim_useful_energy_kWh,sim_solar_fraction,sim_unmet_energy_kWh,sim_pump_energy_kWh,sim_residual_pct_of_collector,sim_pcm_mass_kg,sim_max_water_temp_C,sim_max_pcm_temp_C,sim_n_safety_violations,sim_mean_f_melt,surrogate_vs_sim_error_pct,large_surrogate_error,meets_temperature_safety,constraint_margin_C,selection_rule_pool_size,best_useful_energy_in_regime_kWh
0,NONE_plain_tank,0.04093880434459472,9,0.01587892508897138,True,0.02046940217229736,0.00646660883143754,0.9935333911685624,5.238011087011679e-07,1.3862330944310003e-11,12.650274329714783,1674.1152275717955,0.5223588998868718,1158.859013591304,2.7133205040866768e-09,0.33064210169525693,0.9583333333333334,1673.2902185277098,0.5226428323641213,1158.1496484729262,5.54366166405739e-11,7.796657106499265e-06,0.0,70.2800375158398,70.2800375158398,0,0.0,0.04930459970127149,False,True,4.719962484160206,5,1673.2902185277098
1,NONE_plain_tank,0.04221811694993086,13,0.012401878529697532,True,0.02110905847496543,0.01024397585396612,0.9897560241460339,5.316568245483543e-07,1.098923892922234e-11,10.188963843620355,1810.8104267132244,0.5306813315892095,1235.4439786392475,2.7133205040866764e-09,0.40066166865144426,0.9766666666666667,1809.9340445647624,0.5311391962515881,1233.7324358315725,4.379211713294476e-11,1.4764530592159126e-08,0.0,70.44087617607511,70.44087617607511,0,0.0,0.04842066765326336,False,True,4.559123823924892,5,1809.9340445647624
2,NONE_plain_tank,0.04433585636208756,8,0.012668665500400546,True,0.02216792818104378,0.007301026239030407,0.9926989737609696,3.802468345344294e-07,8.028699923838068e-12,10.930239040244068,1750.7854104666171,0.5329009624605474,1137.0150015755128,2.7133205040866768e-09,0.32180389027467343,0.9566666666666667,1749.798578875721,0.5330281915884771,1136.649422171359,3.14457413683943e-11,8.067659965923695e-05,0.0,72.0881010643225,72.0881010643225,0,0.0,0.056396867777215996,False,True,2.911898935677499,5,1749.798578875721
3,NONE_plain_tank,0.043501912571471665,8,0.018457008293920017,True,0.021750956285735833,0.006896736900378915,0.993103263099621,7.483961890869063e-07,2.3021924448525272e-11,15.62475973278682,1817.2892875378295,0.5441270884715734,1118.2652033527422,2.7133205040866764e-09,0.3180458596990202,0.9633333333333334,1816.5040378565952,0.5442213253493946,1118.0165881898743,9.094427554653599e-11,9.792063875581539e-09,0.0,70.36643638447819,70.36643638447819,0,0.0,0.043228622941067336,False,True,4.633563615521808,5,1816.5040378565952
4,n-Octacosane (C28),0.04061701123564423,9,0.010381587404178329,True,0.020308505617822114,0.0063153149884389885,0.993684685011561,2.233196555536196e-07,3.864020872001501e-12,8.205695877873541,1622.912393562945,0.50969342987376,1312.074987976194,2.713320504086676e-09,0.374286129172048,0.9533333333333334,1623.4122274485599,0.5100833496916386,1311.0922823799103,1.523443895742519e-11,5.48731545620878e-08,0.287346831973974,65.42335583230192,61.74903814145556,0,0.001018529200321253,0.030789092084173058,False,True,3.250961858544443,15,1623.4122274485599
