regime_id,pcm_id,capsule_diameter_m,n_capsule,flow_rate_kg_s,valid,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,pred_useful_energy_kWh,pred_solar_fraction,pred_unmet_energy_kWh,pred_pump_energy_kWh,pred_pcm_mass_kg,predicted_feasible_proba
0,n-Octacosane (C28),0.04048571681313466,8,0.011303412962198275,True,0.02024285840656733,0.005559351116448241,0.9944406488835518,2.2985164662905188e-07,4.3301801364824036e-12,8.90543456107202,1674.1535994987044,0.5217857664348888,1160.2756552097228,2.7133205040866768e-09,0.37064168288211363,0.96
0,n-Octacosane (C28),0.04072623744899823,10,0.010163582420828857,True,0.020363118724499116,0.00707377896192934,0.9929262210380707,2.4234769717400625e-07,4.1052013245434745e-12,8.054986030925562,1674.1250210646626,0.5218031296698037,1160.2373762149075,2.7133205040866768e-09,0.36800941658654535,0.9566666666666667
0,n-Octacosane (C28),0.0413247754078534,11,0.04266567008088599,True,0.0206623877039267,0.008129293600329051,0.9918707063996709,4.667349570545555e-06,3.3189266154843593e-10,34.31095149706511,1673.8836588100787,0.521712155075571,1160.5336775657454,3.0533522573358772e-09,0.3996927817680481,0.9566666666666667
0,n-Octacosane (C28),0.04429425325023058,9,0.03358113360967583,True,0.02214712662511529,0.008190554049126247,0.9918094459508737,2.9116955326040775e-06,1.6296339451845626e-10,28.945857931400408,1673.823697689054,0.5217299348084056,1160.3630231561626,2.7596718728147605e-09,0.37319228313991826,0.98
0,n-Octacosane (C28),0.04164181759518114,11,0.0490899329740025,True,0.02082090879759057,0.008317835660672828,0.9916821643393272,6.307579210086322e-06,5.160644010855819e-10,39.78009406838754,1673.7337894319357,0.5216678685497593,1160.693676696076,3.5520894512161248e-09,0.4190516343649652,0.94
0,n-Hexacosane (C26),0.04143131177829899,10,0.02954595490326689,True,0.020715655889149497,0.007447571302191735,0.9925524286978082,2.058988000431285e-06,1.0139127767851735e-10,23.821571247207856,1674.140592251738,0.5221184751914542,1159.4137663291128,2.7133205040866764e-09,0.365803431733219,0.9341666666666667
0,n-Hexacosane (C26),0.041541662320047856,8,0.02078130130789077,True,0.020770831160023928,0.006005791050529443,0.9939942089494705,8.207536373548287e-07,2.842721439569668e-11,16.79965254264704,1674.135886106355,0.5221345815233666,1159.3738561799548,2.7133205040866764e-09,0.3604737814272671,0.9441666666666667
0,n-Hexacosane (C26),0.04009164753828144,11,0.03857198503874725,True,0.02004582376914072,0.007423060737292041,0.992576939262708,3.485927314239184e-06,2.24098560351657e-10,30.09328391151385,1674.1291579388667,0.5221071787578275,1159.4618587856685,2.971788862556035e-09,0.37976647101620925,0.9308333333333333
0,n-Hexacosane (C26),0.04193793496671038,9,0.020499380881230433,True,0.02096896748335519,0.006951719707767123,0.9930482802922329,9.309490072333768e-07,3.180646380046723e-11,16.729827994086754,1674.1200045359597,0.5221169995533833,1159.4086918893856,2.7133205040866764e-09,0.3579705180945232,0.9441666666666667
0,n-Hexacosane (C26),0.0409246513511336,10,0.03836278326133018,True,0.0204623256755668,0.007177671574520119,0.9928223284254799,3.323756548413064e-06,2.1251425346699543e-10,30.551939514250638,1674.1122023316675,0.5221241393337858,1159.416094654994,2.954494037390991e-09,0.3754335196529041,0.9308333333333333
0,PureTemp 58,0.040822423959836075,12,0.011628813807697815,True,0.020411211979918038,0.00854882112965587,0.9914511788703442,3.865172907425494e-07,7.491229345834849e-12,9.237998659163194,1674.104381787701,0.5220774656227994,1159.5450725924636,2.7133205040866768e-09,0.38333192053607157,0.9516666666666667
0,PureTemp 58,0.04075197977727674,10,0.04049214030081207,True,0.02037598988863837,0.00708720107076246,0.9929127989292376,3.6519855356648587e-06,2.464611844777963e-10,32.1116879050337,1674.085528217336,0.5221221139849808,1159.4263295004318,3.0158551954433094e-09,0.3812523690759072,0.95
0,PureTemp 58,0.04329278922729275,10,0.03368835911323375,True,0.021646394613646376,0.008497189799296477,0.9915028102007035,3.051499638182761e-06,1.7133335940833952e-10,28.381746333694014,1673.986866026219,0.5221207477024639,1159.3998867471676,2.759671872814761e-09,0.38427702195637276,0.97
0,PureTemp 58,0.04188737209073007,13,0.026734471289102883,True,0.020943686045365034,0.010005097248058249,0.9899949027519418,2.3084891037390625e-06,1.0286039277519801e-10,21.79206590130037,1673.966053469378,0.5220800972096552,1159.5221057088406,2.7133205040866768e-09,0.4582280956266345,0.955
0,PureTemp 58,0.04384320494034394,10,0.03245268976625854,True,0.02192160247017197,0.008825422361033772,0.9911745776389662,2.9464216705339678e-06,1.5936551399070016e-10,27.688324802259604,1673.9580460156064,0.5221216111804856,1159.4028077052653,2.7355542906171007e-09,0.3980264772429534,0.98
0,NONE_plain_tank,0.04093880434459472,9,0.01587892508897138,True,0.02046940217229736,0.00646660883143754,0.9935333911685624,5.238011087011679e-07,1.3862330944310003e-11,12.650274329714783,1674.1152275717955,0.5223588998868718,1158.859013591304,2.7133205040866768e-09,0.33064210169525693,0.9583333333333334
0,NONE_plain_tank,0.04017686590285749,8,0.03902610878193367,True,0.020088432951428745,0.0054330884015434495,0.9945669115984566,2.5808737703627093e-06,1.6786910085769063e-10,30.51230349155754,1674.111051651117,0.5223977981610001,1158.745727103172,2.971788862556035e-09,0.3222442162663256,0.9533333333333334
