case_id,regime_id,pcm_id,sampling_method,seed,capsule_diameter_m,n_capsule,flow_rate_kg_s,simulator_version,runtime_s,valid,reason,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,geom_hydraulic_diameter_m,geom_below_min_pcm_fraction,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,split
c3_PureTemp_58_lhs_003,3,PureTemp 58,lhs,20264395,0.061378719887803385,14,0.049545557229487135,sim_v1_tamilnadu,2.95035982131958,True,,0.030689359943901692,0.033900814551654106,0.9660991854483459,2.8559767294618944e-05,2.3583493082606297e-09,59.17881068835976,1.1661063226493247,True,tamilnadu,3.0,PureTemp 58,25.787,1814.645831411208,0.5433860655538287,,1120.0654648899672,9.31882076249121e-09,1893.3438905448716,78.94822949187773,25.870109860357836,25.89698148505622,2.5325410624654693e-08,1.508586247548608,70.02596910019342,69.28151555360633,155.0,0.0,62.0,8784.0,holdout
c3_PureTemp_58_lhs_004,3,PureTemp 58,lhs,20264395,0.0799673122318213,21,0.03849794509884689,sim_v1_tamilnadu,2.970796823501587,True,,0.03998365611591065,0.11245671950977237,0.8875432804902277,0.00016149823683229986,1.036225042521742e-08,59.90922993470963,0.42075120656558845,False,tamilnadu,3.0,PureTemp 58,25.787,1808.1527190655033,0.5401195558034264,,1128.0781523840308,4.094815959697892e-08,1887.2186705683193,79.36301457174461,69.73518315712055,69.8244410030279,2.524117191146203e-07,5.004324018184871,70.77495494215006,62.66305744214425,0.0,0.0,11.0,8784.0,train
c3_PureTemp_58_lhs_005,3,PureTemp 58,lhs,20264395,0.03143108728514054,23,0.04025224884873528,sim_v1_tamilnadu,1.2159347534179688e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c3_PureTemp_58_lhs_006,3,PureTemp 58,lhs,20264395,0.04861430459319118,19,0.026780311316335244,sim_v1_tamilnadu,3.0067849159240723,True,,0.02430715229659559,0.022859906625945167,0.9771400933740548,5.652650135224684e-06,2.522995506394026e-10,25.33514464909932,1.3853362543365595,True,tamilnadu,3.0,PureTemp 58,25.787,1816.554754829392,0.5436479954685454,,1119.4229556944222,9.969196244229638e-10,1895.1006999362362,78.79109334431607,19.527501234171208,19.545637805853048,4.1740800108980694e-08,1.01726584485456,69.9852808108792,69.95610803031627,804.0,0.0,104.0,8784.0,train
c3_PureTemp_58_lhs_007,3,PureTemp 58,lhs,20264395,0.03707874713749101,17,0.034260345443434724,sim_v1_tamilnadu,1.3589859008789062e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c3_PureTemp_58_bnd_dmin_fmin,3,PureTemp 58,boundary,0,0.02,16,0.01,sim_v1_tamilnadu,3.337860107421875e-06,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c3_PureTemp_58_bnd_dmin_fmax,3,PureTemp 58,boundary,0,0.02,16,0.05,sim_v1_tamilnadu,2.1457672119140625e-06,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c3_PureTemp_58_bnd_dmax_fmin,3,PureTemp 58,boundary,0,0.08,16,0.01,sim_v1_tamilnadu,2.7599315643310547,True,,0.04,0.08578642339402529,0.9142135766059747,9.646162092929935e-06,1.6076936821549893e-10,15.568030585685188,0.5683656631193826,True,tamilnadu,3.0,PureTemp 58,25.787,1809.9495468907883,0.5406540105828446,,1126.7671447782338,6.35280158504948e-10,1888.8254686367366,79.15674748317791,50.507063242719,50.57507747623739,7.113039197083223e-08,3.8174958410341255,70.76310666359706,62.37078879726353,0.0,0.0,9.0,8784.0,holdout
c3_PureTemp_58_bnd_dmax_fmax,3,PureTemp 58,boundary,0,0.08,16,0.05,sim_v1_tamilnadu,3.1246235370635986,True,,0.04,0.08578642339402529,0.9142135766059747,0.00017926413952761594,1.4938678293967998e-08,77.84015292842594,0.5683656631193826,True,tamilnadu,3.0,PureTemp 58,25.787,1810.341983666733,0.5411162865050083,,1125.6331905630743,5.9030187278425053e-08,1889.248426292727,79.1875664168619,53.448756663877994,53.516800520205315,9.091663461475912e-08,3.8174958410341255,70.6211366872487,63.020542088684664,0.0,0.0,13.0,8784.0,train
c3_PureTemp_58_bnd_nmin,3,PureTemp 58,boundary,0,0.05,8,0.030000000000000002,sim_v1_tamilnadu,3.0898125171661377,True,,0.025,0.010471975511965978,0.989528024488034,2.988850618139812e-06,1.4944253090699062e-10,29.19005734815973,3.149765528504569,True,tamilnadu,3.0,PureTemp 58,25.787,1817.353491631868,0.5438350860970247,,1118.9640258721895,5.905034805619895e-10,1895.7841208129753,78.6681763214669,8.871469741386903,8.879774184383146,3.13549286053302e-08,0.466002910282486,70.23362288787627,70.20928525111981,813.0,0.0,108.0,8784.0,train
c3_PureTemp_58_bnd_nmax,3,PureTemp 58,boundary,0,0.05,24,0.030000000000000002,sim_v1_tamilnadu,3.2313082218170166,True,,0.025,0.031415926535897934,0.968584073464102,1.013133310886751e-05,5.065666554433756e-10,29.19005734815973,1.027699620612634,True,tamilnadu,3.0,PureTemp 58,25.787,1816.0050828421283,0.5435157814273797,,1119.7472742714774,2.0016137112125e-09,1894.6257142195561,78.8710099187279,26.556006259138353,26.580937551613307,5.171727035026762e-08,1.3980087308474582,69.8012688701527,69.76490962778286,691.0,0.0,100.0,8784.0,train
c3_n_Hexacosane__C26__lhs_000,3,n-Hexacosane (C26),lhs,20263941,0.02634574431350223,19,0.03871751543860644,sim_v1_tamilnadu,1.3113021850585938e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c3_n_Hexacosane__C26__lhs_001,3,n-Hexacosane (C26),lhs,20263941,0.059036411397335814,17,0.04699897656147397,sim_v1_tamilnadu,3.127906560897827,True,,0.029518205698667907,0.03663003982103861,0.9633699601789614,2.82986911171077e-05,2.2166825342222278e-09,53.99481289709774,1.0351049862321724,True,tamilnadu,3.0,n-Hexacosane (C26),25.787,1815.6993611273535,0.5437402990607593,,1119.1965367042756,8.757466160287065e-09,1894.3599493954991,78.90665144908743,30.434900723732927,30.45602104423149,1.095986796110403e-07,1.4102565331099866,69.83196180686426,69.79678842229407,1321.0,0.0,136.0,8784.0,holdout
c3_n_Hexacosane__C26__lhs_002,3,n-Hexacosane (C26),lhs,20263941,0.07681723762095102,9,0.040127598232295045,sim_v1_tamilnadu,2.907499313354492,True,,0.03840861881047551,0.04272156803948202,0.957278431960518,2.4313579192868833e-05,1.6260758957342149e-09,59.98539754727204,1.1475153831645124,True,tamilnadu,3.0,n-Hexacosane (C26),25.787,1813.9890165796876,0.5433587301972523,,1120.1325180098172,6.425032383028028e-09,1892.6999991082273,78.95782970723644,30.379423454203586,30.40402760542299,4.296116841495906e-08,1.6447803695200578,70.20769520998503,68.61337185081565,66.0,0.0,69.0,8784.0,train
