column,n_flagged,check
era5_LW_down,692661,physical_bounds
era5_GHI,66167,hampel_MAD
era5_T_amb,29733,hampel_MAD
era5_RHum,35234,hampel_MAD
era5_W_spd,22989,hampel_MAD
era5_cloud_cover,182183,hampel_MAD
