,PC1,PC2,PC3,PC4
Ta_mean,0.4627663935981826,0.05672393323552627,0.17891563189712312,0.11279345513224538
Ta_p95,0.3859589960562291,-0.3608127209316098,0.11926492852613264,0.6046659441596519
Ta_p05,0.3843800585491624,0.40255685642834305,0.06226920298067813,-0.45444901985290187
HDD18,-0.3093012387695549,0.1233058544770331,0.9285996582654755,-0.02632547502491972
CDD24,0.4558843597041879,0.04418142829297933,0.2577006833883438,0.15491427840849203
RH_mean,-0.07325451580345212,0.8245767712070525,-0.14476076205330116,0.511865963282477
elev_proxy,0.4245831592235686,0.08637921732792288,0.014999135536143824,-0.35837772273172014
