point_id,date,GHI_daily_kWh,GHIcs_daily_kWh,kt_daily,Ta_mean_C,Ta_max_C,Ta_min_C,DTR_C,RH_mean_pct,wind_mean_ms,cluster_id
TNP_0009,2016-01-01,4.6892,5.66122,0.8283020267716145,20.611666666666668,26.5,15.58,10.92,86.27749999999999,3.4591666666666665,2
TNP_0009,2016-01-02,5.5526800000000005,5.744440000000001,0.9666181559908364,20.70583333333333,26.81,15.34,11.47,83.93333333333334,2.765416666666667,2
TNP_0009,2016-01-03,5.74262,5.7678400000000005,0.9956274792643344,20.905,27.17,15.42,11.750000000000002,84.47583333333334,2.3545833333333333,2
TNP_0009,2016-01-04,5.706639999999999,5.77756,0.9877249219393652,20.905833333333334,26.83,16.26,10.569999999999997,83.2,2.5483333333333333,2
TNP_0009,2016-01-05,5.03716,5.56193,0.9056496575828894,20.72041666666667,26.8,15.79,11.010000000000002,83.80708333333332,2.75625,2
TNP_0009,2016-01-06,4.75533,5.31586,0.8945551613473643,20.65041666666667,26.79,15.55,11.239999999999998,84.16208333333334,2.9645833333333336,2
TNP_0009,2016-01-07,4.376390000000001,5.238269999999999,0.8354647622211152,20.44875,26.44,15.66,10.78,83.74249999999999,2.9308333333333336,2
TNP_0009,2016-01-08,4.8391,5.4048,0.895333777383067,20.49083333333333,26.14,15.76,10.38,83.41708333333334,2.7304166666666667,2
TNP_0009,2016-01-09,5.4101300000000005,5.730390000000001,0.9441120063381376,20.196250000000003,26.46,15.54,10.920000000000002,79.7175,2.4266666666666667,2
TNP_0009,2016-01-10,5.62845,5.85243,0.9617287178146512,19.98208333333333,26.43,14.93,11.5,79.31041666666667,2.2204166666666665,2
TNP_0009,2016-01-11,5.46764,5.71525,0.9566755609990816,20.715416666666663,26.41,14.8,11.61,76.835,2.2133333333333334,2
TNP_0009,2016-01-12,5.6004,5.6346300000000005,0.9939250669520446,20.60375,26.57,15.85,10.72,76.89333333333333,1.9683333333333333,2
TNP_0009,2016-01-13,4.4273,5.31449,0.8330620623992142,20.232916666666664,25.92,15.73,10.19,79.17958333333333,1.82375,2
TNP_0009,2016-01-14,5.25249,5.46169,0.9616968374257784,20.27083333333333,26.47,15.94,10.53,82.18166666666667,2.1720833333333336,2
TNP_0009,2016-01-15,5.563969999999999,5.701239999999999,0.9759227817106454,20.692916666666665,26.78,15.71,11.07,83.27791666666667,2.0154166666666664,2
TNP_0009,2016-01-16,5.49826,5.58126,0.9851288060402132,20.78875,26.64,15.39,11.25,78.84625,1.9520833333333332,2
TNP_0009,2016-01-17,4.86461,5.220350000000001,0.9318551438121964,20.82375,26.31,16.93,9.38,80.58708333333333,1.7958333333333334,2
TNP_0009,2016-01-18,4.99988,5.28515,0.946024237722676,21.825833333333332,26.94,16.24,10.700000000000005,81.99875,2.01125,2
TNP_0009,2016-01-19,3.96641,5.28139,0.7510163044198591,23.0275,28.11,19.76,8.349999999999998,83.80458333333333,1.8358333333333332,2
TNP_0009,2016-01-20,3.39395,4.55757,0.7446841189493524,23.29125,27.77,20.21,7.559999999999999,84.82583333333334,1.9858333333333336,2
TNP_0009,2016-01-21,3.88488,4.66488,0.8327931265112929,22.74791666666667,27.76,18.73,9.03,84.34375,2.160833333333333,2
TNP_0009,2016-01-22,3.40015,4.766,0.7134179605539236,22.317916666666665,25.38,18.88,6.5,89.86708333333333,2.5383333333333336,2
TNP_0009,2016-01-23,3.25587,5.28929,0.6155589880683419,23.24833333333333,27.41,20.52,6.890000000000001,87.46749999999999,4.24125,2
TNP_0009,2016-01-24,3.63422,5.48294,0.6628232298730243,23.508750000000003,28.49,20.04,8.45,86.85416666666667,3.4404166666666662,2
TNP_0009,2016-01-25,4.78466,5.62066,0.8512630189337195,23.47791666666667,28.48,19.89,8.59,83.615,2.0795833333333333,2
TNP_0009,2016-01-26,4.80007,5.34945,0.8973015917524231,23.255,28.87,19.17,9.7,82.05624999999999,1.6925,2
TNP_0009,2016-01-27,5.58105,5.757890000000001,0.9692873604740624,22.79375,29.1,18.02,11.080000000000002,81.82958333333333,1.819583333333333,2
TNP_0009,2016-01-28,5.88999,5.92252,0.9945074056313868,22.74291666666667,29.38,17.39,11.989999999999998,78.26916666666666,1.81375,2
TNP_0009,2016-01-29,5.819649999999999,5.94881,0.9782880945937086,22.445833333333336,29.44,16.9,12.540000000000004,79.42875,2.1925,2
TNP_0009,2016-01-30,5.99205,6.033060000000001,0.993202454475838,22.405416666666667,29.03,16.39,12.64,78.40458333333333,2.0191666666666666,2
TNP_0009,2016-01-31,5.7112,6.211360000000001,0.919476571958476,21.992083333333337,29.55,15.3,14.25,77.19833333333334,2.1575,2
TNP_0009,2016-02-01,6.18,6.44178,0.9593621638739604,21.797916666666666,29.36,14.9,14.46,76.36,2.2383333333333333,2
TNP_0009,2016-02-02,6.14171,6.4511400000000005,0.9520348341533432,22.08833333333333,30.14,15.0,15.14,72.71291666666666,2.0258333333333334,2
TNP_0009,2016-02-03,5.82329,6.30158,0.924099987622152,21.944166666666664,29.6,14.95,14.650000000000002,77.61041666666667,2.154583333333333,2
