point_id,date,GHI_daily_kWh,GHIcs_daily_kWh,kt_daily,Ta_mean_C,Ta_max_C,Ta_min_C,DTR_C,RH_mean_pct,wind_mean_ms,cluster_id
TNP_0001,2016-01-01,4.55013,5.54213,0.8210074465954426,23.657083333333333,27.5,20.35,7.149999999999999,76.98083333333334,4.196666666666666,0
TNP_0001,2016-01-02,5.1823500000000005,5.46551,0.948191477099118,23.550833333333333,27.61,20.19,7.419999999999998,76.21291666666666,3.5575,0
TNP_0001,2016-01-03,5.26382,5.38185,0.9780688796603398,23.569166666666664,27.74,20.18,7.559999999999999,77.96875,2.890416666666667,0
TNP_0001,2016-01-04,5.17094,5.32275,0.9714790286975716,23.762083333333333,27.76,20.76,7.0,75.82375,3.1704166666666667,0
TNP_0001,2016-01-05,4.97484,5.2119,0.9545156276981523,23.640416666666667,27.71,20.4,7.310000000000002,76.75583333333334,3.5625,0
TNP_0001,2016-01-06,4.98201,5.30755,0.9386647323152868,23.46708333333333,27.55,20.2,7.350000000000001,76.78416666666666,4.050833333333333,0
TNP_0001,2016-01-07,5.35775,5.509690000000001,0.9724231308839516,23.470416666666665,27.32,20.2,7.120000000000001,75.41166666666666,3.659583333333333,0
TNP_0001,2016-01-08,4.70821,5.46083,0.8621784600509448,23.35833333333333,27.11,20.03,7.079999999999998,75.46458333333334,3.453333333333333,0
TNP_0001,2016-01-09,5.20805,5.57643,0.9339398145408442,22.905833333333334,27.21,19.77,7.440000000000001,72.80041666666666,2.839166666666667,0
TNP_0001,2016-01-10,5.52344,5.67287,0.973658835827368,22.875416666666663,27.06,19.62,7.439999999999998,72.43166666666666,2.7304166666666667,0
TNP_0001,2016-01-11,5.309279999999999,5.5397,0.9584056898387998,23.44875,27.36,19.53,7.829999999999998,70.82916666666667,2.721666666666667,0
TNP_0001,2016-01-12,5.23204,5.41997,0.9653263763452564,23.18875,27.18,19.87,7.309999999999999,71.55958333333334,2.4266666666666667,0
TNP_0001,2016-01-13,4.277639999999999,5.350140000000001,0.799537956016104,23.117500000000003,27.16,20.37,6.789999999999999,73.34791666666666,2.0966666666666667,0
TNP_0001,2016-01-14,5.1848,5.419479999999999,0.9566969524751454,22.986666666666665,27.24,20.38,6.859999999999999,73.99958333333333,2.85375,0
TNP_0001,2016-01-15,4.74736,5.61607,0.8453170989677835,23.012916666666666,27.12,19.62,7.5,75.83624999999999,2.6154166666666665,0
TNP_0001,2016-01-16,5.37405,5.49994,0.9771106593890116,22.89,26.82,19.39,7.43,72.76708333333333,2.6670833333333337,0
TNP_0001,2016-01-17,4.477399999999999,5.46706,0.8189776589245407,22.993333333333336,26.28,20.73,5.550000000000001,74.91208333333334,2.145,0
