point_id,date,GHI_daily_kWh,GHIcs_daily_kWh,kt_daily,Ta_mean_C,Ta_max_C,Ta_min_C,DTR_C,RH_mean_pct,wind_mean_ms,cluster_id
TNP_0004,2016-01-01,5.45154,5.78832,0.9418173148685628,21.995416666666667,28.05,16.53,11.52,81.86583333333333,3.999166666666667,3
TNP_0004,2016-01-02,5.31571,5.81155,0.91468024881486,21.761666666666667,28.43,16.35,12.079999999999998,80.65083333333334,3.95625,3
TNP_0004,2016-01-03,5.96182,6.0374,0.987481366150992,21.256666666666664,28.31,16.11,12.2,79.745,3.6175,3
TNP_0004,2016-01-04,5.86224,6.050980000000001,0.9688083583155124,21.845,28.23,16.07,12.16,81.38791666666667,3.38375,3
TNP_0004,2016-01-05,5.50627,5.87421,0.9373634922823664,22.98708333333333,29.05,17.27,11.78,81.81083333333333,3.19625,3
TNP_0004,2016-01-06,4.48222,5.88806,0.7612388460715414,23.325,29.06,18.36,10.7,82.31791666666668,3.2583333333333333,3
TNP_0004,2016-01-07,5.108560000000001,5.81763,0.8781170339124352,23.014166666666668,28.54,18.19,10.349999999999998,84.05041666666666,3.2237500000000003,3
TNP_0004,2016-01-08,4.92953,5.69754,0.8652032280598293,23.044583333333332,28.77,18.0,10.77,80.65958333333333,3.185,3
TNP_0004,2016-01-09,5.02869,5.60625,0.8969792642140468,22.51625,28.69,17.63,11.060000000000002,81.46208333333333,3.184583333333333,3
TNP_0004,2016-01-10,5.41686,5.90479,0.9173670867211196,22.66333333333333,29.08,17.47,11.61,81.58291666666666,3.48,3
TNP_0004,2016-01-11,5.76587,5.92911,0.9724680432645034,22.212083333333336,28.98,16.55,12.43,78.82041666666667,3.4233333333333333,3
TNP_0004,2016-01-12,5.7077,5.90232,0.9670265251629868,22.0075,29.14,16.39,12.75,78.35041666666667,3.367083333333333,3
TNP_0004,2016-01-13,5.27967,5.761979999999999,0.9162943988004124,22.563333333333333,29.27,17.01,12.259999999999998,78.45041666666667,2.888333333333333,3
TNP_0004,2016-01-14,5.66761,5.77374,0.9816185003134884,20.887083333333333,26.94,15.91,11.03,78.19458333333334,3.04375,3
TNP_0004,2016-01-15,5.8897200000000005,5.989769999999999,0.983296520567568,21.223333333333333,27.68,15.95,11.73,78.57791666666667,2.8541666666666665,3
TNP_0004,2016-01-16,5.67996,5.86269,0.968831713769618,23.095416666666665,29.6,16.16,13.44,77.71708333333333,2.6925000000000003,3
TNP_0004,2016-01-17,5.19215,5.77376,0.899266682369894,22.734583333333333,28.92,17.69,11.23,78.89458333333333,2.6954166666666666,3
TNP_0004,2016-01-18,5.29854,5.89683,0.898540402216106,23.86,30.03,17.44,12.59,77.83375,2.61125,3
TNP_0004,2016-01-19,5.42636,6.105600000000001,0.8887513102725365,24.794166666666666,30.94,19.62,11.32,78.84333333333333,2.411666666666666,3
TNP_0004,2016-01-20,4.86439,6.02658,0.8071559657384454,25.51708333333333,31.7,20.64,11.06,78.12041666666666,2.544583333333333,3
TNP_0004,2016-01-21,3.82989,5.87951,0.6513961197446727,25.475416666666664,31.77,20.89,10.88,80.46,2.9579166666666663,3
TNP_0004,2016-01-22,4.99929,5.82025,0.8589476397061983,25.186666666666667,31.3,20.75,10.55,78.145,3.1275,3
TNP_0004,2016-01-23,5.61475,5.97375,0.9399037455534632,25.31583333333333,31.54,20.96,10.579999999999998,78.34333333333333,3.611666666666667,3
TNP_0004,2016-01-24,4.9582,5.99712,0.8267635131529801,26.067083333333333,32.44,20.79,11.65,76.81041666666667,3.55125,3
TNP_0004,2016-01-25,4.60181,5.99557,0.7675350300305059,25.67125,31.97,20.75,11.22,77.92999999999999,3.2687500000000003,3
TNP_0004,2016-01-26,5.72182,6.245310000000001,0.9161787004968528,25.36708333333333,32.23,20.5,11.729999999999997,75.25291666666666,2.94875,3
TNP_0004,2016-01-27,5.759600000000001,6.02499,0.9559517941108616,25.02125,32.14,19.18,12.96,74.9975,2.966666666666667,3
TNP_0004,2016-01-28,6.39972,6.50059,0.9844829469325092,24.286666666666665,32.49,17.63,14.860000000000005,70.27166666666666,2.637916666666667,3
TNP_0004,2016-01-29,6.16281,6.40941,0.9615253198032266,23.906666666666663,32.33,17.35,14.979999999999997,70.71083333333333,3.1162500000000004,3
TNP_0004,2016-01-30,6.20517,6.50599,0.953762609533676,23.77,31.57,17.74,13.830000000000002,74.2375,3.1283333333333334,3
TNP_0004,2016-01-31,5.68662,6.3635,0.8936308635185038,23.480833333333333,31.08,18.06,13.02,76.62833333333333,3.1825,3
TNP_0004,2016-02-01,5.25932,6.51701,0.8070142596067829,23.47083333333333,30.94,16.8,14.14,72.73375,2.734166666666667,3
TNP_0004,2016-02-02,6.134,6.5999300000000005,0.9294037967069348,23.440416666666668,31.81,16.33,15.48,71.06333333333333,3.075,3
TNP_0004,2016-02-03,6.22414,6.61246,0.9412745029837608,23.55875,31.79,17.07,14.72,69.08041666666666,2.7304166666666667,3
TNP_0004,2016-02-04,6.1899,6.7094700000000005,0.9225616926523256,23.691666666666663,32.36,16.67,15.689999999999998,66.485,3.4508333333333336,3
TNP_0004,2016-02-05,5.73138,6.39552,0.8961554338036625,24.54125,31.99,17.62,14.369999999999996,70.14083333333333,2.8641666666666663,3
TNP_0004,2016-02-06,5.36124,6.30552,0.8502454991816694,24.85,30.91,18.93,11.98,73.06333333333333,2.4775,3
TNP_0004,2016-02-07,5.90608,6.257149999999999,0.9438929864235316,26.250416666666663,32.75,20.48,12.27,72.88625,2.5525,3
TNP_0004,2016-02-08,5.729850000000001,6.2731,0.9134000733289762,26.387083333333333,34.12,20.48,13.639999999999995,71.6525,3.0308333333333333,3
TNP_0004,2016-02-09,5.798850000000001,6.384,0.908341165413534,26.11375,33.58,20.19,13.389999999999995,69.22291666666666,2.6029166666666668,3
TNP_0004,2016-02-10,5.897819999999999,6.32751,0.9320917706965298,26.06958333333333,34.19,19.96,14.229999999999997,66.55208333333333,2.6083333333333334,3
TNP_0004,2016-02-11,6.08968,6.2667,0.9717522779134156,26.10625,34.44,19.99,14.45,64.86416666666666,2.6129166666666666,3
TNP_0004,2016-02-12,6.08366,6.4714,0.94008406218129,26.13208333333333,34.32,19.82,14.5,62.696666666666665,2.7270833333333333,3
TNP_0004,2016-02-13,6.3855,6.58915,0.9690931303734168,26.41125,34.52,19.62,14.900000000000002,64.77791666666667,2.56625,3
TNP_0004,2016-02-14,6.11123,6.54958,0.933072044314292,25.73333333333333,33.54,19.44,14.099999999999998,67.1925,2.99875,3
TNP_0004,2016-02-15,6.03014,6.58712,0.9154440787476168,26.687916666666663,34.48,19.27,15.209999999999996,66.56416666666667,3.1758333333333333,3
TNP_0004,2016-02-16,5.87779,6.683190000000001,0.8794886872885552,26.937916666666663,34.4,21.28,13.119999999999996,65.49708333333334,3.615,3
TNP_0004,2016-02-17,5.2038400000000005,6.41137,0.8116580387655058,26.95458333333333,32.86,21.32,11.54,67.62833333333333,4.0125,3
TNP_0004,2016-02-18,5.23739,6.58207,0.7957056062910302,27.0675,33.72,21.83,11.89,68.21416666666667,4.264583333333333,3
TNP_0004,2016-02-19,5.35591,6.63561,0.8071465924006986,27.514166666666668,34.69,21.62,13.069999999999997,67.43833333333333,3.48125,3
TNP_0004,2016-02-20,5.58983,6.68382,0.8363226418425391,28.449583333333333,36.42,21.63,14.790000000000004,67.49833333333333,3.00125,3
TNP_0004,2016-02-21,6.37144,6.96082,0.915328941130499,28.54041666666667,36.97,22.59,14.38,64.33125,2.495833333333333,3
TNP_0004,2016-02-22,6.81499,7.16135,0.9516348174576024,28.18166666666667,37.19,21.45,15.739999999999998,61.942083333333336,2.59,3
TNP_0004,2016-02-23,7.07567,7.24784,0.9762453365416456,27.24208333333333,36.39,20.69,15.7,58.50083333333333,2.231666666666667,3
TNP_0004,2016-02-24,6.82355,7.10864,0.9598952823606204,27.76875,37.04,20.31,16.73,56.22416666666666,2.1791666666666667,3
TNP_0004,2016-02-25,5.84405,6.97566,0.8377773572679862,28.98708333333333,37.37,21.31,16.06,62.76041666666666,2.8929166666666664,3
TNP_0004,2016-02-26,5.87953,7.0398000000000005,0.8351842381885848,28.05375,36.32,21.21,15.11,64.22375000000001,3.789583333333333,3
TNP_0004,2016-02-27,5.47354,6.77088,0.8083941821447138,28.175833333333333,35.11,21.03,14.079999999999998,65.89458333333333,4.239583333333333,3
TNP_0004,2016-02-28,5.752470000000001,6.81279,0.8443633225154453,28.380416666666665,34.91,23.1,11.809999999999995,66.28375,3.8791666666666655,3
TNP_0004,2016-02-29,5.62681,6.78953,0.8287480871282695,26.660416666666663,31.58,22.25,9.329999999999998,68.64874999999999,3.284166666666667,3
TNP_0004,2016-03-01,6.20773,6.79763,0.9132197545320944,27.90375,34.14,22.07,12.07,65.96958333333333,3.445,3
TNP_0004,2016-03-02,5.443650000000001,6.6949,0.81310400454077,28.2775,35.83,22.19,13.639999999999995,63.34625,3.44375,3
TNP_0004,2016-03-03,6.66579,6.92902,0.9620105007634558,26.14375,32.29,20.47,11.82,65.23125,3.0116666666666667,3
TNP_0004,2016-03-04,5.70591,6.86217,0.831502279891055,26.92333333333333,34.03,20.42,13.61,65.165,2.9579166666666663,3
TNP_0004,2016-03-05,6.43329,6.909809999999999,0.9310371775779652,28.739166666666662,37.11,21.45,15.66,59.73666666666667,2.919166666666667,3
TNP_0004,2016-03-06,6.507,6.848769999999999,0.9500976087677058,28.9825,36.99,22.98,14.010000000000002,56.977916666666665,2.8312500000000003,3
TNP_0004,2016-03-07,6.457529999999999,6.86871,0.9401372310084424,28.84875,37.37,22.06,15.31,58.96041666666667,2.8516666666666666,3
TNP_0004,2016-03-08,6.61825,6.93422,0.9544332311348644,28.551666666666662,36.13,22.01,14.12,58.901250000000005,2.716666666666667,3
TNP_0004,2016-03-09,5.77906,6.6334,0.8712063195344771,29.67625,37.44,23.14,14.299999999999995,56.85625,2.3866666666666667,3
TNP_0004,2016-03-10,5.87196,6.94832,0.8450906118313491,29.38875,35.99,24.58,11.410000000000004,62.02166666666667,2.2958333333333334,3
TNP_0004,2016-03-11,6.18501,7.09169,0.8721489518013337,30.55875,38.78,24.45,14.330000000000002,56.07958333333334,2.47875,3
TNP_0004,2016-03-12,6.35786,7.28236,0.8730493960748987,30.68166666666667,39.1,24.24,14.860000000000005,54.31333333333333,2.99375,3
TNP_0004,2016-03-13,6.55747,6.87401,0.9539511871527682,30.14708333333333,36.4,23.92,12.479999999999997,56.247083333333336,2.1075,3
TNP_0004,2016-03-14,5.82425,7.19269,0.8097457279543537,30.72375,39.52,23.72,15.800000000000004,56.80916666666667,3.08875,3
TNP_0004,2016-03-15,6.24497,7.04656,0.8862437842010855,31.46,40.19,23.66,16.529999999999998,52.693333333333335,2.8979166666666667,3
TNP_0004,2016-03-16,6.52926,6.94987,0.939479443500382,30.916666666666668,39.2,24.56,14.640000000000004,56.58166666666667,2.9154166666666668,3
TNP_0004,2016-03-17,6.20535,6.72465,0.9227766500858782,31.36375,39.94,24.52,15.419999999999998,53.7225,2.8516666666666666,3
TNP_0004,2016-03-18,6.94416,7.20095,0.9643394274366576,30.949583333333333,39.53,24.13,15.400000000000002,47.16,3.120416666666667,3
TNP_0004,2016-03-19,7.32194,7.40955,0.9881760700717316,31.365416666666665,40.6,24.16,16.44,42.44875,2.842083333333333,3
TNP_0004,2016-03-20,7.1707,7.265989999999999,0.98688547603286,31.232083333333332,40.32,24.11,16.21,42.96541666666667,3.0500000000000003,3
TNP_0004,2016-03-21,6.62107,6.99974,0.9459022763702652,31.89708333333333,40.67,24.13,16.540000000000003,42.45,3.3125,3
