product,manufacturer,property,predicted_value,confidence,prediction_method,donor_1_actual_value,donor_1_manufacturer,donor_1_product,donor_1_weight,donor_2_actual_value,donor_2_manufacturer,donor_2_product,donor_2_weight,donor_3_actual_value,donor_3_manufacturer,donor_3_product,donor_3_weight
n-Dotriacontane (C32),Literature,max_op_temp,90.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),90.0,Pluss Advanced Technologies,savE® OM48,0.56,90.0,Pluss Advanced Technologies,savE® OM50,0.222,90.0,Rubitherm Technologies,RT57HC,0.218
n-Docosane (C22),Literature,flash_point,169.7559,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),180.0,Rubitherm Technologies,RT44HC,0.403,170.0,Rubitherm Technologies,RT57HC,0.312,155.0,Rubitherm Technologies,RT45HC,0.285
Lauric acid (C12),Literature,flash_point,201.7333,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Rubitherm Technologies,RT50,0.682,200.0,Pluss Advanced Technologies,savE® OM42,0.249,225.0,Rubitherm Technologies,RT70HC,0.069
savE® OM46,Pluss Advanced Technologies,flash_point,205.8427,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Pluss Advanced Technologies,savE® OM42,0.565,225.0,Rubitherm Technologies,RT70HC,0.234,200.0,Rubitherm Technologies,RT50,0.202
n-Tricosane (C23),Literature,flash_point,169.5891,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),170.0,Rubitherm Technologies,RT57HC,0.392,180.0,Rubitherm Technologies,RT44HC,0.348,155.0,Rubitherm Technologies,RT45HC,0.26
Paraffin/Expanded graphite (85.56% paraffin),Literature,flash_point,200.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Pluss Advanced Technologies,savE® OM50,0.777,200.0,Pluss Advanced Technologies,savE® OM55,0.121,200.0,Rubitherm Technologies,RT65,0.102
savE® OM49,Pluss Advanced Technologies,flash_point,169.5271,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),170.0,Rubitherm Technologies,RT57HC,0.478,180.0,Rubitherm Technologies,RT44HC,0.294,155.0,Rubitherm Technologies,RT45HC,0.228
Paraffin/HDPE PCM3,Literature,flash_point,200.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Pluss Advanced Technologies,savE® OM48,0.403,200.0,Rubitherm Technologies,RT55,0.352,200.0,Rubitherm Technologies,RT65,0.245
PlusICE A50,PCM Products Ltd.,flash_point,191.1707,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),190.0,Rubitherm Technologies,RT64HC,0.883,200.0,Rubitherm Technologies,RT50,0.065,200.0,Pluss Advanced Technologies,savE® OM42,0.052
Paraffin/HDPE PCM6,Literature,flash_point,200.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Pluss Advanced Technologies,savE® OM48,0.403,200.0,Rubitherm Technologies,RT55,0.352,200.0,Rubitherm Technologies,RT65,0.245
Paraffin/HDPE PCM2,Literature,flash_point,200.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Pluss Advanced Technologies,savE® OM48,0.407,200.0,Rubitherm Technologies,RT55,0.352,200.0,Rubitherm Technologies,RT65,0.242
PlusICE A52,PCM Products Ltd.,flash_point,190.2861,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),190.0,Rubitherm Technologies,RT64HC,0.971,200.0,Rubitherm Technologies,RT50,0.016,200.0,Pluss Advanced Technologies,savE® OM42,0.013
n-Tetracosane (C24),Literature,flash_point,169.9031,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),170.0,Rubitherm Technologies,RT57HC,0.935,180.0,Rubitherm Technologies,RT44HC,0.035,155.0,Rubitherm Technologies,RT45HC,0.03
Paraffin/Expanded graphite (92% paraffin),Literature,flash_point,200.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Pluss Advanced Technologies,savE® OM48,0.823,200.0,Rubitherm Technologies,RT55,0.141,200.0,Rubitherm Technologies,RT65,0.037
Myristic acid (C14),Literature,flash_point,198.7699,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Rubitherm Technologies,RT50,0.639,200.0,Pluss Advanced Technologies,savE® OM42,0.238,190.0,Rubitherm Technologies,RT64HC,0.123
PureTemp 53,PureTemp,flash_point,198.7793,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Rubitherm Technologies,RT50,0.64,200.0,Pluss Advanced Technologies,savE® OM42,0.238,190.0,Rubitherm Technologies,RT64HC,0.122
RT54HC,Rubitherm Technologies,flash_point,190.1679,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),190.0,Rubitherm Technologies,RT64HC,0.983,200.0,Rubitherm Technologies,RT50,0.009,200.0,Pluss Advanced Technologies,savE® OM42,0.007
n-Pentacosane (C25),Literature,flash_point,169.9926,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),170.0,Rubitherm Technologies,RT57HC,0.995,180.0,Rubitherm Technologies,RT44HC,0.003,155.0,Rubitherm Technologies,RT45HC,0.002
Myristic acid/NBR-1.0,Literature,flash_point,200.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Pluss Advanced Technologies,savE® OM48,0.536,200.0,Rubitherm Technologies,RT55,0.325,200.0,Rubitherm Technologies,RT65,0.139
Myristic acid/NBR-0.5,Literature,flash_point,200.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Pluss Advanced Technologies,savE® OM48,0.536,200.0,Rubitherm Technologies,RT55,0.325,200.0,Rubitherm Technologies,RT65,0.139
Palmitic-stearic acid/Expanded graphite,Literature,flash_point,200.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Pluss Advanced Technologies,savE® OM48,0.561,200.0,Rubitherm Technologies,RT55,0.313,200.0,Rubitherm Technologies,RT65,0.125
n-Hexacosane (C26),Literature,flash_point,192.3677,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),190.0,Rubitherm Technologies,RT64HC,0.763,200.0,Rubitherm Technologies,RT50,0.13,200.0,Pluss Advanced Technologies,savE® OM42,0.106
PlusICE A58,PCM Products Ltd.,flash_point,192.7797,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),190.0,Rubitherm Technologies,RT64HC,0.722,200.0,Rubitherm Technologies,RT50,0.152,200.0,Pluss Advanced Technologies,savE® OM42,0.126
PureTemp 58,PureTemp,flash_point,192.7759,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),190.0,Rubitherm Technologies,RT64HC,0.722,200.0,Rubitherm Technologies,RT50,0.152,200.0,Pluss Advanced Technologies,savE® OM42,0.125
n-Heptacosane (C27),Literature,flash_point,195.3326,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),190.0,Rubitherm Technologies,RT64HC,0.467,200.0,Rubitherm Technologies,RT50,0.316,200.0,Pluss Advanced Technologies,savE® OM42,0.217
CrodaTherm 60,CrodaTherm,flash_point,192.8476,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),190.0,Rubitherm Technologies,RT64HC,0.715,200.0,Rubitherm Technologies,RT50,0.163,200.0,Pluss Advanced Technologies,savE® OM42,0.122
Palmitic acid/Expanded graphite (80/20),Literature,flash_point,200.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Pluss Advanced Technologies,savE® OM50,0.605,200.0,Rubitherm Technologies,RT65,0.265,200.0,Pluss Advanced Technologies,savE® OM55,0.13
PureTemp 60,PureTemp,flash_point,201.9338,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Rubitherm Technologies,RT50,0.63,200.0,Pluss Advanced Technologies,savE® OM42,0.292,225.0,Rubitherm Technologies,RT70HC,0.077
n-Octacosane (C28),Literature,flash_point,169.7519,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),170.0,Rubitherm Technologies,RT57HC,0.841,180.0,Rubitherm Technologies,RT44HC,0.085,155.0,Rubitherm Technologies,RT45HC,0.074
PlusICE A62,PCM Products Ltd.,flash_point,192.1252,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),190.0,Rubitherm Technologies,RT64HC,0.787,200.0,Rubitherm Technologies,RT50,0.121,200.0,Pluss Advanced Technologies,savE® OM42,0.092
RT62HC,Rubitherm Technologies,flash_point,173.409,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),170.0,Rubitherm Technologies,RT57HC,0.737,180.0,Rubitherm Technologies,RT44HC,0.133,186.0,Rubitherm Technologies,RT42,0.13
Palmitic acid (C16),Literature,flash_point,202.1657,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Pluss Advanced Technologies,savE® OM42,0.644,200.0,Rubitherm Technologies,RT50,0.27,225.0,Rubitherm Technologies,RT70HC,0.087
PureTemp 63,PureTemp,flash_point,198.0436,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Rubitherm Technologies,RT50,0.538,200.0,Pluss Advanced Technologies,savE® OM42,0.267,190.0,Rubitherm Technologies,RT64HC,0.196
n-Nonacosane (C29),Literature,flash_point,190.2514,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),190.0,Rubitherm Technologies,RT64HC,0.975,200.0,Rubitherm Technologies,RT50,0.014,200.0,Pluss Advanced Technologies,savE® OM42,0.011
n-Triacontane (C30),Literature,flash_point,174.1988,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),170.0,Rubitherm Technologies,RT57HC,0.677,186.0,Rubitherm Technologies,RT42,0.162,180.0,Rubitherm Technologies,RT47,0.161
Stearic acid (C18),Literature,flash_point,200.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Rubitherm Technologies,RT60,0.397,200.0,Pluss Advanced Technologies,savE® OM55,0.322,200.0,Pluss Advanced Technologies,savE® OM50,0.28
PureTemp 68,PureTemp,flash_point,209.3533,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),225.0,Rubitherm Technologies,RT70HC,0.374,200.0,Pluss Advanced Technologies,savE® OM48,0.326,200.0,Rubitherm Technologies,RT55,0.3
n-Hentriacontane (C31),Literature,flash_point,200.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Rubitherm Technologies,RT60,0.4,200.0,Pluss Advanced Technologies,savE® OM55,0.322,200.0,Pluss Advanced Technologies,savE® OM50,0.278
RT69HC,Rubitherm Technologies,flash_point,180.7747,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),186.0,Rubitherm Technologies,RT42,0.416,180.0,Rubitherm Technologies,RT47,0.412,170.0,Rubitherm Technologies,RT57HC,0.172
n-Dotriacontane (C32),Literature,flash_point,200.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),200.0,Pluss Advanced Technologies,savE® OM65,0.861,200.0,Rubitherm Technologies,RT60,0.072,200.0,Pluss Advanced Technologies,savE® OM55,0.067
RT42,Rubitherm Technologies,cycles_tested,1564.264,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.545,2000.0,Pluss Advanced Technologies,savE® OM48,0.246,2000.0,Pluss Advanced Technologies,savE® OM42,0.209
RT44HC,Rubitherm Technologies,cycles_tested,1215.9427,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.98,2000.0,Pluss Advanced Technologies,savE® OM48,0.011,2000.0,Pluss Advanced Technologies,savE® OM42,0.009
RT47,Rubitherm Technologies,cycles_tested,1665.067,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.419,2000.0,Pluss Advanced Technologies,savE® OM48,0.319,2000.0,Pluss Advanced Technologies,savE® OM42,0.263
n-Docosane (C22),Literature,cycles_tested,1439.7385,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.7,2000.0,Pluss Advanced Technologies,savE® OM48,0.16,2000.0,Pluss Advanced Technologies,savE® OM42,0.139
Lauric acid (C12),Literature,cycles_tested,2000.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),2000.0,Pluss Advanced Technologies,savE® OM48,0.409,2000.0,Pluss Advanced Technologies,savE® OM42,0.308,2000.0,Pluss Advanced Technologies,savE® OM46,0.283
RT45HC,Rubitherm Technologies,cycles_tested,1215.9427,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.98,2000.0,Pluss Advanced Technologies,savE® OM48,0.011,2000.0,Pluss Advanced Technologies,savE® OM42,0.009
n-Tricosane (C23),Literature,cycles_tested,1215.9427,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.98,2000.0,Pluss Advanced Technologies,savE® OM48,0.011,2000.0,Pluss Advanced Technologies,savE® OM42,0.009
RT50,Rubitherm Technologies,cycles_tested,1675.1673,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.406,2000.0,Pluss Advanced Technologies,savE® OM48,0.326,2000.0,Pluss Advanced Technologies,savE® OM42,0.268
Paraffin/Expanded graphite (85.56% paraffin),Literature,cycles_tested,2000.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),2000.0,Pluss Advanced Technologies,savE® OM48,0.465,2000.0,Pluss Advanced Technologies,savE® OM42,0.285,2000.0,Pluss Advanced Technologies,savE® OM46,0.251
Paraffin/HDPE PCM3,Literature,cycles_tested,2000.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),2000.0,Pluss Advanced Technologies,savE® OM48,0.442,2000.0,Pluss Advanced Technologies,savE® OM42,0.294,2000.0,Pluss Advanced Technologies,savE® OM46,0.263
PlusICE A50,PCM Products Ltd.,cycles_tested,1525.7716,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.593,2000.0,Pluss Advanced Technologies,savE® OM48,0.219,2000.0,Pluss Advanced Technologies,savE® OM42,0.188
Paraffin/HDPE PCM6,Literature,cycles_tested,2000.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),2000.0,Pluss Advanced Technologies,savE® OM48,0.45,2000.0,Pluss Advanced Technologies,savE® OM42,0.291,2000.0,Pluss Advanced Technologies,savE® OM46,0.259
Paraffin/HDPE PCM2,Literature,cycles_tested,2000.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),2000.0,Pluss Advanced Technologies,savE® OM48,0.445,2000.0,Pluss Advanced Technologies,savE® OM42,0.293,2000.0,Pluss Advanced Technologies,savE® OM46,0.262
PlusICE A52,PCM Products Ltd.,cycles_tested,1446.9853,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.691,2000.0,Pluss Advanced Technologies,savE® OM48,0.165,2000.0,Pluss Advanced Technologies,savE® OM42,0.144
n-Tetracosane (C24),Literature,cycles_tested,1367.6504,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.79,2000.0,Pluss Advanced Technologies,savE® OM48,0.112,2000.0,Pluss Advanced Technologies,savE® OM42,0.098
Paraffin/Expanded graphite (92% paraffin),Literature,cycles_tested,2000.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),2000.0,Pluss Advanced Technologies,savE® OM50,0.488,2000.0,Pluss Advanced Technologies,savE® OM46,0.311,2000.0,Pluss Advanced Technologies,savE® OM42,0.201
Myristic acid (C14),Literature,cycles_tested,1686.0768,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.392,2000.0,Pluss Advanced Technologies,savE® OM48,0.334,2000.0,Pluss Advanced Technologies,savE® OM42,0.273
PureTemp 53,PureTemp,cycles_tested,1686.0768,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.392,2000.0,Pluss Advanced Technologies,savE® OM48,0.334,2000.0,Pluss Advanced Technologies,savE® OM42,0.273
RT54HC,Rubitherm Technologies,cycles_tested,1473.8376,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.658,2000.0,Pluss Advanced Technologies,savE® OM48,0.183,2000.0,Pluss Advanced Technologies,savE® OM42,0.159
RT55,Rubitherm Technologies,cycles_tested,2000.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),2000.0,Pluss Advanced Technologies,savE® OM48,0.424,2000.0,Pluss Advanced Technologies,savE® OM42,0.302,2000.0,Pluss Advanced Technologies,savE® OM46,0.274
n-Pentacosane (C25),Literature,cycles_tested,1403.8525,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.745,2000.0,Pluss Advanced Technologies,savE® OM48,0.136,2000.0,Pluss Advanced Technologies,savE® OM42,0.119
Myristic acid/NBR-1.0,Literature,cycles_tested,2000.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),2000.0,Pluss Advanced Technologies,savE® OM42,0.411,2000.0,Pluss Advanced Technologies,savE® OM46,0.411,2000.0,Pluss Advanced Technologies,savE® OM50,0.178
Myristic acid/NBR-0.5,Literature,cycles_tested,2000.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),2000.0,Pluss Advanced Technologies,savE® OM46,0.867,2000.0,Pluss Advanced Technologies,savE® OM50,0.075,2000.0,Pluss Advanced Technologies,savE® OM42,0.058
Palmitic-stearic acid/Expanded graphite,Literature,cycles_tested,2000.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),2000.0,Pluss Advanced Technologies,savE® OM50,0.513,2000.0,Pluss Advanced Technologies,savE® OM46,0.302,2000.0,Pluss Advanced Technologies,savE® OM42,0.185
RT57HC,Rubitherm Technologies,cycles_tested,1403.8525,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.745,2000.0,Pluss Advanced Technologies,savE® OM48,0.136,2000.0,Pluss Advanced Technologies,savE® OM42,0.119
n-Hexacosane (C26),Literature,cycles_tested,1403.8525,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.745,2000.0,Pluss Advanced Technologies,savE® OM48,0.136,2000.0,Pluss Advanced Technologies,savE® OM42,0.119
PlusICE A58,PCM Products Ltd.,cycles_tested,1580.9039,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.524,2000.0,Pluss Advanced Technologies,savE® OM48,0.258,2000.0,Pluss Advanced Technologies,savE® OM42,0.218
PureTemp 58,PureTemp,cycles_tested,1619.532,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.476,2000.0,Pluss Advanced Technologies,savE® OM48,0.285,2000.0,Pluss Advanced Technologies,savE® OM42,0.239
RT60,Rubitherm Technologies,cycles_tested,2000.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),2000.0,Pluss Advanced Technologies,savE® OM48,0.411,2000.0,Pluss Advanced Technologies,savE® OM42,0.307,2000.0,Pluss Advanced Technologies,savE® OM46,0.282
n-Heptacosane (C27),Literature,cycles_tested,1403.8525,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.745,2000.0,Pluss Advanced Technologies,savE® OM48,0.136,2000.0,Pluss Advanced Technologies,savE® OM42,0.119
CrodaTherm 60,CrodaTherm,cycles_tested,1533.4057,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.583,2000.0,Pluss Advanced Technologies,savE® OM48,0.224,2000.0,Pluss Advanced Technologies,savE® OM42,0.192
Palmitic acid/Expanded graphite (80/20),Literature,cycles_tested,2000.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),2000.0,Pluss Advanced Technologies,savE® OM50,0.611,2000.0,Pluss Advanced Technologies,savE® OM46,0.254,2000.0,Pluss Advanced Technologies,savE® OM42,0.135
PureTemp 60,PureTemp,cycles_tested,1694.8505,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.381,2000.0,Pluss Advanced Technologies,savE® OM48,0.341,2000.0,Pluss Advanced Technologies,savE® OM42,0.277
RT65,Rubitherm Technologies,cycles_tested,2000.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),2000.0,Pluss Advanced Technologies,savE® OM48,0.411,2000.0,Pluss Advanced Technologies,savE® OM42,0.307,2000.0,Pluss Advanced Technologies,savE® OM46,0.282
n-Octacosane (C28),Literature,cycles_tested,1580.9039,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.524,2000.0,Pluss Advanced Technologies,savE® OM48,0.258,2000.0,Pluss Advanced Technologies,savE® OM42,0.218
PlusICE A62,PCM Products Ltd.,cycles_tested,1580.9039,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.524,2000.0,Pluss Advanced Technologies,savE® OM48,0.258,2000.0,Pluss Advanced Technologies,savE® OM42,0.218
RT62HC,Rubitherm Technologies,cycles_tested,1403.8525,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.745,2000.0,Pluss Advanced Technologies,savE® OM48,0.136,2000.0,Pluss Advanced Technologies,savE® OM42,0.119
Palmitic acid (C16),Literature,cycles_tested,1694.8505,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.381,2000.0,Pluss Advanced Technologies,savE® OM48,0.341,2000.0,Pluss Advanced Technologies,savE® OM42,0.277
PureTemp 63,PureTemp,cycles_tested,1510.2265,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.612,2000.0,Pluss Advanced Technologies,savE® OM48,0.208,2000.0,Pluss Advanced Technologies,savE® OM42,0.179
RT64HC,Rubitherm Technologies,cycles_tested,1403.8525,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.745,2000.0,Pluss Advanced Technologies,savE® OM48,0.136,2000.0,Pluss Advanced Technologies,savE® OM42,0.119
n-Nonacosane (C29),Literature,cycles_tested,1403.8525,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.745,2000.0,Pluss Advanced Technologies,savE® OM48,0.136,2000.0,Pluss Advanced Technologies,savE® OM42,0.119
n-Triacontane (C30),Literature,cycles_tested,1580.9039,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.524,2000.0,Pluss Advanced Technologies,savE® OM48,0.258,2000.0,Pluss Advanced Technologies,savE® OM42,0.218
Stearic acid (C18),Literature,cycles_tested,1694.8505,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.381,2000.0,Pluss Advanced Technologies,savE® OM48,0.341,2000.0,Pluss Advanced Technologies,savE® OM42,0.277
PureTemp 68,PureTemp,cycles_tested,1403.8525,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.745,2000.0,Pluss Advanced Technologies,savE® OM48,0.136,2000.0,Pluss Advanced Technologies,savE® OM42,0.119
n-Hentriacontane (C31),Literature,cycles_tested,1694.8505,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.381,2000.0,Pluss Advanced Technologies,savE® OM48,0.341,2000.0,Pluss Advanced Technologies,savE® OM42,0.277
RT69HC,Rubitherm Technologies,cycles_tested,1550.8715,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.561,2000.0,Pluss Advanced Technologies,savE® OM48,0.237,2000.0,Pluss Advanced Technologies,savE® OM42,0.202
n-Dotriacontane (C32),Literature,cycles_tested,2000.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),2000.0,Pluss Advanced Technologies,savE® OM50,0.513,2000.0,Pluss Advanced Technologies,savE® OM46,0.302,2000.0,Pluss Advanced Technologies,savE® OM42,0.185
RT70HC,Rubitherm Technologies,cycles_tested,1403.8525,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),1200.0,Pluss Advanced Technologies,savE® OM49,0.745,2000.0,Pluss Advanced Technologies,savE® OM48,0.136,2000.0,Pluss Advanced Technologies,savE® OM42,0.119
RT42,Rubitherm Technologies,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM65,
RT44HC,Rubitherm Technologies,flammability,No,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM42,,Yes,Pluss Advanced Technologies,savE® OM65,
RT47,Rubitherm Technologies,flammability,No,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM65,,Yes,Pluss Advanced Technologies,savE® OM42,
n-Docosane (C22),Literature,flammability,No,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM42,,Yes,Pluss Advanced Technologies,savE® OM65,
Lauric acid (C12),Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM50,,Yes,Pluss Advanced Technologies,savE® OM48,,Yes,Pluss Advanced Technologies,savE® OM55,
RT45HC,Rubitherm Technologies,flammability,No,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM42,
n-Tricosane (C23),Literature,flammability,No,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM42,,Yes,Pluss Advanced Technologies,savE® OM65,
RT50,Rubitherm Technologies,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM65,,Yes,Pluss Advanced Technologies,savE® OM42,
Paraffin/Expanded graphite (85.56% paraffin),Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM48,,No,Pluss Advanced Technologies,savE® OM46,,Yes,Pluss Advanced Technologies,savE® OM55,
Paraffin/HDPE PCM3,Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM50,,Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM65,
PlusICE A50,PCM Products Ltd.,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM42,,Yes,Pluss Advanced Technologies,savE® OM65,
Paraffin/HDPE PCM6,Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM50,,Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM65,
