pcm_id,product_name,manufacturer,source_type,pcm_type,family,Tm_C,Tm_C_status,Tm_freezing_C,Tm_freezing_C_status,latent_heat_kJ_kg,latent_heat_status,density_liquid_kg_m3,density_liquid_status,density_solid_kg_m3,density_solid_status,Cp_liquid_kJ_kgK,Cp_liquid_status,Cp_solid_kJ_kgK,Cp_solid_status,TC_liquid_W_mK,TC_solid_W_mK,TC_W_mK,TC_status,cycles_tested,cycles_status,supercooling_K,supercooling_status,supercooling_is_derived,flammability,flammability_status,is_inorganic,n_properties_imputed,any_property_imputed,data_source_detail,rho_H_MJ_m3,rho_H_status,rho_H_is_derived,Cp_avg_kJ_kgK,Cp_avg_status,Cp_avg_is_derived
16,PlusICE A50,PCM Products Ltd.,Manufacturer,Organic PCM,Organic PCM,50.0,Reported,48.9,Imputed,190.0,Reported,810.0,Reported,810.0,Reported,2.15,Reported,2.15,Reported,0.18,0.18,0.18,Reported,1526.0,Imputed,1.1,Imputed,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,153.9,Reported,True,2.15,Reported,True
17,Paraffin/HDPE PCM6,Literature,Literature,Organic blend,Organic blend,50.3,Reported,49.3,Imputed,187.0,Imputed,851.0,Imputed,953.0,Imputed,2.19,Imputed,2.02,Imputed,0.143,0.206,0.1745,Imputed,2000.0,Imputed,1.0,Imputed,True,Yes,Imputed,False,11,True,MICE_RF_PMM_Cleaned_Dataset,178.211,Imputed,True,2.105,Imputed,True
18,Paraffin/HDPE PCM2,Literature,Literature,Organic blend,Organic blend,50.6,Reported,49.2,Imputed,187.0,Imputed,846.0,Imputed,954.0,Imputed,2.06,Imputed,2.02,Imputed,0.146,0.208,0.177,Imputed,2000.0,Imputed,1.4,Imputed,True,Yes,Imputed,False,11,True,MICE_RF_PMM_Cleaned_Dataset,178.398,Imputed,True,2.04,Imputed,True
19,savE® OM48,Pluss Advanced Technologies,Manufacturer,Organic,Pluss savE,51.0,Reported,48.0,Reported,165.0,Reported,875.0,Reported,960.0,Reported,2.35,Reported,2.02,Reported,0.1,0.2,0.15,Reported,2000.0,Reported,3.0,Reported,True,Yes,Reported,False,1,True,MICE_RF_PMM_Cleaned_Dataset,158.4,Reported,True,2.185,Reported,True
20,PlusICE A52,PCM Products Ltd.,Manufacturer,Organic PCM,Organic PCM,52.0,Reported,49.2,Imputed,220.0,Reported,810.0,Reported,810.0,Reported,2.15,Reported,2.15,Reported,0.18,0.18,0.18,Reported,1447.0,Imputed,2.8,Imputed,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,178.2,Reported,True,2.15,Reported,True
21,n-Tetracosane (C24),Literature,Literature,Organic n-alkane,Organic n-alkane,52.0,Reported,49.3,Reported,255.0,Reported,799.0,Reported,799.0,Reported,2.39,Imputed,2.0,Imputed,0.173,0.306,0.2395,Imputed,1368.0,Imputed,2.7,Reported,True,Yes,Imputed,False,7,True,MICE_RF_PMM_Cleaned_Dataset,203.745,Reported,True,2.1950000000000003,Imputed,True
22,Paraffin/Expanded graphite (92% paraffin),Literature,Literature,Organic/composite blend,Organic/composite blend,52.2,Reported,49.2,Imputed,170.0,Reported,791.0,Imputed,871.0,Imputed,2.77,Imputed,3.2,Imputed,0.129,0.185,0.157,Imputed,2000.0,Imputed,3.0,Imputed,True,Yes,Imputed,False,10,True,MICE_RF_PMM_Cleaned_Dataset,148.07,Imputed,True,2.9850000000000003,Imputed,True
23,Palmitic-Stearic eutectic (64.2/35.8),Singh2025_Table2,Literature,Organic eutectic,Eutectic,52.3,Reported,,Missing,181.7,Reported,,Missing,,Missing,,Missing,,Missing,,,,Missing,,Missing,,Missing,False,Unknown,Missing,False,0,False,Singh2025_Table2_Literature,,Missing,False,,Missing,False
24,Myristic acid (C14),Literature,Literature,Organic fatty acid,Organic fatty acid,53.0,Reported,51.2,Imputed,199.0,Reported,861.0,Reported,990.0,Reported,2.04,Reported,1.7,Reported,0.25,0.216,0.2329999999999999,Imputed,1686.0,Imputed,1.8,Imputed,True,Yes,Imputed,False,5,True,MICE_RF_PMM_Cleaned_Dataset,197.01,Reported,True,1.87,Reported,True
25,PureTemp 53,PureTemp,Manufacturer,Organic bio-based PCM,Organic bio-based PCM,53.0,Reported,51.1,Imputed,225.0,Reported,840.0,Reported,920.0,Reported,2.6,Reported,2.36,Reported,0.15,0.25,0.2,Reported,1686.0,Imputed,1.9,Imputed,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,207.0,Reported,True,2.48,Reported,True
26,RT54HC,Rubitherm Technologies,Manufacturer,Organic (RT-line),Organic (RT-line),53.5,Reported,53.5,Reported,200.0,Reported,800.0,Reported,850.0,Reported,2.0,Reported,2.0,Reported,0.172,0.199,0.1855,Imputed,1474.0,Imputed,0.0,Reported,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,170.0,Reported,True,2.0,Reported,True
27,RT55,Rubitherm Technologies,Manufacturer,Organic (RT-line),Organic (RT-line),54.0,Reported,56.5,Reported,170.0,Reported,770.0,Reported,880.0,Reported,2.0,Reported,2.0,Reported,0.147,0.197,0.172,Imputed,2000.0,Imputed,0.0,Reported,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,149.6,Reported,True,2.0,Reported,True
28,n-Pentacosane (C25),Literature,Literature,Organic n-alkane,Organic n-alkane,54.0,Reported,50.6,Imputed,238.0,Reported,801.0,Reported,801.0,Reported,2.39,Imputed,2.05,Imputed,0.173,0.305,0.239,Imputed,1404.0,Imputed,3.4,Imputed,True,Yes,Imputed,False,8,True,MICE_RF_PMM_Cleaned_Dataset,190.638,Reported,True,2.22,Imputed,True
29,Myristic acid/NBR-1.0,Literature,Literature,Organic/polymer blend,Organic/polymer blend,54.1,Reported,49.2,Reported,128.0,Reported,778.0,Imputed,860.0,Imputed,2.77,Imputed,2.89,Imputed,0.138,0.171,0.1545,Imputed,2000.0,Imputed,4.9,Reported,True,Yes,Imputed,False,9,True,MICE_RF_PMM_Cleaned_Dataset,110.08,Imputed,True,2.83,Imputed,True
30,Myristic acid/NBR-0.5,Literature,Literature,Organic/polymer blend,Organic/polymer blend,54.6,Reported,50.5,Reported,142.0,Reported,778.0,Imputed,865.0,Imputed,2.77,Imputed,2.93,Imputed,0.138,0.176,0.157,Imputed,2000.0,Imputed,4.1,Reported,True,Yes,Imputed,False,9,True,MICE_RF_PMM_Cleaned_Dataset,122.83,Imputed,True,2.85,Imputed,True
31,savE® OM55,Pluss Advanced Technologies,Manufacturer,Organic,Pluss savE,55.0,Reported,54.0,Reported,188.0,Reported,841.0,Reported,935.0,Reported,2.76,Reported,2.68,Reported,0.1,0.16,0.13,Reported,2000.0,Reported,1.0,Reported,True,Yes,Reported,False,1,True,MICE_RF_PMM_Cleaned_Dataset,175.78,Reported,True,2.72,Reported,True
32,Palmitic-stearic acid/Expanded graphite,Literature,Literature,Organic/eutectic composite,Organic/eutectic composite,55.2,Reported,54.9,Reported,176.0,Reported,777.0,Imputed,856.0,Imputed,2.83,Imputed,3.24,Imputed,0.139,0.181,0.16,Imputed,2000.0,Imputed,0.3,Reported,True,Yes,Imputed,False,9,True,MICE_RF_PMM_Cleaned_Dataset,150.656,Imputed,True,3.035,Imputed,True
33,n-Hexacosane (C26),Literature,Literature,Organic n-alkane,Organic n-alkane,56.5,Reported,56.2,Imputed,256.0,Reported,770.0,Reported,770.0,Reported,2.38,Imputed,2.2,Imputed,0.177,0.299,0.238,Imputed,1404.0,Imputed,0.3,Imputed,True,Yes,Imputed,False,7,True,MICE_RF_PMM_Cleaned_Dataset,197.12,Reported,True,2.29,Imputed,True
34,RT57HC,Rubitherm Technologies,Manufacturer,Organic (RT-line),Organic (RT-line),56.5,Reported,56.5,Reported,240.0,Reported,800.0,Reported,900.0,Reported,2.0,Reported,2.0,Reported,0.174,0.304,0.239,Imputed,1404.0,Imputed,0.0,Reported,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,216.0,Reported,True,2.0,Reported,True
35,PlusICE A58,PCM Products Ltd.,Manufacturer,Organic PCM,Organic PCM,58.0,Reported,58.2,Imputed,215.0,Reported,910.0,Reported,910.0,Reported,2.22,Reported,2.22,Reported,0.22,0.22,0.22,Reported,1581.0,Imputed,0.0,Imputed,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,195.65,Reported,True,2.22,Reported,True
36,PureTemp 58,PureTemp,Manufacturer,Organic bio-based PCM,Organic bio-based PCM,58.0,Reported,58.1,Imputed,225.0,Reported,810.0,Reported,890.0,Reported,2.71,Reported,2.47,Reported,0.15,0.25,0.2,Reported,1620.0,Imputed,0.0,Imputed,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,200.25,Reported,True,2.59,Reported,True
37,RT60,Rubitherm Technologies,Manufacturer,Organic (RT-line),Organic (RT-line),58.0,Reported,58.0,Reported,160.0,Reported,770.0,Reported,880.0,Reported,2.0,Reported,2.0,Reported,0.147,0.192,0.1694999999999999,Imputed,2000.0,Imputed,0.0,Reported,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,140.8,Reported,True,2.0,Reported,True
38,n-Heptacosane (C27),Literature,Literature,Organic n-alkane,Organic n-alkane,59.0,Reported,59.7,Imputed,236.0,Reported,773.0,Reported,773.0,Reported,2.38,Imputed,2.2,Imputed,0.18,0.303,0.2415,Imputed,1404.0,Imputed,0.0,Imputed,True,Yes,Imputed,False,7,True,MICE_RF_PMM_Cleaned_Dataset,182.428,Reported,True,2.29,Imputed,True
39,CrodaTherm 60,CrodaTherm,Manufacturer,Organic PCM,Organic PCM,59.8,Reported,61.5,Imputed,217.0,Reported,824.0,Reported,922.0,Reported,2.3,Reported,1.4,Reported,0.17,0.29,0.2299999999999999,Reported,1533.0,Imputed,0.0,Imputed,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,200.074,Reported,True,1.85,Reported,True
40,Palmitic acid/Expanded graphite (80/20),Literature,Literature,Organic/composite blend,Organic/composite blend,60.9,Reported,60.8,Reported,148.0,Reported,778.0,Imputed,860.0,Imputed,2.78,Imputed,2.94,Imputed,0.138,0.191,0.1645,Imputed,2000.0,Imputed,0.1,Reported,True,Yes,Imputed,False,8,True,MICE_RF_PMM_Cleaned_Dataset,127.28,Imputed,True,2.86,Imputed,True
41,PureTemp 60,PureTemp,Manufacturer,Organic bio-based PCM,Organic bio-based PCM,61.0,Reported,61.5,Imputed,220.0,Reported,870.0,Reported,960.0,Reported,2.38,Reported,2.04,Reported,0.15,0.25,0.2,Reported,1695.0,Imputed,0.0,Imputed,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,211.2,Reported,True,2.21,Reported,True
42,RT65,Rubitherm Technologies,Manufacturer,Organic (RT-line),Organic (RT-line),61.5,Reported,61.5,Reported,150.0,Reported,780.0,Reported,880.0,Reported,2.0,Reported,2.0,Reported,0.147,0.183,0.1649999999999999,Imputed,2000.0,Imputed,0.0,Reported,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,132.0,Reported,True,2.0,Reported,True
43,n-Octacosane (C28),Literature,Literature,Organic n-alkane,Organic n-alkane,61.6,Reported,62.3,Imputed,253.0,Reported,910.0,Reported,910.0,Reported,2.38,Imputed,2.05,Imputed,0.226,0.307,0.2665,Imputed,1581.0,Imputed,0.0,Imputed,True,No,Imputed,False,8,True,MICE_RF_PMM_Cleaned_Dataset,230.23,Reported,True,2.215,Imputed,True
44,PlusICE A62,PCM Products Ltd.,Manufacturer,Organic PCM,Organic PCM,62.0,Reported,62.0,Imputed,205.0,Reported,910.0,Reported,910.0,Reported,2.2,Reported,2.2,Reported,0.22,0.22,0.22,Reported,1581.0,Imputed,0.0,Imputed,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,186.55,Reported,True,2.2,Reported,True
45,RT62HC,Rubitherm Technologies,Manufacturer,Organic (RT-line),Organic (RT-line),62.5,Reported,62.0,Reported,230.0,Reported,840.0,Reported,850.0,Reported,2.0,Reported,2.0,Reported,0.173,0.304,0.2385,Imputed,1404.0,Imputed,0.5,Reported,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,195.5,Reported,True,2.0,Reported,True
46,Palmitic acid (C16),Literature,Literature,Organic fatty acid,Organic fatty acid,62.6,Reported,62.1,Imputed,198.0,Reported,860.0,Imputed,989.0,Reported,2.15,Imputed,2.0,Imputed,0.162,0.214,0.188,Imputed,1695.0,Imputed,0.5,Imputed,True,Yes,Imputed,False,8,True,MICE_RF_PMM_Cleaned_Dataset,195.822,Reported,True,2.075,Imputed,True
47,PureTemp 63,PureTemp,Manufacturer,Organic bio-based PCM,Organic bio-based PCM,63.0,Reported,62.0,Imputed,206.0,Reported,840.0,Reported,920.0,Reported,2.16,Reported,1.99,Reported,0.15,0.25,0.2,Reported,1510.0,Imputed,1.0,Imputed,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,189.52,Reported,True,2.075,Reported,True
48,RT64HC,Rubitherm Technologies,Manufacturer,Organic (RT-line),Organic (RT-line),64.0,Reported,62.5,Reported,250.0,Reported,780.0,Reported,880.0,Reported,2.0,Reported,2.0,Reported,0.263,0.303,0.283,Imputed,1404.0,Imputed,1.5,Reported,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,220.0,Reported,True,2.0,Reported,True
49,Paraffin wax (generic),Singh2025_Table2,Literature,Organic paraffin,Paraffin,64.0,Reported,,Missing,173.6,Reported,790.0,Reported,916.0,Reported,,Missing,,Missing,,,,Missing,,Missing,,Missing,False,Unknown,Missing,False,0,False,Singh2025_Table2_Literature,159.01760000000002,Reported,True,,Missing,False
50,n-Nonacosane (C29),Literature,Literature,Organic n-alkane,Organic n-alkane,64.0,Reported,62.3,Imputed,240.0,Reported,790.0,Reported,790.0,Reported,2.13,Imputed,1.99,Imputed,0.257,0.303,0.28,Imputed,1404.0,Imputed,1.7,Imputed,True,Yes,Imputed,False,7,True,MICE_RF_PMM_Cleaned_Dataset,189.6,Reported,True,2.06,Imputed,True
51,n-Triacontane (C30),Literature,Literature,Organic n-alkane,Organic n-alkane,65.4,Reported,63.1,Imputed,251.0,Reported,940.0,Imputed,910.0,Imputed,2.38,Imputed,2.08,Imputed,0.23,0.308,0.269,Imputed,1581.0,Imputed,2.3,Imputed,True,No,Imputed,False,9,True,MICE_RF_PMM_Cleaned_Dataset,228.41,Imputed,True,2.23,Imputed,True
52,savE® OM65,Pluss Advanced Technologies,Manufacturer,Organic,Pluss savE,67.0,Reported,66.0,Reported,188.0,Reported,847.0,Reported,924.0,Reported,3.32,Reported,3.48,Reported,0.13,0.19,0.16,Reported,2000.0,Reported,1.0,Reported,True,Yes,Reported,False,1,True,MICE_RF_PMM_Cleaned_Dataset,173.712,Reported,True,3.4,Reported,True
53,Stearic acid (C18),Literature,Literature,Organic fatty acid,Organic fatty acid,67.9,Reported,68.2,Imputed,259.0,Reported,941.0,Reported,965.0,Reported,2.35,Reported,2.0,Imputed,0.172,0.25,0.211,Imputed,1695.0,Imputed,0.0,Imputed,True,Yes,Imputed,False,6,True,MICE_RF_PMM_Cleaned_Dataset,249.935,Reported,True,2.175,Imputed,True
54,PureTemp 68,PureTemp,Manufacturer,Organic commercial PCM,Organic commercial PCM,68.0,Reported,67.3,Imputed,213.0,Reported,797.0,Imputed,811.0,Imputed,2.39,Imputed,2.07,Imputed,0.251,0.3,0.2754999999999999,Imputed,1404.0,Imputed,0.7,Imputed,True,No,Imputed,False,10,True,MICE_RF_PMM_Cleaned_Dataset,172.743,Imputed,True,2.23,Imputed,True
55,n-Hentriacontane (C31),Literature,Literature,Organic n-alkane,Organic n-alkane,68.0,Reported,68.2,Imputed,242.0,Reported,930.0,Reported,930.0,Reported,2.32,Imputed,2.0,Imputed,0.177,0.25,0.2135,Imputed,1695.0,Imputed,0.0,Imputed,True,Yes,Imputed,False,8,True,MICE_RF_PMM_Cleaned_Dataset,225.06,Reported,True,2.16,Imputed,True
56,RT69HC,Rubitherm Technologies,Manufacturer,Organic (RT-line),Organic (RT-line),69.0,Reported,68.0,Reported,230.0,Reported,840.0,Reported,940.0,Reported,2.0,Reported,2.0,Reported,0.259,0.304,0.2815,Imputed,1551.0,Imputed,1.0,Reported,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,216.2,Reported,True,2.0,Reported,True
57,n-Dotriacontane (C32),Literature,Literature,Organic n-alkane,Organic n-alkane,69.5,Reported,67.9,Imputed,170.0,Reported,777.0,Imputed,848.0,Imputed,2.81,Imputed,3.23,Imputed,0.139,0.191,0.165,Imputed,2000.0,Imputed,1.6,Imputed,True,Yes,Imputed,False,10,True,MICE_RF_PMM_Cleaned_Dataset,144.16,Imputed,True,3.02,Imputed,True
58,RT70HC,Rubitherm Technologies,Manufacturer,Organic (RT-line),Organic (RT-line),70.0,Reported,70.0,Reported,260.0,Reported,770.0,Reported,880.0,Reported,2.0,Reported,2.0,Reported,0.177,0.303,0.24,Imputed,1404.0,Imputed,0.0,Reported,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,228.8,Reported,True,2.0,Reported,True
