K,BIC,Silhouette,Davies-Bouldin,Calinski-Harabasz,Converged
2,1640.330255773988,0.1583599843336007,2.1476728191169108,24.38376258811057,True
3,1574.9418780838034,0.2617760622648233,1.4250117993010234,39.61263444962509,True
4,1597.7529546565502,0.236927144699928,2.1952178261127187,27.729168669787,True
5,1666.1348564062164,0.2834618077960148,1.2050236711048508,44.14727470688016,True
6,1672.339936773088,0.2785445630823654,1.181666389327926,44.12605937848813,True
7,1667.186929007154,0.2828189486504956,1.1934744115188878,45.75858874882488,True
8,1687.772404833112,0.1834380655822583,1.3577906848657593,35.93610903048228,True
9,1691.56201088439,0.2382380348406179,1.1864393729160208,40.50466180246314,True
10,1732.871742751972,0.2077353752417474,1.2593796319110044,40.16776745050997,True
