point_id,Ta_mean,Ta_p95,Ta_p05,DTR,HDD18,CDD24,GHI_mean,GHI_daily_kWh_est,kt_mean,kt_std,kt_worst_month,SAI,cloudy_frac,CCI,RH_mean,HSI,wind_mean,elev_proxy,monsoon_index,seasonality,Tm_target,T_mains_est,L_required_kWh,tm_target_capped_flag,Tm_target_capped_C
ASP_0001,26.194195405152715,33.31484375000002,16.405126953125023,6.121593727009478,65.57808807523355,1244.1251308529982,221.64095811661645,3.987762348754448,0.7305083655036565,0.2323201026212954,0.5666761844356885,0.9389542841500136,0.0402408978921434,0.8809594136736806,77.0576903432333,29.384440911065973,1.5898344083235902,0.9910662213247472,0.667325784052646,0.0599051575836027,44.0,20.194195405152715,3.4657527231675207,True,40.006666124305625
ASP_0002,26.205830510979517,33.342211914062524,16.537377929687523,6.077586886460508,62.53430979948191,1252.1548230705664,222.0421972807738,3.986914608540925,0.734747987587769,0.2339522374639213,0.5714623629026969,0.9389542841500136,0.0390546582717401,0.8845808340254653,76.58953521295136,28.472102058359688,1.7476467677755414,0.9922966843596236,0.6773646997923596,0.0610210153268525,44.0,20.205830510979517,3.464399818917771,True,40.04553924631242
ASP_0003,26.134916815525862,33.21279296875002,16.26297302246096,6.206717319107369,73.44875970313555,1232.4071044295374,239.34105693459412,3.996054661921709,0.7309919144922675,0.2444150997342423,0.57680245453292,0.9375855461264714,0.1222739301031115,0.7896395588959311,76.89553501096431,31.006603632945644,1.839484990840131,0.9866987564124626,0.687129126534962,0.0670360409038748,44.0,20.134916815525862,3.4726455058391315,True,40.231685366511634
ASP_0004,25.76000228646531,32.76357421875002,16.22925720214846,5.989743261705383,72.01706116073457,1123.3486161610858,238.45741833923648,3.998664466192171,0.7259463140580235,0.2402930445887637,0.5630039635296181,0.9375855461264714,0.1212701888858472,0.7868352655922282,77.47070930816085,31.68388713561245,1.8407904588759616,0.9776824246487148,0.7089349489966428,0.065877560475668,44.0,19.76000228646531,3.516239734134895,True,39.90593953916194
ASP_0005,25.809454110117137,32.893383789062526,15.172021484375025,6.534713690815448,106.96692298494344,1171.8893280706036,240.8591931347406,3.998827153024912,0.734092663277659,0.2477386349134941,0.5902009163199732,0.9375855461264714,0.1201751984670134,0.7976206556588153,74.0423909023486,24.849704693752912,1.7227197791953155,0.985800572642492,0.6374401244066346,0.0651168887934525,44.0,19.809454110117137,3.510489585973602,True,40.43441549392085
ASP_0006,24.67288231455028,31.137158203125026,15.4461853027344,5.859200599517948,95.01696297942844,798.5498999711868,234.4368245277854,4.258081103202847,0.7569722457375601,0.2392050487750364,0.582910420471354,0.9378592937311798,0.0413358883109772,0.8760679639421705,76.55294904403505,30.87544801301532,1.2281453382411198,0.948157668721192,0.6095682915781857,0.0636946041373856,44.0,18.67288231455028,3.642647628647015,True,39.55582995227744
ASP_0007,25.843617429123277,32.835034179687526,15.270532226562525,6.347248711260972,104.25154437449596,1176.0575447042895,228.969049911574,3.850825177935943,0.6902695424961216,0.2534411316461378,0.5655527681168034,0.9184232137968792,0.1399762752075919,0.7925985293924318,74.03754692831721,25.58446849325096,1.5974647099965211,0.9863552366932918,0.6717191613535971,0.0775078428372066,44.0,19.843617429123277,3.506517151158054,True,40.71953442933585
ASP_0008,24.40618932462761,31.378076171875023,14.077639770507837,6.328127765211705,151.54701170964296,843.2425660583228,240.57397356219784,3.9868381138790014,0.7289486525168124,0.2337051425356686,0.5734903134659827,0.9389542841500136,0.1172552240167898,0.787586961904287,75.31686461495862,25.483614745165305,1.3133054924718113,0.9684453127977826,0.6940690776139883,0.0644460376493658,44.0,18.40618932462761,3.673658096864134,True,39.82135003233365
ASP_0009,25.83239130729721,33.04028320312502,14.99460144042971,6.828812301305755,112.3047803254828,1189.4180767904193,240.2103311976343,3.999293362989324,0.7307015280650172,0.2442161015766668,0.5834354070660107,0.9375855461264714,0.1203576968701523,0.7963799242395988,73.80425934487779,24.257956215005915,1.8106358179708093,0.98648870367164,0.6425766383607917,0.0651846111630431,44.0,19.83239130729721,3.507822499657052,True,40.33848684142329
ASP_0010,24.965390958941803,31.556689453125024,15.449194335937523,5.999833619467304,95.21975300869993,886.0079455208904,234.9712355141893,4.257159839857652,0.7677401910705811,0.2435258100470103,0.5945248267661025,0.9378592937311798,0.0399671502874349,0.8804847367325088,76.64490511765254,31.1503246093644,1.1167073668135454,0.9584582611774024,0.6305519559031943,0.0638244117146778,44.0,18.965390958941803,3.608635373496378,True,39.70546549758901
ASP_0011,26.644858160957916,33.443408203125024,15.840203857421898,6.794538788752395,82.08649429459064,1369.4646612422744,234.7534692946436,4.2579415836298935,0.7636411301974843,0.2409762160312142,0.593528560294685,0.9378592937311798,0.0401496486905739,0.880800908124396,76.61076066535533,30.220669619156045,1.163544503610365,0.9946323422511698,0.6019220019537924,0.0643524843763162,44.0,20.644858160957916,3.4133506593952823,True,40.13388061155959
ASP_0012,25.892544862260067,33.02392578125002,15.1488220214844,6.37741519104054,110.1077727298222,1205.791149363091,228.84750491545415,3.844437402135232,0.6800933180599356,0.2569468086868419,0.5817602313668017,0.9280043799616752,0.1484624509535541,0.7947717874381288,76.99969046391075,31.06265457988406,1.913439037570968,0.9915393559630004,0.6576691849556647,0.0978180797843907,44.0,19.892544862260067,3.5008279779605376,True,41.38188582571179
ASP_0013,25.822044500515798,33.07204589843752,15.21148376464846,6.802583215662854,104.9453635803933,1186.3002239788125,239.35106330609432,3.998274377224199,0.7271893800242797,0.2420251984079574,0.5721096270584097,0.9375855461264714,0.1206314444748608,0.7923239143428566,73.99393872675203,24.016465010590107,1.9050729094540424,0.9866649298389776,0.6362891060132744,0.064612623396663,44.0,19.822044500515798,3.509025603356692,True,40.12338556403221
ASP_0014,25.75713955718832,32.75634765625002,14.95083923339846,6.421551219607065,115.28947957119986,1163.1141796322015,229.81602480803303,3.849677989323843,0.6924213135675407,0.2597254597352373,0.5751530979014303,0.9184232137968792,0.1454512273017611,0.7929932905709077,74.34340481815555,26.517781680278315,1.5451622897603765,0.9868916716447912,0.6949113729127945,0.0802510315801901,44.0,19.75713955718832,3.5165726059336024,True,40.91039595278761
ASP_0015,25.782599164891607,32.889843750000026,15.036773681640648,6.255682760677761,113.08981344461552,1177.5224231121665,231.3484280639432,3.84338640569395,0.7029677999192421,0.2637361391183575,0.5963253309305575,0.9184232137968792,0.1447212336892052,0.7905848554816445,77.67204943412484,32.18439424038333,1.850882320933808,0.9894708403107004,0.6340292158242428,0.0885203302307766,44.0,19.782599164891607,3.5136122193267703,True,41.23636188764881
ASP_0016,25.535915536477603,32.32492675781253,15.20093688964846,6.484567186390573,103.00496819530272,1066.7690565897208,235.56726252395293,4.2554912633451965,0.7740016264186085,0.2467272002624258,0.6057528369930976,0.9378592937311798,0.0389634090701706,0.881558142187677,77.85796396601575,34.92560916661497,1.160515457074656,0.9810130526236148,0.6506062288243749,0.0657994478927354,44.0,19.535915536477603,3.5422960434529096,True,39.98636520544223
ASP_0017,25.661715384406,33.56469726562502,16.198306274414087,5.619965042377412,75.28930608591111,1102.6229076202806,208.64016151108677,3.805698523131672,0.6794861350502883,0.2917588100393935,0.558006949274443,0.877087325485902,0.0800255497764394,0.8410462302524844,77.78092160166281,32.08755785757073,1.2322146309130506,0.9876896631568258,0.5674832556276356,0.0770603126585917,44.0,19.661715384406,3.5276683166910137,True,40.72146381108542
ASP_0018,26.3426827931363,33.28198242187503,16.525732421875023,5.799955521026703,64.1529580509692,1281.3493236722463,240.9130624938296,3.9969287188612097,0.738736891111954,0.2503283955579693,0.5977868145164131,0.9375855461264714,0.1238251665297928,0.7925194344634454,77.27152633458047,30.636443281663663,1.8204115249413368,0.9928280622046124,0.6017569505723322,0.0687965889774049,44.0,20.3426827931363,3.4484869396647624,True,40.63100592007388
