variable,n,MBE_era5_minus_power,RMSE,pearson_r
GHI (W/m²),493155,-211.406,369.323,0.4321
Clear-sky GHI (W/m²),493155,5.314,66.36,0.9923
T_amb (°C),492936,-0.089,3.695,0.902
RHum (%),493155,11.383,20.362,0.7399
Wind speed (m/s),493155,-1.141,1.703,0.5396
